ngram,Engine,Engne,Engin,Engine
1500,2.8792974262614734e-06,0.0,7.827065076071449e-07,2.8792974262614734e-06
1501,2.3034379410091786e-06,0.0,6.26165206085716e-07,2.3034379410091786e-06
1502,2.0952424695982095e-06,0.0,5.218043384047633e-07,2.0952424695982095e-06
1503,1.7959221167984651e-06,0.0,4.4726086148979706e-07,1.7959221167984651e-06
1504,1.2612781249897255e-06,0.0,4.627786763324236e-08,1.2612781249897255e-06
1505,1.506093017919089e-07,0.0,0.0,1.506093017919089e-07
1506,1.506093017919089e-07,0.0,0.0,1.506093017919089e-07
1507,1.506093017919089e-07,0.0,0.0,1.506093017919089e-07
1508,1.506093017919089e-07,0.0,0.0,1.506093017919089e-07
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0
1536,4.4726438578176643e-07,0.0,0.0,4.4726438578176643e-07
1537,4.4726438578176643e-07,0.0,0.0,4.4726438578176643e-07
1538,4.4726438578176643e-07,0.0,0.0,4.4726438578176643e-07
1539,7.349704729417031e-05,0.0,0.0,7.349704729417031e-05
1540,7.349704729417031e-05,0.0,0.0,7.349704729417031e-05
1541,7.349704729417031e-05,0.0,0.0,7.349704729417031e-05
1542,7.349704729417031e-05,0.0,0.0,7.349704729417031e-05
1543,7.304978290838855e-05,0.0,0.0,7.304978290838855e-05
1544,7.304978290838855e-05,0.0,0.0,7.304978290838855e-05
1545,7.304978290838855e-05,0.0,0.0,7.304978290838855e-05
1546,0.0,0.0,8.391185864249045e-07,0.0
1547,0.0,0.0,1.7224824594969895e-05,0.0
1548,5.94483870892353e-07,0.0,1.7224824594969895e-05,5.94483870892353e-07
1549,5.94483870892353e-07,0.0,1.7224824594969895e-05,5.94483870892353e-07
1550,5.94483870892353e-07,0.0,1.7224824594969895e-05,5.94483870892353e-07
1551,5.94483870892353e-07,0.0,1.7224824594969895e-05,5.94483870892353e-07
1552,1.3155948701231473e-06,0.0,1.7224824594969895e-05,1.3155948701231473e-06
1553,1.3155948701231473e-06,0.0,1.638570600854499e-05,1.3155948701231473e-06
1554,1.3155948701231473e-06,0.0,0.0,1.3155948701231473e-06
1555,7.211109992307943e-07,0.0,0.0,7.211109992307943e-07
1556,7.211109992307943e-07,0.0,0.0,7.211109992307943e-07
1557,7.211109992307943e-07,0.0,0.0,7.211109992307943e-07
1558,7.211109992307943e-07,0.0,0.0,7.211109992307943e-07
1559,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0
1562,0.0,0.0,0.0,0.0
1563,0.0,0.0,0.0,0.0
