ngram,X2,X,X,X
1500,1.6197253671634826e-07,1.930756434376235e-05,1.930756434376235e-05,1.930756434376235e-05
1501,1.295780293730786e-07,1.544605147500988e-05,1.544605147500988e-05,1.544605147500988e-05
1502,1.0798169114423217e-07,1.3223131266689355e-05,1.3223131266689355e-05,1.3223131266689355e-05
1503,9.255573526648472e-08,1.1334112514305161e-05,1.1334112514305161e-05,1.1334112514305161e-05
1504,9.255573526648472e-08,3.4481136676082054e-06,3.4481136676082054e-06,3.4481136676082054e-06
1505,0.0,2.510865605082862e-06,2.510865605082862e-06,2.510865605082862e-06
1506,0.0,2.510865605082862e-06,2.510865605082862e-06,2.510865605082862e-06
1507,0.0,2.510865605082862e-06,2.510865605082862e-06,2.510865605082862e-06
1508,0.0,2.510865605082862e-06,2.510865605082862e-06,2.510865605082862e-06
1509,0.0,2.209647001499044e-06,2.209647001499044e-06,2.209647001499044e-06
1510,0.0,2.209647001499044e-06,2.209647001499044e-06,2.209647001499044e-06
1511,0.0,2.209647001499044e-06,2.209647001499044e-06,2.209647001499044e-06
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,8.569834660322937e-07,8.569834660322937e-07,8.569834660322937e-07
1515,0.0,8.569834660322937e-07,8.569834660322937e-07,8.569834660322937e-07
1516,0.0,8.569834660322937e-07,8.569834660322937e-07,8.569834660322937e-07
1517,0.0,9.88868889960161e-06,9.88868889960161e-06,9.88868889960161e-06
1518,0.0,9.88868889960161e-06,9.88868889960161e-06,9.88868889960161e-06
1519,0.0,9.88868889960161e-06,9.88868889960161e-06,9.88868889960161e-06
1520,0.0,1.1080334453643964e-05,1.1080334453643964e-05,1.1080334453643964e-05
1521,0.0,1.0223350987611671e-05,1.0223350987611671e-05,1.0223350987611671e-05
1522,0.0,1.3397107847725107e-05,1.3397107847725107e-05,1.3397107847725107e-05
1523,0.0,1.6477332792419475e-05,1.6477332792419475e-05,1.6477332792419475e-05
1524,0.0,7.445627358850158e-06,7.445627358850158e-06,7.445627358850158e-06
1525,0.0,7.445627358850158e-06,7.445627358850158e-06,7.445627358850158e-06
1526,6.356494850479066e-07,9.389395732536546e-05,9.389395732536546e-05,9.389395732536546e-05
1527,6.356494850479066e-07,9.270231177132311e-05,9.270231177132311e-05,9.270231177132311e-05
1528,6.356494850479066e-07,9.479277663818461e-05,9.479277663818461e-05,9.479277663818461e-05
1529,6.356494850479066e-07,9.161901977807117e-05,9.161901977807117e-05,9.161901977807117e-05
1530,6.356494850479066e-07,8.999669184309564e-05,8.999669184309564e-05,8.999669184309564e-05
1531,6.356494850479066e-07,0.00010723123601305165,0.00010723123601305165,0.00010723123601305165
1532,6.356494850479066e-07,0.00012481698234166418,0.00012481698234166418,0.00012481698234166418
1533,0.0,3.836865237514887e-05,3.836865237514887e-05,3.836865237514887e-05
1534,0.0,3.836865237514887e-05,3.836865237514887e-05,3.836865237514887e-05
1535,0.0,3.6278187508287374e-05,3.6278187508287374e-05,3.6278187508287374e-05
1536,0.0,3.6278187508287374e-05,3.6278187508287374e-05,3.6278187508287374e-05
1537,0.0,3.482029049856854e-05,3.482029049856854e-05,3.482029049856854e-05
1538,0.0,1.7585746328612523e-05,1.7585746328612523e-05,1.7585746328612523e-05
1539,0.0,1.5772112029870705e-05,1.5772112029870705e-05,1.5772112029870705e-05
1540,0.0,1.5772112029870705e-05,1.5772112029870705e-05,1.5772112029870705e-05
1541,0.0,1.5772112029870705e-05,1.5772112029870705e-05,1.5772112029870705e-05
1542,0.0,1.727675836653881e-05,1.727675836653881e-05,1.727675836653881e-05
1543,0.0,1.727675836653881e-05,1.727675836653881e-05,1.727675836653881e-05
1544,4.1731475773433756e-07,1.7554968215855687e-05,1.7554968215855687e-05,1.7554968215855687e-05
1545,4.1731475773433756e-07,1.7554968215855687e-05,1.7554968215855687e-05,1.7554968215855687e-05
1546,4.1731475773433756e-07,4.020505749784726e-06,4.020505749784726e-06,4.020505749784726e-06
1547,4.1731475773433756e-07,7.297646951493724e-06,7.297646951493724e-06,7.297646951493724e-06
1548,4.1731475773433756e-07,9.081098499206877e-06,9.081098499206877e-06,9.081098499206877e-06
1549,4.1731475773433756e-07,7.5764521625387715e-06,7.5764521625387715e-06,7.5764521625387715e-06
1550,4.1731475773433756e-07,9.197489264676864e-06,9.197489264676864e-06,9.197489264676864e-06
1551,0.0,8.919279415359987e-06,8.919279415359987e-06,8.919279415359987e-06
1552,0.0,9.64039041459078e-06,9.64039041459078e-06,9.64039041459078e-06
1553,0.0,7.402740850791036e-06,7.402740850791036e-06,7.402740850791036e-06
1554,0.0,4.1255996490820375e-06,4.1255996490820375e-06,4.1255996490820375e-06
1555,0.0,2.943133105353419e-06,2.943133105353419e-06,2.943133105353419e-06
1556,0.0,4.770081217689689e-05,4.770081217689689e-05,4.770081217689689e-05
1557,0.0,4.60797750747588e-05,4.60797750747588e-05,4.60797750747588e-05
1558,0.0,5.494640773966759e-05,5.494640773966759e-05,5.494640773966759e-05
1559,0.0,5.422529674043679e-05,5.422529674043679e-05,5.422529674043679e-05
1560,0.0,5.602005772483868e-05,5.602005772483868e-05,5.602005772483868e-05
1561,0.0,5.602005772483868e-05,5.602005772483868e-05,5.602005772483868e-05
1562,0.0,5.5419072720854145e-05,5.5419072720854145e-05,5.5419072720854145e-05
