ngram,Upload
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,3.1075847926688637e-09
1759,3.1075847926688637e-09
1760,3.1075847926688637e-09
1761,3.1075847926688637e-09
1762,3.1075847926688637e-09
1763,3.1075847926688637e-09
1764,3.1075847926688637e-09
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,1.2855425454308796e-10
1822,1.2855425454308796e-10
1823,1.2855425454308796e-10
1824,1.2855425454308796e-10
1825,1.2855425454308796e-10
1826,4.840489992956926e-10
1827,4.840489992956926e-10
1828,3.554947447526047e-10
1829,3.554947447526047e-10
1830,3.554947447526047e-10
1831,3.554947447526047e-10
1832,3.554947447526047e-10
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,6.673876530781188e-11
1846,6.673876530781188e-11
1847,6.673876530781188e-11
1848,1.7611411535461182e-10
1849,1.7611411535461182e-10
1850,1.7611411535461182e-10
1851,1.7611411535461182e-10
1852,1.0937535004679993e-10
1853,1.5763469101465992e-10
1854,1.5763469101465992e-10
1855,4.825934096786e-11
1856,9.795814556337997e-11
1857,9.795814556337997e-11
1858,1.5556165879258644e-10
1859,1.5556165879258644e-10
1860,1.682975267084227e-10
1861,1.682975267084227e-10
1862,1.682975267084227e-10
1863,1.1859872211290272e-10
1864,1.1859872211290272e-10
1865,6.099520888369625e-11
1866,1.4947444869152704e-10
1867,8.847923980783077e-11
1868,8.847923980783077e-11
1869,8.847923980783077e-11
1870,8.847923980783077e-11
1871,1.2905530215918352e-10
1872,1.7000701243600044e-10
1873,8.152777262816966e-11
1874,8.152777262816966e-11
1875,8.152777262816966e-11
1876,8.152777262816966e-11
1877,8.152777262816966e-11
1878,4.0951710276816906e-11
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,3.212262797028639e-11
1884,3.212262797028639e-11
1885,6.11459057989602e-11
1886,6.11459057989602e-11
1887,8.877987432511146e-11
1888,8.877987432511146e-11
1889,1.4112166395780738e-10
1890,1.08999035987521e-10
1891,1.08999035987521e-10
1892,1.2491892242838532e-10
1893,1.2491892242838532e-10
1894,9.728495390223405e-11
1895,9.728495390223405e-11
1896,6.432359010512454e-11
1897,4.358587102348821e-10
1898,4.358587102348821e-10
1899,4.819850788325855e-10
1900,4.819850788325855e-10
1901,5.162584526541281e-10
1902,5.334767429397504e-10
1903,5.14096317104164e-10
1904,1.584149369222259e-10
1905,1.7366179922666854e-10
1906,8.259226635942696e-11
1907,8.259226635942696e-11
1908,8.949225487648554e-11
1909,7.227396459086322e-11
1910,8.604785435771336e-11
1911,7.019411440989387e-11
1912,8.377546771378062e-11
1913,9.807338671333606e-11
1914,1.4192285442098703e-10
1915,1.3262693721038943e-10
1916,1.476787997445328e-10
1917,1.3390490997768267e-10
1918,2.4894682248184045e-10
1919,2.2011860687351107e-10
1920,2.0582068787395562e-10
1921,1.6197122016630468e-10
1922,2.0254765920046935e-10
1923,2.8570957504620813e-10
1924,2.8570957504620813e-10
1925,1.936728376878654e-10
1926,2.3951876394954855e-10
1927,2.3951876394954855e-10
1928,2.3951876394954855e-10
1929,1.6706487978738035e-10
1930,6.885110140749821e-11
1931,1.2131712103156745e-10
1932,1.2195519197685404e-10
1933,9.927642438281988e-11
1934,1.442121739485864e-10
1935,1.664345070492449e-10
1936,2.292468020970162e-10
1937,2.7413163604185694e-10
1938,3.0867461959476524e-10
1939,2.850313735036636e-10
1940,3.134507395704692e-10
1941,2.6851499000470266e-10
1942,3.459248403598585e-10
1943,5.834590866005129e-10
1944,8.041727640937881e-10
1945,7.547026020000252e-10
1946,8.043469144704472e-10
1947,7.527603897359927e-10
1948,7.698603897234233e-10
1949,6.70228206267609e-10
1950,3.698816649791833e-10
1951,1.0428315354106741e-10
1952,6.674431245785278e-11
1953,1.709999998743074e-11
1954,3.161595588504643e-11
1955,2.9010207926370514e-11
1956,6.941422535972868e-11
1957,8.215795107727582e-11
1958,2.7258687767301685e-10
1959,2.951747556696154e-10
1960,3.5870192332294286e-10
1961,4.004638109218155e-10
1962,4.1657482721272187e-10
1963,4.752093728442399e-10
1964,5.613920538755884e-10
1965,4.062234536845415e-10
1966,3.8363557568794297e-10
1967,3.466424449070717e-10
1968,3.3464730986310087e-10
1969,3.579033537791178e-10
1970,3.1148184428556446e-10
1971,2.57309939228583e-10
1972,2.3074505798145343e-10
1973,3.628106069543589e-10
1974,6.132916793458573e-10
1975,1.2583165025820924e-09
1976,2.739413509525842e-09
1977,3.352988573298735e-09
1978,3.5530319361257565e-09
1979,4.430255892299126e-09
1980,6.7040964208635904e-09
1981,9.532409369786673e-09
1982,1.1978164333419678e-08
1983,1.4588609272995053e-08
1984,1.756831140881892e-08
1985,2.0513740547504052e-08
1986,2.407002216589912e-08
1987,2.5188411610445527e-08
1988,2.5853770426108114e-08
1989,2.5871761621942824e-08
1990,2.4908625257629476e-08
1991,2.4330579455928662e-08
1992,2.6707405556944e-08
1993,2.8268551689945654e-08
1994,3.24114462253127e-08
1995,3.798513224597043e-08
1996,4.523674565096566e-08
1997,5.597558835493796e-08
1998,6.945532301675225e-08
1999,8.046170460066346e-08
2000,9.217492648515093e-08
2001,1.0646399825223593e-07
2002,1.1806235278299937e-07
2003,1.3400545079938248e-07
2004,1.495006582022792e-07
2005,1.6538308398951684e-07
2006,1.902498496519911e-07
2007,2.3102997001192955e-07
2008,2.694449270685644e-07
2009,2.9411277832228476e-07
2010,3.155121248710202e-07
2011,3.310481397582927e-07
2012,3.365631593104419e-07
2013,3.343780617472346e-07
2014,3.043229079529348e-07
2015,2.6472400601765654e-07
2016,2.4482328748425583e-07
2017,2.2992220512681646e-07
2018,2.129733815081636e-07
2019,1.9981292709303489e-07
