ngram,Vi,V,V,V
1500,2.3843277858759393e-06,0.0001360380110781989,0.0001360380110781989,0.0001360380110781989
1501,1.9074622287007514e-06,0.00010883040886255912,0.00010883040886255912,0.00010883040886255912
1502,1.5895518572506262e-06,9.139485079382818e-05,9.139485079382818e-05,9.139485079382818e-05
1503,1.3624730205005368e-06,8.726311027982905e-05,8.726311027982905e-05,8.726311027982905e-05
1504,6.941679982576585e-07,1.7625730704042197e-05,1.7625730704042197e-05,1.7625730704042197e-05
1505,0.0,4.267180793249281e-05,4.267180793249281e-05,4.267180793249281e-05
1506,0.0,5.027423152828955e-05,5.027423152828955e-05,5.027423152828955e-05
1507,0.0,5.027423152828955e-05,5.027423152828955e-05,5.027423152828955e-05
1508,0.0,5.027423152828955e-05,5.027423152828955e-05,5.027423152828955e-05
1509,0.0,4.967179432112191e-05,4.967179432112191e-05,4.967179432112191e-05
1510,0.0,4.0747127578859886e-05,4.0747127578859886e-05,4.0747127578859886e-05
1511,0.0,4.0747127578859886e-05,4.0747127578859886e-05,4.0747127578859886e-05
1512,0.0,7.602423595796738e-06,7.602423595796738e-06,7.602423595796738e-06
1513,0.0,0.0,0.0,0.0
1514,0.0,5.713222890335601e-07,5.713222890335601e-07,5.713222890335601e-07
1515,0.0,5.713222890335601e-07,5.713222890335601e-07,5.713222890335601e-07
1516,0.0,5.713222890335601e-07,5.713222890335601e-07,5.713222890335601e-07
1517,0.0,3.404176050025853e-05,3.404176050025853e-05,3.404176050025853e-05
1518,0.0,3.404176050025853e-05,3.404176050025853e-05,3.404176050025853e-05
1519,0.0,3.404176050025853e-05,3.404176050025853e-05,3.404176050025853e-05
1520,0.0,3.553131741032952e-05,3.553131741032952e-05,3.553131741032952e-05
1521,0.0,3.495999512129596e-05,3.495999512129596e-05,3.495999512129596e-05
1522,0.0,6.035005000220346e-05,6.035005000220346e-05,6.035005000220346e-05
1523,0.0,7.390303965491642e-05,7.390303965491642e-05,7.390303965491642e-05
1524,0.0,4.2497279537201393e-05,4.2497279537201393e-05,4.2497279537201393e-05
1525,0.0,4.2497279537201393e-05,4.2497279537201393e-05,4.2497279537201393e-05
1526,0.0,8.44501434715182e-05,8.44501434715182e-05,8.44501434715182e-05
1527,0.0,8.29605865614472e-05,8.29605865614472e-05,8.29605865614472e-05
1528,0.0,8.400581899487796e-05,8.400581899487796e-05,8.400581899487796e-05
1529,0.0,5.861576411397047e-05,5.861576411397047e-05,5.861576411397047e-05
1530,7.289485048594153e-07,5.453910534924944e-05,5.453910534924944e-05,5.453910534924944e-05
1531,7.289485048594153e-07,5.8219275485628585e-05,5.8219275485628585e-05,5.8219275485628585e-05
1532,7.289485048594153e-07,6.182660821910499e-05,6.182660821910499e-05,6.182660821910499e-05
1533,7.289485048594153e-07,3.583722023644701e-05,3.583722023644701e-05,3.583722023644701e-05
1534,7.289485048594153e-07,4.988192742010662e-05,4.988192742010662e-05,4.988192742010662e-05
1535,7.289485048594153e-07,4.921320455001218e-05,4.921320455001218e-05,4.921320455001218e-05
1536,5.201592427640987e-06,7.157642364420878e-05,7.157642364420878e-05,7.157642364420878e-05
1537,4.472643922781572e-06,6.210009275621684e-05,6.210009275621684e-05,6.210009275621684e-05
1538,4.472643922781572e-06,5.635524452632775e-05,5.635524452632775e-05,5.635524452632775e-05
1539,5.302755068571839e-06,8.844269132168847e-05,8.844269132168847e-05,8.844269132168847e-05
1540,5.302755068571839e-06,7.247921537002964e-05,7.247921537002964e-05,7.247921537002964e-05
1541,5.302755068571839e-06,5.8434508186370037e-05,5.8434508186370037e-05,5.8434508186370037e-05
1542,5.302755068571839e-06,6.257193776296585e-05,6.257193776296585e-05,6.257193776296585e-05
1543,8.301111457902672e-07,4.020871866876925e-05,4.020871866876925e-05,4.020871866876925e-05
1544,1.2474259035246047e-06,4.994606310252233e-05,4.994606310252233e-05,4.994606310252233e-05
1545,1.2474259035246047e-06,5.074982339335422e-05,5.074982339335422e-05,5.074982339335422e-05
1546,4.1731475773433756e-07,1.9530342992116596e-05,1.9530342992116596e-05,1.9530342992116596e-05
1547,4.1731475773433756e-07,2.6084625395534594e-05,2.6084625395534594e-05,2.6084625395534594e-05
1548,4.1731475773433756e-07,2.8165318911175875e-05,2.8165318911175875e-05,2.8165318911175875e-05
1549,1.6299724977995668e-06,2.7289352861511622e-05,2.7289352861511622e-05,2.7289352861511622e-05
1550,1.6299724977995668e-06,3.91769589701393e-05,3.91769589701393e-05,3.91769589701393e-05
1551,1.2126577400652292e-06,3.416200882254218e-05,3.416200882254218e-05,3.416200882254218e-05
1552,1.9337687392960234e-06,3.624269252863347e-05,3.624269252863347e-05,3.624269252863347e-05
1553,1.9337687392960234e-06,3.1767393401033974e-05,3.1767393401033974e-05,3.1767393401033974e-05
1554,1.9337687392960234e-06,2.521311099761598e-05,2.521311099761598e-05,2.521311099761598e-05
1555,1.9337687392960234e-06,2.914226752182003e-05,2.914226752182003e-05,2.914226752182003e-05
1556,7.211109992307943e-07,3.4872181328994755e-05,3.4872181328994755e-05,3.4872181328994755e-05
1557,7.211109992307943e-07,2.298457522036707e-05,2.298457522036707e-05,2.298457522036707e-05
1558,7.211109992307943e-07,2.6446764812655082e-05,2.6446764812655082e-05,2.6446764812655082e-05
1559,0.0,2.3562320815731903e-05,2.3562320815731903e-05,2.3562320815731903e-05
1560,4.4869024610047094e-07,2.6703152668363017e-05,2.6703152668363017e-05,2.6703152668363017e-05
1561,4.4869024610047094e-07,2.6703152668363017e-05,2.6703152668363017e-05,2.6703152668363017e-05
1562,4.4869024610047094e-07,2.2471017213579865e-05,2.2471017213579865e-05,2.2471017213579865e-05
1563,4.4869024610047094e-07,1.9922456106412157e-05,1.9922456106412157e-05,1.9922456106412157e-05
