ngram,AES,AES,AE,A
1589,0.0,0.0,6.695058151048475e-07,0.0013836300807140236
1590,0.0,0.0,9.294814650015074e-07,0.0012251156523624168
1591,0.0,0.0,9.294814650015074e-07,0.0013085581844539515
1592,0.0,0.0,9.294814650015074e-07,0.001343976814366345
1593,0.0,0.0,9.294814650015074e-07,0.0008990541183655816
1594,0.0,0.0,9.294814650015074e-07,0.001063165080267936
1595,0.0,0.0,2.599756498966599e-07,0.0011553011052975698
1596,0.0,0.0,2.599756498966599e-07,0.001198470135152872
1597,0.0,0.0,0.0,0.0012606503192468413
1598,4.423391633931065e-08,4.423391633931065e-08,3.0963740625468616e-07,0.0013083590643613466
1599,4.423391633931065e-08,4.423391633931065e-08,4.2754855452845473e-07,0.0013060949692901755
1600,4.423391633931065e-08,4.423391633931065e-08,4.2754855452845473e-07,0.0012565009611924844
1601,4.423391633931065e-08,4.423391633931065e-08,4.2754855452845473e-07,0.001125319179014436
1602,4.423391633931065e-08,4.423391633931065e-08,6.363499908599936e-07,0.0010235332301817834
1603,4.423391633931065e-08,4.423391633931065e-08,6.363499908599936e-07,0.0008201432564029736
1604,4.423391633931065e-08,4.423391633931065e-08,6.363499908599936e-07,0.0006826966418884695
1605,0.0,0.0,3.267125846053075e-07,0.0006672582738766712
1606,0.0,0.0,2.8888154344843186e-07,0.000656292457798762
1607,7.464970752023094e-07,7.464970752023094e-07,2.8888154344843186e-07,0.0007151510300380843
1608,7.464970752023094e-07,7.464970752023094e-07,2.8888154344843186e-07,0.0007114084188028105
1609,7.464970752023094e-07,7.464970752023094e-07,8.008010711689297e-08,0.0007618766477597612
1610,7.464970752023094e-07,7.464970752023094e-07,8.008010711689297e-08,0.0007556917095955994
1611,7.464970752023094e-07,7.464970752023094e-07,8.008010711689297e-08,0.000792983328990106
1612,7.464970752023094e-07,7.464970752023094e-07,8.008010711689297e-08,0.0007298071951871472
1613,7.464970752023094e-07,7.464970752023094e-07,6.392419241560024e-07,0.0007739305978507868
1614,0.0,0.0,6.392419241560024e-07,0.0007336549544041711
1615,0.0,0.0,6.392419241560024e-07,0.0007058766620632793
1616,0.0,0.0,6.392419241560024e-07,0.0006690559759070831
