ngram,IBM,IM,IB,IM
1500,2.3390674641632359e-07,2.429588050745224e-07,1.979396472506778e-06,2.429588050745224e-07
1501,1.8712539713305886e-07,1.9436704405961792e-07,1.5835171780054225e-06,1.9436704405961792e-07
1502,1.5593783094421573e-07,3.376833888069086e-07,1.319597648337852e-06,3.376833888069086e-07
1503,1.336609979521849e-07,2.8944290469163594e-07,1.1310836985753018e-06,2.8944290469163594e-07
1504,0.0,2.8944290469163594e-07,4.627786763324236e-07,2.8944290469163594e-07
1505,0.0,1.506093017919089e-07,3.156638480764481e-07,1.506093017919089e-07
1506,0.0,1.506093017919089e-07,3.156638480764481e-07,1.506093017919089e-07
1507,0.0,1.506093017919089e-07,3.156638480764481e-07,1.506093017919089e-07
1508,0.0,1.506093017919089e-07,3.156638480764481e-07,1.506093017919089e-07
1509,0.0,0.0,3.156638480764481e-07,0.0
1510,0.0,0.0,3.156638480764481e-07,0.0
1511,0.0,0.0,3.156638480764481e-07,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,1.7139669320645875e-06,0.0
1515,0.0,0.0,1.7139669320645875e-06,0.0
1516,0.0,0.0,1.7139669320645875e-06,0.0
1517,0.0,0.0,1.7139669320645875e-06,0.0
1518,0.0,0.0,1.7139669320645875e-06,0.0
1519,0.0,0.0,1.7139669320645875e-06,0.0
1520,0.0,0.0,1.7139669320645875e-06,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,1.0323390597477555e-05,0.0
1525,0.0,0.0,1.0323390597477555e-05,0.0
1526,2.5425979401916265e-06,0.0,1.0323390597477555e-05,0.0
1527,2.5425979401916265e-06,0.0,1.0323390597477555e-05,0.0
1528,2.5425979401916265e-06,0.0,1.0323390597477555e-05,0.0
1529,2.5425979401916265e-06,0.0,1.0323390597477555e-05,0.0
1530,2.5425979401916265e-06,0.0,1.0323390597477555e-05,0.0
1531,2.5425979401916265e-06,0.0,0.0,0.0
1532,2.993514531876177e-06,0.0,0.0,0.0
1533,4.509165916845502e-07,0.0,0.0,0.0
1534,4.509165916845502e-07,0.0,0.0,0.0
1535,4.509165916845502e-07,0.0,7.530191266726303e-07,0.0
1536,4.509165916845502e-07,0.0,7.530191266726303e-07,0.0
1537,4.509165916845502e-07,0.0,7.530191266726303e-07,0.0
1538,4.509165916845502e-07,0.0,3.929457696878151e-06,0.0
1539,0.0,0.0,3.929457696878151e-06,0.0
1540,0.0,0.0,3.929457696878151e-06,0.0
1541,0.0,0.0,3.929457696878151e-06,0.0
1542,0.0,0.0,3.1764385702055212e-06,0.0
1543,0.0,0.0,3.1764385702055212e-06,0.0
1544,0.0,0.0,3.1764385702055212e-06,0.0
1545,0.0,0.0,0.0,0.0
1546,0.0,0.0,0.0,0.0
1547,0.0,0.0,3.277141201708998e-06,0.0
1548,0.0,0.0,3.277141201708998e-06,0.0
1549,0.0,0.0,3.277141201708998e-06,0.0
1550,0.0,0.0,3.277141201708998e-06,0.0
1551,0.0,0.0,3.277141201708998e-06,0.0
1552,0.0,0.0,3.277141201708998e-06,0.0
1553,0.0,0.0,3.277141201708998e-06,0.0
1554,0.0,0.0,0.0,0.0
1555,0.0,0.0,0.0,0.0
1556,0.0,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0
1558,0.0,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0
1562,0.0,0.0,0.0,0.0
1563,0.0,4.5462171068980493e-07,0.0,4.5462171068980493e-07
1564,0.0,4.5462171068980493e-07,0.0,4.5462171068980493e-07
1565,0.0,4.5462171068980493e-07,0.0,4.5462171068980493e-07
1566,0.0,4.5462171068980493e-07,1.9036705063107156e-06,4.5462171068980493e-07
1567,0.0,4.5462171068980493e-07,1.9036705063107156e-06,4.5462171068980493e-07
1568,0.0,4.5462171068980493e-07,1.9036705063107156e-06,4.5462171068980493e-07
1569,0.0,4.5462171068980493e-07,1.9036705063107156e-06,4.5462171068980493e-07
1570,0.0,0.0,1.9036705063107156e-06,0.0
1571,0.0,0.0,1.9036705063107156e-06,0.0
1572,0.0,0.0,1.9036705063107156e-06,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,5.447115459641541e-07,0.0
1575,0.0,0.0,5.447115459641541e-07,0.0
1576,0.0,0.0,5.447115459641541e-07,0.0
1577,0.0,0.0,5.447115459641541e-07,0.0
1578,0.0,0.0,5.447115459641541e-07,0.0
1579,0.0,0.0,5.447115459641541e-07,0.0
1580,0.0,0.0,5.447115459641541e-07,0.0
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0
1583,0.0,0.0,0.0,0.0
1584,0.0,0.0,0.0,0.0
1585,0.0,1.887180880138268e-07,0.0,1.887180880138268e-07
1586,0.0,1.887180880138268e-07,0.0,1.887180880138268e-07
1587,0.0,1.887180880138268e-07,0.0,1.887180880138268e-07
1588,0.0,1.887180880138268e-07,0.0,1.887180880138268e-07
1589,0.0,1.887180880138268e-07,0.0,1.887180880138268e-07
1590,0.0,1.887180880138268e-07,0.0,1.887180880138268e-07
1591,0.0,1.887180880138268e-07,0.0,1.887180880138268e-07
1592,0.0,0.0,0.0,0.0
1593,0.0,0.0,2.2327672663128135e-07,0.0
1594,0.0,0.0,3.909083099123174e-07,0.0
1595,0.0,0.0,3.909083099123174e-07,0.0
1596,0.0,4.2083645114741687e-07,6.013265354860258e-07,4.2083645114741687e-07
1597,0.0,4.2083645114741687e-07,6.013265354860258e-07,4.2083645114741687e-07
1598,8.84678326786213e-08,4.650703674867275e-07,9.55197866200511e-07,4.650703674867275e-07
1599,8.84678326786213e-08,4.650703674867275e-07,1.1910201627480482e-06,4.650703674867275e-07
1600,8.84678326786213e-08,4.650703674867275e-07,9.677434361167668e-07,4.650703674867275e-07
1601,8.84678326786213e-08,4.650703674867275e-07,8.001118528357308e-07,4.650703674867275e-07
1602,8.84678326786213e-08,5.69471085652497e-07,8.001118528357308e-07,5.69471085652497e-07
1603,8.84678326786213e-08,1.4863463450508008e-07,5.896936272620223e-07,1.4863463450508008e-07
1604,8.84678326786213e-08,1.4863463450508008e-07,5.896936272620223e-07,1.4863463450508008e-07
1605,0.0,1.0440071816576944e-07,2.3582229654753713e-07,1.0440071816576944e-07
1606,0.0,1.0440071816576944e-07,8.008010711689297e-08,1.0440071816576944e-07
1607,0.0,1.0440071816576944e-07,8.008010711689297e-08,1.0440071816576944e-07
1608,0.0,1.0440071816576944e-07,8.008010711689297e-08,1.0440071816576944e-07
1609,0.0,0.0,8.008010711689297e-08,0.0
1610,0.0,1.2744826400583926e-07,8.008010711689297e-08,1.2744826400583926e-07
1611,0.0,1.2744826400583926e-07,2.84904664178092e-07,1.2744826400583926e-07
1612,0.0,1.2744826400583926e-07,2.84904664178092e-07,1.2744826400583926e-07
1613,0.0,1.2744826400583926e-07,2.0482455706119902e-07,1.2744826400583926e-07
1614,0.0,1.2744826400583926e-07,2.0482455706119902e-07,1.2744826400583926e-07
1615,0.0,5.083915165674366e-07,2.0482455706119902e-07,5.083915165674366e-07
1616,0.0,5.083915165674366e-07,2.0482455706119902e-07,5.083915165674366e-07
1617,0.0,3.809432525615973e-07,2.0482455706119902e-07,3.809432525615973e-07
1618,0.0,3.809432525615973e-07,0.0,3.809432525615973e-07
1619,0.0,6.060122521895599e-07,0.0,6.060122521895599e-07
1620,0.0,6.060122521895599e-07,0.0,6.060122521895599e-07
1621,0.0,6.060122521895599e-07,0.0,6.060122521895599e-07
1622,0.0,2.9541740786953596e-07,0.0,2.9541740786953596e-07
1623,0.0,5.648315988894735e-07,0.0,5.648315988894735e-07
1624,7.466609791403503e-07,5.648315988894735e-07,0.0,5.648315988894735e-07
1625,7.466609791403503e-07,5.648315988894735e-07,0.0,5.648315988894735e-07
1626,7.466609791403503e-07,7.990062320979112e-07,0.0,7.990062320979112e-07
1627,7.466609791403503e-07,7.990062320979112e-07,0.0,7.990062320979112e-07
1628,7.466609791403503e-07,1.1920760048919225e-06,0.0,1.1920760048919225e-06
1629,7.466609791403503e-07,1.121727596650349e-06,0.0,1.121727596650349e-06
1630,9.191589762329906e-07,8.523134056304116e-07,1.7249799709264023e-07,8.523134056304116e-07
1631,1.7249799709264023e-07,9.089933915415063e-07,2.29177983003735e-07,9.089933915415063e-07
1632,2.641241313280521e-07,9.089933915415063e-07,2.29177983003735e-07,9.089933915415063e-07
1633,2.641241313280521e-07,4.4974975870510594e-07,2.29177983003735e-07,4.4974975870510594e-07
1634,7.577967835459276e-07,4.4974975870510594e-07,3.525961460582039e-07,4.4974975870510594e-07
1635,7.577967835459276e-07,5.6679985911094784e-08,4.349158595167475e-07,5.6679985911094784e-08
1636,7.577967835459276e-07,5.6679985911094784e-08,4.349158595167475e-07,5.6679985911094784e-08
1637,5.852987864532874e-07,5.6679985911094784e-08,2.6241786242410724e-07,5.6679985911094784e-08
1638,5.852987864532874e-07,6.733503710165678e-08,2.0573787651301245e-07,6.733503710165678e-08
1639,4.936726522178755e-07,1.4520526698496334e-07,2.0573787651301245e-07,1.4520526698496334e-07
1640,4.936726522178755e-07,2.4801332187962544e-07,2.0573787651301245e-07,2.4801332187962544e-07
1641,0.0,2.4801332187962544e-07,8.231971345854358e-08,2.4801332187962544e-07
1642,0.0,4.639129908160352e-07,0.0,4.639129908160352e-07
1643,0.0,4.639129908160352e-07,0.0,4.639129908160352e-07
1644,0.0,4.639129908160352e-07,0.0,4.639129908160352e-07
1645,0.0,3.9657795371437844e-07,9.823366196672265e-08,3.9657795371437844e-07
1646,6.044304297704782e-07,5.201845445818825e-07,1.9897207234212795e-07,5.201845445818825e-07
1647,6.044304297704782e-07,5.214220420514591e-07,3.0301762470636664e-07,5.214220420514591e-07
1648,6.044304297704782e-07,6.589697493706938e-07,3.0301762470636664e-07,6.589697493706938e-07
1649,6.044304297704782e-07,4.43070080434284e-07,3.812453996943077e-07,4.43070080434284e-07
1650,6.044304297704782e-07,4.43070080434284e-07,3.812453996943077e-07,4.43070080434284e-07
1651,6.044304297704782e-07,5.720703240643031e-07,4.2424548090431405e-07,5.720703240643031e-07
1652,6.044304297704782e-07,6.277417209535738e-07,3.8168321582686205e-07,6.277417209535738e-07
1653,0.0,5.770164567106153e-07,4.3169636195930903e-07,5.770164567106153e-07
1654,0.0,4.729709043463767e-07,3.276508095950703e-07,4.729709043463767e-07
1655,0.0,3.35423197027142e-07,3.276508095950703e-07,3.35423197027142e-07
