ngram,George Weston
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,5.6358717058304e-09
1725,5.6358717058304e-09
1726,5.6358717058304e-09
1727,5.6358717058304e-09
1728,5.6358717058304e-09
1729,5.6358717058304e-09
1730,5.6358717058304e-09
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,3.1029781918537733e-09
1740,3.1029781918537733e-09
1741,3.1029781918537733e-09
1742,3.1029781918537733e-09
1743,3.1029781918537733e-09
1744,3.1029781918537733e-09
1745,1.5152762853988733e-08
1746,1.2049784662134958e-08
1747,1.2049784662134958e-08
1748,1.2049784662134958e-08
1749,1.2049784662134958e-08
1750,1.2049784662134958e-08
1751,1.2049784662134958e-08
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,2.7172615903379794e-09
1764,2.7172615903379794e-09
1765,2.7172615903379794e-09
1766,2.7172615903379794e-09
1767,5.52861680245899e-09
1768,5.52861680245899e-09
1769,5.52861680245899e-09
1770,5.557733321178862e-09
1771,5.557733321178862e-09
1772,5.557733321178862e-09
1773,5.557733321178862e-09
1774,2.746378109057852e-09
1775,2.746378109057852e-09
1776,2.746378109057852e-09
1777,0.0
1778,0.0
1779,7.344359533232949e-09
1780,7.344359533232949e-09
1781,7.344359533232949e-09
1782,7.344359533232949e-09
1783,7.344359533232949e-09
1784,7.344359533232949e-09
1785,7.344359533232949e-09
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,2.0708825130912244e-09
1792,4.153392550522637e-09
1793,5.0935780672643565e-09
1794,5.0935780672643565e-09
1795,5.0935780672643565e-09
1796,5.9990009150721696e-09
1797,1.0865993311475514e-08
1798,8.79511079838429e-09
1799,6.7126007609528776e-09
1800,5.772415244211158e-09
1801,5.772415244211158e-09
1802,5.772415244211158e-09
1803,4.866992396403345e-09
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,2.246801157822022e-10
1809,2.246801157822022e-10
1810,2.246801157822022e-10
1811,8.968732106191218e-10
1812,2.038247697606315e-09
1813,2.038247697606315e-09
1814,2.038247697606315e-09
1815,1.8135675818241127e-09
1816,1.995117039830875e-09
1817,2.3223238094465567e-09
1818,1.8209832530757808e-09
1819,1.1101779971513436e-09
1820,1.6733160412840675e-09
1821,1.9185978361591083e-09
1822,2.3948496360607206e-09
1823,2.2133001780539577e-09
1824,3.2947955157831235e-09
1825,4.333407125197855e-09
1826,4.582414669940249e-09
1827,4.419134074546654e-09
1828,5.018027929689797e-09
1829,4.676274573916268e-09
1830,4.858528056063603e-09
1831,3.894097362027489e-09
1832,3.335894988814354e-09
1833,2.735219289158002e-09
1834,2.890853746860346e-09
1835,2.607473253186348e-09
1836,2.9036359348668027e-09
1837,3.091393966211545e-09
1838,3.376992558606113e-09
1839,2.7257307839383723e-09
1840,2.935901236408459e-09
1841,3.651560006748663e-09
1842,3.729727701288052e-09
1843,4.552675982237377e-09
1844,4.948822970466235e-09
1845,4.601780702527338e-09
1846,4.851209418304287e-09
1847,5.140919039676411e-09
1848,4.02646241745178e-09
1849,3.7982217212676315e-09
1850,2.9072894092152524e-09
1851,4.135632741026589e-09
1852,5.878037437742226e-09
1853,6.641846659962068e-09
1854,8.134716678043219e-09
1855,8.679238724543633e-09
1856,1.1063923396495819e-08
1857,1.3958370142270432e-08
1858,1.3172740422260989e-08
1859,1.575173026933742e-08
1860,2.3758985636033814e-08
1861,3.1813362230285036e-08
1862,3.2440686581480804e-08
1863,3.160288411915449e-08
1864,3.157811764456905e-08
1865,3.146538559864861e-08
1866,2.8953556631604116e-08
1867,2.0674446472262227e-08
1868,1.1829580933867386e-08
1869,1.0727165727126525e-08
1870,9.413421692932339e-09
1871,6.992619086939758e-09
1872,6.872024187793662e-09
1873,5.125522831558474e-09
1874,6.238808612581335e-09
1875,6.638085541561216e-09
1876,8.273334588843845e-09
1877,8.128432561958578e-09
1878,8.318526724591737e-09
1879,8.00736927557872e-09
1880,8.844518419236027e-09
1881,7.440347893350463e-09
1882,6.345930638117027e-09
1883,5.340257950133978e-09
1884,5.392669200077194e-09
1885,5.798774190982467e-09
1886,6.498471443500924e-09
1887,6.66177294280804e-09
1888,7.4179475260751e-09
1889,7.777594758705066e-09
1890,8.245160363985958e-09
1891,8.667676481317293e-09
1892,8.221118262343095e-09
1893,8.50108263149098e-09
1894,8.671057776561092e-09
1895,9.154568658686912e-09
1896,1.0788577206203139e-08
1897,1.0718291968255959e-08
1898,1.1457425865200678e-08
1899,1.2433295155338847e-08
1900,1.3226416279670567e-08
1901,1.2765828648144049e-08
1902,1.3233907937758107e-08
1903,1.2348672053162448e-08
1904,1.4256677235583278e-08
1905,1.6971926974918006e-08
1906,1.961661005062914e-08
1907,2.143667034358389e-08
1908,2.4177491374034943e-08
1909,2.5328829192769068e-08
1910,2.645910259145369e-08
1911,2.8061521868088287e-08
1912,2.706903399842174e-08
1913,2.6207236000378283e-08
1914,2.7838048564733853e-08
1915,2.7545958149387062e-08
1916,2.6868454382013496e-08
1917,2.688398050208564e-08
1918,2.6123254924316697e-08
1919,2.39698213024196e-08
1920,2.1593364429861595e-08
1921,1.7413053855973104e-08
1922,1.5344562572952976e-08
1923,1.4601616677672219e-08
1924,1.4219691836712757e-08
1925,1.2182917912590646e-08
1926,1.3729563517829644e-08
1927,1.530076078535915e-08
1928,1.5064913507144084e-08
1929,1.643468802317979e-08
1930,1.573515514711029e-08
1931,1.4971498199908443e-08
1932,1.4398430511367418e-08
1933,1.4188349415990485e-08
1934,1.4560140648711695e-08
1935,1.4904096496642135e-08
1936,1.3550081564720325e-08
1937,1.3873805723311046e-08
1938,1.434867323370424e-08
1939,1.4612125985382006e-08
1940,1.4420685978677739e-08
1941,1.3468016416392662e-08
1942,1.3879748144469367e-08
1943,1.4245833719022422e-08
1944,1.4266818329896784e-08
1945,1.5005535100190822e-08
1946,1.496984060521202e-08
1947,1.4809257185634448e-08
1948,1.4051904275090367e-08
1949,1.3829284638079895e-08
1950,1.3986183005394132e-08
1951,1.5252900783683084e-08
1952,1.4298014328062436e-08
1953,1.5004243054355422e-08
1954,1.5111447712204803e-08
1955,1.6071202019978566e-08
1956,1.714182269146087e-08
1957,1.7382525641096436e-08
1958,1.598543583217601e-08
1959,1.5504557764651443e-08
1960,1.4295729552519073e-08
1961,1.4127135271126332e-08
1962,1.2580926078697985e-08
1963,1.3680864250988276e-08
1964,1.2623956419892984e-08
1965,1.4449587494778728e-08
1966,1.5212190935492183e-08
1967,1.6838421387380516e-08
1968,1.978458787275729e-08
1969,2.585390073457055e-08
1970,2.4023581727102998e-08
1971,2.6122530932022007e-08
1972,2.7943080484403382e-08
1973,3.2221805414321484e-08
1974,3.5983150427552705e-08
1975,3.3715418520533346e-08
1976,2.9591467054501663e-08
1977,3.0063988631923166e-08
1978,2.961719428437196e-08
1979,2.66851986856815e-08
1980,2.3376869582948856e-08
1981,1.986866379358584e-08
1982,1.9515215475353542e-08
1983,1.952944612375924e-08
1984,1.9445551327886993e-08
1985,1.9404899147852054e-08
1986,2.0486491233587652e-08
1987,2.036674600398263e-08
1988,1.980925544233157e-08
1989,2.0785485332908138e-08
1990,2.0395359052421165e-08
1991,2.1088485624431996e-08
1992,2.1058847618097128e-08
1993,2.044649782817487e-08
1994,2.1255585482192274e-08
1995,2.3281427325676825e-08
1996,2.31719864883319e-08
1997,2.3827402780999104e-08
1998,2.3739315782985874e-08
1999,2.498261635659154e-08
2000,2.486760689432036e-08
2001,2.367293002894907e-08
2002,2.2184000921957444e-08
2003,2.1750465301855522e-08
2004,2.3040962407857738e-08
2005,2.320007170502387e-08
2006,2.1875412719347357e-08
2007,2.0670060837549694e-08
2008,1.946427032249533e-08
2009,1.741105589861799e-08
2010,1.555420091138769e-08
2011,1.2036539003596708e-08
2012,9.538357913031957e-09
2013,8.062203603133509e-09
2014,8.094246669746293e-09
2015,7.602077189972078e-09
2016,8.18364036853885e-09
2017,8.256215785114781e-09
2018,8.524648720253935e-09
2019,8.90618223614581e-09
