ngram,VINCI,VICI,VICI
1500,0.0,0.0,0.0
1501,0.0,0.0,0.0
1502,0.0,0.0,0.0
1503,0.0,0.0,0.0
1504,0.0,0.0,0.0
1505,0.0,0.0,0.0
1506,0.0,0.0,0.0
1507,0.0,0.0,0.0
1508,0.0,0.0,0.0
1509,0.0,0.0,0.0
1510,0.0,0.0,0.0
1511,0.0,0.0,0.0
1512,0.0,0.0,0.0
1513,0.0,0.0,0.0
1514,0.0,0.0,0.0
1515,0.0,0.0,0.0
1516,0.0,0.0,0.0
1517,0.0,0.0,0.0
1518,0.0,0.0,0.0
1519,0.0,0.0,0.0
1520,0.0,0.0,0.0
1521,0.0,0.0,0.0
1522,0.0,0.0,0.0
1523,0.0,0.0,0.0
1524,0.0,0.0,0.0
1525,0.0,0.0,0.0
1526,0.0,0.0,0.0
1527,0.0,0.0,0.0
1528,0.0,0.0,0.0
1529,0.0,0.0,0.0
1530,0.0,0.0,0.0
1531,0.0,0.0,0.0
1532,0.0,0.0,0.0
1533,0.0,0.0,0.0
1534,0.0,0.0,0.0
1535,0.0,0.0,0.0
1536,0.0,0.0,0.0
1537,0.0,0.0,0.0
1538,0.0,0.0,0.0
1539,0.0,0.0,0.0
1540,0.0,0.0,0.0
1541,0.0,0.0,0.0
1542,0.0,0.0,0.0
1543,0.0,0.0,0.0
1544,0.0,0.0,0.0
1545,0.0,0.0,0.0
1546,0.0,0.0,0.0
1547,0.0,0.0,0.0
1548,0.0,0.0,0.0
1549,0.0,0.0,0.0
1550,0.0,0.0,0.0
1551,0.0,0.0,0.0
1552,0.0,0.0,0.0
1553,0.0,0.0,0.0
1554,0.0,0.0,0.0
1555,0.0,0.0,0.0
1556,0.0,0.0,0.0
1557,0.0,0.0,0.0
1558,0.0,0.0,0.0
1559,0.0,0.0,0.0
1560,0.0,0.0,0.0
1561,0.0,0.0,0.0
1562,0.0,0.0,0.0
1563,0.0,0.0,0.0
1564,0.0,0.0,0.0
1565,0.0,0.0,0.0
1566,0.0,0.0,0.0
1567,0.0,0.0,0.0
1568,0.0,0.0,0.0
1569,0.0,0.0,0.0
1570,0.0,0.0,0.0
1571,0.0,0.0,0.0
1572,0.0,0.0,0.0
1573,0.0,0.0,0.0
1574,0.0,0.0,0.0
1575,0.0,0.0,0.0
1576,0.0,0.0,0.0
1577,0.0,0.0,0.0
1578,0.0,0.0,0.0
1579,0.0,0.0,0.0
1580,0.0,0.0,0.0
1581,0.0,0.0,0.0
1582,0.0,0.0,0.0
1583,0.0,0.0,0.0
1584,0.0,0.0,0.0
1585,0.0,0.0,0.0
1586,0.0,0.0,0.0
1587,0.0,0.0,0.0
1588,0.0,0.0,0.0
1589,0.0,0.0,0.0
1590,0.0,0.0,0.0
1591,0.0,0.0,0.0
1592,0.0,0.0,0.0
1593,0.0,0.0,0.0
1594,0.0,0.0,0.0
1595,0.0,0.0,0.0
1596,0.0,0.0,0.0
1597,0.0,0.0,0.0
1598,0.0,0.0,0.0
1599,0.0,0.0,0.0
1600,0.0,0.0,0.0
1601,0.0,0.0,0.0
1602,0.0,0.0,0.0
1603,0.0,0.0,0.0
1604,0.0,0.0,0.0
1605,0.0,0.0,0.0
1606,0.0,0.0,0.0
1607,0.0,0.0,0.0
1608,0.0,0.0,0.0
1609,0.0,0.0,0.0
1610,0.0,0.0,0.0
1611,0.0,0.0,0.0
1612,0.0,0.0,0.0
1613,0.0,0.0,0.0
1614,0.0,0.0,0.0
1615,0.0,0.0,0.0
1616,0.0,0.0,0.0
1617,0.0,0.0,0.0
1618,0.0,0.0,0.0
1619,0.0,0.0,0.0
1620,0.0,0.0,0.0
1621,0.0,0.0,0.0
1622,0.0,0.0,0.0
1623,0.0,0.0,0.0
1624,0.0,0.0,0.0
1625,0.0,0.0,0.0
1626,0.0,0.0,0.0
1627,0.0,0.0,0.0
1628,0.0,0.0,0.0
1629,0.0,0.0,0.0
1630,0.0,0.0,0.0
1631,0.0,0.0,0.0
1632,0.0,0.0,0.0
1633,0.0,0.0,0.0
1634,0.0,0.0,0.0
1635,0.0,0.0,0.0
1636,0.0,0.0,0.0
1637,0.0,0.0,0.0
1638,0.0,0.0,0.0
1639,0.0,0.0,0.0
1640,0.0,0.0,0.0
1641,0.0,0.0,0.0
1642,0.0,0.0,0.0
1643,0.0,0.0,0.0
1644,0.0,0.0,0.0
1645,0.0,0.0,0.0
1646,0.0,0.0,0.0
1647,0.0,0.0,0.0
1648,0.0,0.0,0.0
1649,0.0,0.0,0.0
1650,0.0,0.0,0.0
1651,0.0,0.0,0.0
1652,0.0,0.0,0.0
1653,0.0,0.0,0.0
1654,0.0,0.0,0.0
1655,0.0,0.0,0.0
1656,0.0,0.0,0.0
1657,0.0,0.0,0.0
1658,0.0,0.0,0.0
1659,0.0,0.0,0.0
1660,0.0,0.0,0.0
1661,0.0,0.0,0.0
1662,0.0,4.059985972812033e-08,4.059985972812033e-08
1663,0.0,4.059985972812033e-08,4.059985972812033e-08
1664,0.0,4.059985972812033e-08,4.059985972812033e-08
1665,0.0,4.059985972812033e-08,4.059985972812033e-08
1666,3.9948397605777634e-08,4.059985972812033e-08,4.059985972812033e-08
1667,3.9948397605777634e-08,4.059985972812033e-08,4.059985972812033e-08
1668,3.9948397605777634e-08,4.059985972812033e-08,4.059985972812033e-08
1669,3.9948397605777634e-08,0.0,0.0
1670,3.9948397605777634e-08,0.0,0.0
1671,3.9948397605777634e-08,0.0,0.0
1672,3.9948397605777634e-08,0.0,0.0
1673,0.0,0.0,0.0
1674,0.0,0.0,0.0
1675,0.0,0.0,0.0
1676,0.0,0.0,0.0
1677,0.0,0.0,0.0
1678,0.0,0.0,0.0
1679,0.0,0.0,0.0
1680,0.0,0.0,0.0
1681,0.0,2.237584746061267e-08,2.237584746061267e-08
1682,0.0,2.237584746061267e-08,2.237584746061267e-08
1683,0.0,2.237584746061267e-08,2.237584746061267e-08
1684,0.0,2.237584746061267e-08,2.237584746061267e-08
1685,0.0,2.237584746061267e-08,2.237584746061267e-08
1686,0.0,2.237584746061267e-08,2.237584746061267e-08
1687,0.0,2.237584746061267e-08,2.237584746061267e-08
1688,0.0,0.0,0.0
1689,0.0,0.0,0.0
1690,0.0,0.0,0.0
1691,0.0,0.0,0.0
1692,0.0,0.0,0.0
1693,0.0,0.0,0.0
1694,0.0,0.0,0.0
1695,0.0,0.0,0.0
1696,0.0,0.0,0.0
1697,0.0,0.0,0.0
1698,0.0,0.0,0.0
1699,1.3069540370582087e-08,0.0,0.0
1700,1.3069540370582087e-08,0.0,0.0
1701,2.2736299700097462e-08,0.0,0.0
1702,2.2736299700097462e-08,0.0,0.0
1703,2.2736299700097462e-08,1.104120985116554e-08,1.104120985116554e-08
1704,2.2736299700097462e-08,1.104120985116554e-08,1.104120985116554e-08
1705,2.2736299700097462e-08,1.104120985116554e-08,1.104120985116554e-08
1706,9.666759329515377e-09,1.104120985116554e-08,1.104120985116554e-08
1707,9.666759329515377e-09,1.104120985116554e-08,1.104120985116554e-08
1708,0.0,1.104120985116554e-08,1.104120985116554e-08
1709,0.0,1.104120985116554e-08,1.104120985116554e-08
1710,0.0,0.0,0.0
1711,0.0,0.0,0.0
1712,0.0,0.0,0.0
1713,0.0,0.0,0.0
1714,0.0,9.571610551769742e-09,9.571610551769742e-09
1715,0.0,9.571610551769742e-09,9.571610551769742e-09
1716,8.854958163543155e-09,9.571610551769742e-09,9.571610551769742e-09
1717,8.854958163543155e-09,9.571610551769742e-09,9.571610551769742e-09
1718,8.854958163543155e-09,9.571610551769742e-09,9.571610551769742e-09
1719,8.854958163543155e-09,9.571610551769742e-09,9.571610551769742e-09
1720,8.854958163543155e-09,9.571610551769742e-09,9.571610551769742e-09
1721,8.854958163543155e-09,0.0,0.0
1722,8.854958163543155e-09,0.0,0.0
1723,0.0,0.0,0.0
1724,0.0,0.0,0.0
1725,0.0,0.0,0.0
1726,0.0,0.0,0.0
1727,1.3685431708511584e-08,0.0,0.0
1728,1.3685431708511584e-08,0.0,0.0
1729,1.3685431708511584e-08,0.0,0.0
1730,1.3685431708511584e-08,0.0,0.0
1731,1.3685431708511584e-08,0.0,0.0
1732,1.994395556640224e-08,0.0,0.0
1733,1.994395556640224e-08,0.0,0.0
1734,6.258523857890655e-09,0.0,0.0
1735,6.258523857890655e-09,0.0,0.0
1736,6.258523857890655e-09,0.0,0.0
1737,6.258523857890655e-09,0.0,0.0
1738,6.258523857890655e-09,0.0,0.0
1739,0.0,0.0,0.0
1740,0.0,0.0,0.0
1741,1.1882701552882021e-08,0.0,0.0
1742,1.1882701552882021e-08,0.0,0.0
1743,1.1882701552882021e-08,0.0,0.0
1744,1.1882701552882021e-08,0.0,0.0
1745,1.1882701552882021e-08,0.0,0.0
1746,1.1882701552882021e-08,0.0,0.0
1747,1.1882701552882021e-08,0.0,0.0
1748,0.0,0.0,0.0
1749,0.0,0.0,0.0
1750,0.0,0.0,0.0
1751,3.569138635433384e-09,0.0,0.0
1752,7.46772878455561e-09,0.0,0.0
1753,1.2497081211141189e-08,0.0,0.0
1754,1.2497081211141189e-08,0.0,0.0
1755,1.2497081211141189e-08,0.0,0.0
1756,1.2497081211141189e-08,0.0,0.0
1757,2.1632451005107863e-08,0.0,0.0
1758,1.8063312369674478e-08,0.0,0.0
1759,1.7643517123490582e-08,0.0,0.0
1760,1.2614164696905e-08,0.0,0.0
1761,1.2614164696905e-08,0.0,0.0
1762,1.2614164696905e-08,2.6825820295276313e-09,2.6825820295276313e-09
1763,1.2614164696905e-08,2.6825820295276313e-09,2.6825820295276313e-09
1764,3.4787949029383267e-09,2.6825820295276313e-09,2.6825820295276313e-09
1765,3.4787949029383267e-09,2.6825820295276313e-09,2.6825820295276313e-09
1766,6.802104276662899e-09,2.6825820295276313e-09,2.6825820295276313e-09
1767,6.802104276662899e-09,2.6825820295276313e-09,2.6825820295276313e-09
1768,9.484316823967935e-09,5.364794576832667e-09,5.364794576832667e-09
1769,9.484316823967935e-09,2.682212547305036e-09,2.682212547305036e-09
1770,9.484316823967935e-09,8.448055715299624e-09,8.448055715299624e-09
1771,9.484316823967935e-09,1.108069953253172e-08,1.108069953253172e-08
1772,9.484316823967935e-09,1.108069953253172e-08,1.108069953253172e-08
1773,5.277403403169956e-09,1.108069953253172e-08,1.108069953253172e-08
1774,5.277403403169956e-09,1.108069953253172e-08,1.108069953253172e-08
1775,5.483880016754483e-09,8.398486985226685e-09,8.398486985226685e-09
1776,5.483880016754483e-09,1.1110856488828956e-08,1.1110856488828956e-08
1777,5.483880016754483e-09,1.701721455812536e-08,1.701721455812536e-08
1778,5.483880016754483e-09,1.994685813347782e-08,1.994685813347782e-08
1779,8.045565737445161e-09,1.994685813347782e-08,1.994685813347782e-08
1780,5.450374881580242e-09,1.994685813347782e-08,1.994685813347782e-08
1781,2.0750509881801397e-08,1.994685813347782e-08,1.994685813347782e-08
