ngram,3M,M,M,M
1500,9.122362826019526e-06,6.215968733158661e-05,6.215968733158661e-05,6.215968733158661e-05
1501,7.297890260815621e-06,4.972774986526929e-05,4.972774986526929e-05,4.972774986526929e-05
1502,6.081575217346351e-06,4.4954008747784734e-05,4.4954008747784734e-05,4.4954008747784734e-05
1503,5.212778757725443e-06,4.745667424036323e-05,4.745667424036323e-05,4.745667424036323e-05
1504,0.0,5.145882304142495e-05,5.145882304142495e-05,5.145882304142495e-05
1505,0.0,4.690849190020734e-05,4.690849190020734e-05,4.690849190020734e-05
1506,0.0,6.211333909180081e-05,6.211333909180081e-05,6.211333909180081e-05
1507,0.0,6.211333909180081e-05,6.211333909180081e-05,6.211333909180081e-05
1508,0.0,6.211333909180081e-05,6.211333909180081e-05,6.211333909180081e-05
1509,0.0,5.910115292603483e-05,5.910115292603483e-05,5.910115292603483e-05
1510,0.0,5.0176486183772795e-05,5.0176486183772795e-05,5.0176486183772795e-05
1511,0.0,1.9308477151623394e-05,1.9308477151623394e-05,1.9308477151623394e-05
1512,0.0,1.5204847191593476e-05,1.5204847191593476e-05,1.5204847191593476e-05
1513,0.0,0.0,0.0,0.0
1514,0.0,1.7139669320645875e-06,1.7139669320645875e-06,1.7139669320645875e-06
1515,0.0,1.7139669320645875e-06,1.7139669320645875e-06,1.7139669320645875e-06
1516,0.0,1.7139669320645875e-06,1.7139669320645875e-06,1.7139669320645875e-06
1517,0.0,1.1276949278128865e-05,1.1276949278128865e-05,1.1276949278128865e-05
1518,0.0,1.1276949278128865e-05,1.1276949278128865e-05,1.1276949278128865e-05
1519,0.0,1.1276949278128865e-05,1.1276949278128865e-05,1.1276949278128865e-05
1520,0.0,1.5149797296284565e-05,1.5149797296284565e-05,1.5149797296284565e-05
1521,0.0,1.3435830364219978e-05,1.3435830364219978e-05,1.3435830364219978e-05
1522,0.0,1.3435830364219978e-05,1.3435830364219978e-05,1.3435830364219978e-05
1523,0.0,1.774814544270547e-05,1.774814544270547e-05,1.774814544270547e-05
1524,6.19403415060203e-06,1.8508553694118746e-05,1.8508553694118746e-05,1.8508553694118746e-05
1525,6.19403415060203e-06,1.8508553694118746e-05,1.8508553694118746e-05,1.8508553694118746e-05
1526,6.19403415060203e-06,4.5205832066130824e-05,4.5205832066130824e-05,4.5205832066130824e-05
1527,6.19403415060203e-06,4.133298404797513e-05,4.133298404797513e-05,4.133298404797513e-05
1528,6.19403415060203e-06,4.969484351542113e-05,4.969484351542113e-05,4.969484351542113e-05
1529,6.19403415060203e-06,4.969484351542113e-05,4.969484351542113e-05,4.969484351542113e-05
1530,6.19403415060203e-06,0.00010661420206555963,0.00010661420206555963,0.00010661420206555963
1531,0.0,9.629081146808208e-05,9.629081146808208e-05,9.629081146808208e-05
1532,0.0,9.85453945239507e-05,9.85453945239507e-05,9.85453945239507e-05
1533,0.0,7.184811615193862e-05,7.184811615193862e-05,7.184811615193862e-05
1534,0.0,7.887046974376841e-05,7.887046974376841e-05,7.887046974376841e-05
1535,0.0,7.314417728464053e-05,7.314417728464053e-05,7.314417728464053e-05
1536,0.0,7.448597040950387e-05,7.448597040950387e-05,7.448597040950387e-05
1537,0.0,1.3254296780879876e-05,1.3254296780879876e-05,1.3254296780879876e-05
1538,0.0,1.6430735351085396e-05,1.6430735351085396e-05,1.6430735351085396e-05
1539,8.301111457902672e-07,3.0778375211022126e-05,3.0778375211022126e-05,3.0778375211022126e-05
1540,8.301111457902672e-07,3.0778375211022126e-05,3.0778375211022126e-05,3.0778375211022126e-05
1541,8.301111457902672e-07,2.3756021619192325e-05,2.3756021619192325e-05,2.3756021619192325e-05
1542,8.301111457902672e-07,3.165297909747876e-05,3.165297909747876e-05,3.165297909747876e-05
1543,8.301111457902672e-07,3.0311185972615412e-05,3.0311185972615412e-05,3.0311185972615412e-05
1544,8.301111457902672e-07,7.57984980737092e-05,7.57984980737092e-05,7.57984980737092e-05
1545,1.0980312481478904e-06,7.798046135576442e-05,7.798046135576442e-05,7.798046135576442e-05
1546,5.476262978325914e-07,7.228678025837456e-05,7.228678025837456e-05,7.228678025837456e-05
1547,5.476262978325914e-07,7.556392146008355e-05,7.556392146008355e-05,7.556392146008355e-05
1548,5.476262978325914e-07,7.70501311697964e-05,7.70501311697964e-05,7.70501311697964e-05
1549,5.476262978325914e-07,6.89429221633223e-05,6.89429221633223e-05,6.89429221633223e-05
1550,5.476262978325914e-07,8.083052827194999e-05,8.083052827194999e-05,8.083052827194999e-05
1551,5.476262978325914e-07,3.5343216170856196e-05,3.5343216170856196e-05,3.5343216170856196e-05
1552,2.7970619547496814e-07,3.503259150810274e-05,3.503259150810274e-05,3.503259150810274e-05
1553,0.0,2.4124049689687255e-05,2.4124049689687255e-05,2.4124049689687255e-05
1554,0.0,3.9360112818290614e-05,3.9360112818290614e-05,3.9360112818290614e-05
1555,0.0,4.147981313248498e-05,4.147981313248498e-05,4.147981313248498e-05
1556,0.0,0.00011920197305568893,0.00011920197305568893,0.00011920197305568893
1557,0.0,0.00010731436694706125,0.00010731436694706125,0.00010731436694706125
1558,0.0,0.00011072461035967405,0.00011072461035967405,0.00011072461035967405
1559,0.0,0.00010567683317016677,0.00010567683317016677,0.00010567683317016677
1560,0.0,0.00010747159415456866,0.00010747159415456866,0.00010747159415456866
1561,0.0,8.89583898242563e-05,8.89583898242563e-05,8.89583898242563e-05
1562,1.7777145850621828e-06,9.068562368546347e-05,9.068562368546347e-05,9.068562368546347e-05
1563,1.7777145850621828e-06,1.37205003868855e-05,1.37205003868855e-05,1.37205003868855e-05
1564,1.7777145850621828e-06,1.37205003868855e-05,1.37205003868855e-05,1.37205003868855e-05
1565,1.7777145850621828e-06,2.649906725439775e-05,2.649906725439775e-05,2.649906725439775e-05
1566,1.7777145850621828e-06,5.69577953553692e-05,5.69577953553692e-05,5.69577953553692e-05
1567,1.7777145850621828e-06,7.017577549309603e-05,7.017577549309603e-05,7.017577549309603e-05
1568,1.7777145850621828e-06,8.782226359471679e-05,8.782226359471679e-05,8.782226359471679e-05
1569,0.0,8.545994101690926e-05,8.545994101690926e-05,8.545994101690926e-05
1570,1.511012253883694e-05,8.227758891215282e-05,8.227758891215282e-05,8.227758891215282e-05
1571,1.511012253883694e-05,8.47294405892691e-05,8.47294405892691e-05,8.47294405892691e-05
1572,1.511012253883694e-05,7.010051272767928e-05,7.010051272767928e-05,7.010051272767928e-05
1573,1.511012253883694e-05,4.467542203201447e-05,4.467542203201447e-05,4.467542203201447e-05
1574,1.511012253883694e-05,3.837806564531222e-05,3.837806564531222e-05,3.837806564531222e-05
1575,1.511012253883694e-05,2.8275255057711286e-05,2.8275255057711286e-05,2.8275255057711286e-05
1576,1.511012253883694e-05,3.116327960534753e-05,3.116327960534753e-05,3.116327960534753e-05
1577,0.0,3.626623142086568e-05,3.626623142086568e-05,3.626623142086568e-05
1578,0.0,4.8750992521360915e-05,4.8750992521360915e-05,4.8750992521360915e-05
1579,0.0,4.9778129323385656e-05,4.9778129323385656e-05,4.9778129323385656e-05
1580,0.0,7.049647371916632e-05,7.049647371916632e-05,7.049647371916632e-05
1581,0.0,6.534093336085789e-05,6.534093336085789e-05,6.534093336085789e-05
1582,4.189813742933828e-07,6.240605112647504e-05,6.240605112647504e-05,6.240605112647504e-05
1583,4.189813742933828e-07,6.1113120214681e-05,6.1113120214681e-05,6.1113120214681e-05
1584,4.189813742933828e-07,5.690927998460081e-05,5.690927998460081e-05,5.690927998460081e-05
1585,4.189813742933828e-07,4.5180874686983384e-05,4.5180874686983384e-05,4.5180874686983384e-05
1586,4.189813742933828e-07,5.6971731867504006e-05,5.6971731867504006e-05,5.6971731867504006e-05
1587,4.189813742933828e-07,3.814134151980397e-05,3.814134151980397e-05,3.814134151980397e-05
1588,4.189813742933828e-07,3.6590014588000486e-05,3.6590014588000486e-05,3.6590014588000486e-05
1589,0.0,3.328830455627342e-05,3.328830455627342e-05,3.328830455627342e-05
1590,0.0,3.210207296433509e-05,3.210207296433509e-05,3.210207296433509e-05
1591,0.0,3.7599764514847524e-05,3.7599764514847524e-05,3.7599764514847524e-05
1592,0.0,4.155521855864208e-05,4.155521855864208e-05,4.155521855864208e-05
1593,0.0,3.0973046575257156e-05,3.0973046575257156e-05,3.0973046575257156e-05
1594,0.0,4.349671793793927e-05,4.349671793793927e-05,4.349671793793927e-05
1595,0.0,4.554537424285497e-05,4.554537424285497e-05,4.554537424285497e-05
1596,0.0,6.296551042136603e-05,6.296551042136603e-05,6.296551042136603e-05
1597,0.0,6.999716736442809e-05,6.999716736442809e-05,6.999716736442809e-05
1598,1.3270174901793196e-07,7.943610658652947e-05,7.943610658652947e-05,7.943610658652947e-05
1599,1.3270174901793196e-07,7.533813498282273e-05,7.533813498282273e-05,7.533813498282273e-05
1600,1.3270174901793196e-07,8.048894181099189e-05,8.048894181099189e-05,8.048894181099189e-05
1601,1.3270174901793196e-07,7.432570159185811e-05,7.432570159185811e-05,7.432570159185811e-05
1602,1.3270174901793196e-07,7.757657814571368e-05,7.757657814571368e-05,7.757657814571368e-05
1603,1.3270174901793196e-07,6.58552287079926e-05,6.58552287079926e-05,6.58552287079926e-05
1604,1.3270174901793196e-07,5.953037595775511e-05,5.953037595775511e-05,5.953037595775511e-05
1605,0.0,5.0890594658475106e-05,5.0890594658475106e-05,5.0890594658475106e-05
1606,0.0,5.535243482362213e-05,5.535243482362213e-05,5.535243482362213e-05
1607,0.0,5.088490589904333e-05,5.088490589904333e-05,5.088490589904333e-05
1608,0.0,3.979933691360722e-05,3.979933691360722e-05,3.979933691360722e-05
1609,0.0,4.720785675869722e-05,4.720785675869722e-05,4.720785675869722e-05
1610,0.0,4.619205304022346e-05,4.619205304022346e-05,4.619205304022346e-05
1611,0.0,4.650929362729325e-05,4.650929362729325e-05,4.650929362729325e-05
1612,0.0,4.603835051446887e-05,4.603835051446887e-05,4.603835051446887e-05
1613,0.0,4.698077568069233e-05,4.698077568069233e-05,4.698077568069233e-05
1614,0.0,5.0742037274176255e-05,5.0742037274176255e-05,5.0742037274176255e-05
1615,0.0,5.9592938279300665e-05,5.9592938279300665e-05,5.9592938279300665e-05
1616,0.0,5.460783047185812e-05,5.460783047185812e-05,5.460783047185812e-05
