ngram,BYD,BYD,BY,BY
1609,0.0,0.0,1.8155587375596432e-05,1.8155587375596432e-05
1610,0.0,0.0,1.617134148546029e-05,1.617134148546029e-05
1611,0.0,0.0,1.5289186973989543e-05,1.5289186973989543e-05
1612,0.0,0.0,1.3534323703165033e-05,1.3534323703165033e-05
1613,0.0,0.0,1.4727481487040808e-05,1.4727481487040808e-05
1614,0.0,0.0,1.2730322461201077e-05,1.2730322461201077e-05
1615,0.0,0.0,1.1658286634233913e-05,1.1658286634233913e-05
1616,0.0,0.0,1.3941814229058633e-05,1.3941814229058633e-05
1617,0.0,0.0,1.2257638380625785e-05,1.2257638380625785e-05
1618,0.0,0.0,1.2895821458057202e-05,1.2895821458057202e-05
1619,0.0,0.0,1.3864700187176432e-05,1.3864700187176432e-05
1620,0.0,0.0,1.4017137995584303e-05,1.4017137995584303e-05
1621,0.0,0.0,1.552616056090171e-05,1.552616056090171e-05
1622,0.0,0.0,1.5901794605659753e-05,1.5901794605659753e-05
1623,0.0,0.0,1.3644620139530161e-05,1.3644620139530161e-05
1624,0.0,0.0,1.3825156137110234e-05,1.3825156137110234e-05
1625,0.0,0.0,1.6424171592786608e-05,1.6424171592786608e-05
1626,0.0,0.0,1.5875157584689858e-05,1.5875157584689858e-05
1627,0.0,0.0,1.444364878417608e-05,1.444364878417608e-05
1628,0.0,0.0,1.4107680661774274e-05,1.4107680661774274e-05
1629,0.0,0.0,1.286850835770435e-05,1.286850835770435e-05
1630,0.0,0.0,1.1866433429271897e-05,1.1866433429271897e-05
1631,0.0,0.0,1.2294787698660262e-05,1.2294787698660262e-05
1632,0.0,0.0,9.008995383348e-06,9.008995383348e-06
1633,0.0,0.0,1.051361469503068e-05,1.051361469503068e-05
1634,0.0,0.0,1.0215153484490916e-05,1.0215153484490916e-05
1635,0.0,0.0,8.382548620439983e-06,8.382548620439983e-06
1636,0.0,0.0,2.257270758881142e-05,2.257270758881142e-05
1637,0.0,0.0,2.4203035081882263e-05,2.4203035081882263e-05
1638,0.0,0.0,2.4076056238949866e-05,2.4076056238949866e-05
1639,0.0,0.0,2.3649862864009003e-05,2.3649862864009003e-05
1640,0.0,0.0,2.474623585970091e-05,2.474623585970091e-05
1641,0.0,0.0,2.3484236278039005e-05,2.3484236278039005e-05
1642,0.0,0.0,2.779680010332543e-05,2.779680010332543e-05
1643,0.0,0.0,1.3759308395882336e-05,1.3759308395882336e-05
1644,0.0,0.0,1.334222984691483e-05,1.334222984691483e-05
1645,0.0,0.0,1.26831647061668e-05,1.26831647061668e-05
1646,0.0,0.0,1.2733237911431519e-05,1.2733237911431519e-05
1647,0.0,0.0,9.963607908503036e-06,9.963607908503036e-06
1648,0.0,0.0,1.1374111214276386e-05,1.1374111214276386e-05
1649,0.0,0.0,1.1191251847516728e-05,1.1191251847516728e-05
1650,0.0,0.0,1.0949311639965994e-05,1.0949311639965994e-05
1651,0.0,0.0,1.0552068910588527e-05,1.0552068910588527e-05
1652,0.0,0.0,1.7491414804940826e-05,1.7491414804940826e-05
1653,0.0,0.0,1.7941533152614803e-05,1.7941533152614803e-05
1654,0.0,0.0,1.7628721333754322e-05,1.7628721333754322e-05
1655,0.0,0.0,1.6079345398013955e-05,1.6079345398013955e-05
1656,0.0,0.0,1.5743329202320767e-05,1.5743329202320767e-05
1657,0.0,0.0,1.5839673795068976e-05,1.5839673795068976e-05
1658,0.0,0.0,1.537567480422045e-05,1.537567480422045e-05
1659,0.0,0.0,8.713708877751611e-06,8.713708877751611e-06
1660,0.0,0.0,1.2648481661666924e-05,1.2648481661666924e-05
1661,0.0,0.0,1.365040303166357e-05,1.365040303166357e-05
1662,0.0,0.0,1.344036477998348e-05,1.344036477998348e-05
1663,0.0,0.0,1.0171432417597056e-05,1.0171432417597056e-05
1664,0.0,0.0,1.0526003539520648e-05,1.0526003539520648e-05
1665,0.0,0.0,1.02258248781644e-05,1.02258248781644e-05
1666,0.0,0.0,1.0139674031961476e-05,1.0139674031961476e-05
1667,0.0,0.0,5.205112659366153e-06,5.205112659366153e-06
1668,0.0,0.0,5.002099344762558e-06,5.002099344762558e-06
1669,0.0,0.0,5.143936992421264e-06,5.143936992421264e-06
1670,0.0,0.0,4.830990584585899e-06,4.830990584585899e-06
