ngram,MS,MS
1500,1.532161559225642e-05,1.532161559225642e-05
1501,1.2257292473805137e-05,1.2257292473805137e-05
1502,1.0214410394837614e-05,1.0214410394837614e-05
1503,8.755208909860812e-06,8.755208909860812e-06
1504,1.8048368864193826e-06,1.8048368864193826e-06
1505,3.156638480764481e-07,3.156638480764481e-07
1506,3.156638480764481e-07,3.156638480764481e-07
1507,3.156638480764481e-07,3.156638480764481e-07
1508,3.156638480764481e-07,3.156638480764481e-07
1509,3.156638480764481e-07,3.156638480764481e-07
1510,3.156638480764481e-07,3.156638480764481e-07
1511,3.156638480764481e-07,3.156638480764481e-07
1512,0.0,0.0
1513,0.0,0.0
1514,5.998884132298242e-06,5.998884132298242e-06
1515,5.998884132298242e-06,5.998884132298242e-06
1516,5.998884132298242e-06,5.998884132298242e-06
1517,4.7438472912680095e-05,4.7438472912680095e-05
1518,4.7438472912680095e-05,4.7438472912680095e-05
1519,4.7438472912680095e-05,4.7438472912680095e-05
1520,4.7438472912680095e-05,4.7438472912680095e-05
1521,4.143958878038185e-05,4.143958878038185e-05
1522,0.0001176097513442593,0.0001176097513442593
1523,0.00011822579634619095,0.00011822579634619095
1524,7.67862075658091e-05,7.67862075658091e-05
1525,7.67862075658091e-05,7.67862075658091e-05
1526,7.67862075658091e-05,7.67862075658091e-05
1527,7.67862075658091e-05,7.67862075658091e-05
1528,7.67862075658091e-05,7.67862075658091e-05
1529,6.160450019316548e-07,6.160450019316548e-07
1530,7.289485048594153e-07,7.289485048594153e-07
1531,7.541197185543882e-05,7.541197185543882e-05
1532,7.631380503880791e-05,7.631380503880791e-05
1533,7.631380503880791e-05,7.631380503880791e-05
1534,9.878533611689428e-05,9.878533611689428e-05
1535,0.00013116515817403394,0.00013116515817403394
1536,0.00013116515817403394,0.00013116515817403394
1537,0.00013043620966917452,0.00013043620966917452
1538,5.575318631859513e-05,5.575318631859513e-05
1539,6.23223531874828e-05,6.23223531874828e-05
1540,6.23223531874828e-05,6.23223531874828e-05
1541,3.9850822109396434e-05,3.9850822109396434e-05
1542,7.471000052256775e-06,7.471000052256775e-06
1543,7.471000052256775e-06,7.471000052256775e-06
1544,1.1226833001793629e-05,1.1226833001793629e-05
1545,4.337724619420312e-05,4.337724619420312e-05
1546,3.618595233742131e-05,3.618595233742131e-05
1547,3.618595233742131e-05,3.618595233742131e-05
1548,3.648319427286749e-05,3.648319427286749e-05
1549,3.648319427286749e-05,3.648319427286749e-05
1550,3.648319427286749e-05,3.648319427286749e-05
1551,3.272736132333064e-05,3.272736132333064e-05
1552,4.1825031920390236e-06,4.1825031920390236e-06
1553,3.902796996564055e-06,3.902796996564055e-06
