ngram,M,M,M,M
1500,6.215968733158661e-05,6.215968733158661e-05,6.215968733158661e-05,6.215968733158661e-05
1501,4.972774986526929e-05,4.972774986526929e-05,4.972774986526929e-05,4.972774986526929e-05
1502,4.4954008747784734e-05,4.4954008747784734e-05,4.4954008747784734e-05,4.4954008747784734e-05
1503,4.745667424036323e-05,4.745667424036323e-05,4.745667424036323e-05,4.745667424036323e-05
1504,5.145882304142495e-05,5.145882304142495e-05,5.145882304142495e-05,5.145882304142495e-05
1505,4.690849190020734e-05,4.690849190020734e-05,4.690849190020734e-05,4.690849190020734e-05
1506,6.211333909180081e-05,6.211333909180081e-05,6.211333909180081e-05,6.211333909180081e-05
1507,6.211333909180081e-05,6.211333909180081e-05,6.211333909180081e-05,6.211333909180081e-05
1508,6.211333909180081e-05,6.211333909180081e-05,6.211333909180081e-05,6.211333909180081e-05
1509,5.910115292603483e-05,5.910115292603483e-05,5.910115292603483e-05,5.910115292603483e-05
1510,5.0176486183772795e-05,5.0176486183772795e-05,5.0176486183772795e-05,5.0176486183772795e-05
1511,1.9308477151623394e-05,1.9308477151623394e-05,1.9308477151623394e-05,1.9308477151623394e-05
1512,1.5204847191593476e-05,1.5204847191593476e-05,1.5204847191593476e-05,1.5204847191593476e-05
1513,0.0,0.0,0.0,0.0
1514,1.7139669320645875e-06,1.7139669320645875e-06,1.7139669320645875e-06,1.7139669320645875e-06
1515,1.7139669320645875e-06,1.7139669320645875e-06,1.7139669320645875e-06,1.7139669320645875e-06
1516,1.7139669320645875e-06,1.7139669320645875e-06,1.7139669320645875e-06,1.7139669320645875e-06
1517,1.1276949278128865e-05,1.1276949278128865e-05,1.1276949278128865e-05,1.1276949278128865e-05
1518,1.1276949278128865e-05,1.1276949278128865e-05,1.1276949278128865e-05,1.1276949278128865e-05
1519,1.1276949278128865e-05,1.1276949278128865e-05,1.1276949278128865e-05,1.1276949278128865e-05
1520,1.5149797296284565e-05,1.5149797296284565e-05,1.5149797296284565e-05,1.5149797296284565e-05
1521,1.3435830364219978e-05,1.3435830364219978e-05,1.3435830364219978e-05,1.3435830364219978e-05
1522,1.3435830364219978e-05,1.3435830364219978e-05,1.3435830364219978e-05,1.3435830364219978e-05
1523,1.774814544270547e-05,1.774814544270547e-05,1.774814544270547e-05,1.774814544270547e-05
1524,1.8508553694118746e-05,1.8508553694118746e-05,1.8508553694118746e-05,1.8508553694118746e-05
1525,1.8508553694118746e-05,1.8508553694118746e-05,1.8508553694118746e-05,1.8508553694118746e-05
1526,4.5205832066130824e-05,4.5205832066130824e-05,4.5205832066130824e-05,4.5205832066130824e-05
1527,4.133298404797513e-05,4.133298404797513e-05,4.133298404797513e-05,4.133298404797513e-05
1528,4.969484351542113e-05,4.969484351542113e-05,4.969484351542113e-05,4.969484351542113e-05
1529,4.969484351542113e-05,4.969484351542113e-05,4.969484351542113e-05,4.969484351542113e-05
