ngram,M,M,M,M
1530,0.00010661420206555963,0.00010661420206555963,0.00010661420206555963,0.00010661420206555963
1531,9.629081146808208e-05,9.629081146808208e-05,9.629081146808208e-05,9.629081146808208e-05
1532,9.85453945239507e-05,9.85453945239507e-05,9.85453945239507e-05,9.85453945239507e-05
1533,7.184811615193862e-05,7.184811615193862e-05,7.184811615193862e-05,7.184811615193862e-05
1534,7.887046974376841e-05,7.887046974376841e-05,7.887046974376841e-05,7.887046974376841e-05
1535,7.314417728464053e-05,7.314417728464053e-05,7.314417728464053e-05,7.314417728464053e-05
1536,7.448597040950387e-05,7.448597040950387e-05,7.448597040950387e-05,7.448597040950387e-05
1537,1.3254296780879876e-05,1.3254296780879876e-05,1.3254296780879876e-05,1.3254296780879876e-05
1538,1.6430735351085396e-05,1.6430735351085396e-05,1.6430735351085396e-05,1.6430735351085396e-05
1539,3.0778375211022126e-05,3.0778375211022126e-05,3.0778375211022126e-05,3.0778375211022126e-05
1540,3.0778375211022126e-05,3.0778375211022126e-05,3.0778375211022126e-05,3.0778375211022126e-05
1541,2.3756021619192325e-05,2.3756021619192325e-05,2.3756021619192325e-05,2.3756021619192325e-05
1542,3.165297909747876e-05,3.165297909747876e-05,3.165297909747876e-05,3.165297909747876e-05
1543,3.0311185972615412e-05,3.0311185972615412e-05,3.0311185972615412e-05,3.0311185972615412e-05
1544,7.57984980737092e-05,7.57984980737092e-05,7.57984980737092e-05,7.57984980737092e-05
1545,7.798046135576442e-05,7.798046135576442e-05,7.798046135576442e-05,7.798046135576442e-05
1546,7.228678025837456e-05,7.228678025837456e-05,7.228678025837456e-05,7.228678025837456e-05
1547,7.556392146008355e-05,7.556392146008355e-05,7.556392146008355e-05,7.556392146008355e-05
1548,7.70501311697964e-05,7.70501311697964e-05,7.70501311697964e-05,7.70501311697964e-05
1549,6.89429221633223e-05,6.89429221633223e-05,6.89429221633223e-05,6.89429221633223e-05
1550,8.083052827194999e-05,8.083052827194999e-05,8.083052827194999e-05,8.083052827194999e-05
1551,3.5343216170856196e-05,3.5343216170856196e-05,3.5343216170856196e-05,3.5343216170856196e-05
1552,3.503259150810274e-05,3.503259150810274e-05,3.503259150810274e-05,3.503259150810274e-05
1553,2.4124049689687255e-05,2.4124049689687255e-05,2.4124049689687255e-05,2.4124049689687255e-05
1554,3.9360112818290614e-05,3.9360112818290614e-05,3.9360112818290614e-05,3.9360112818290614e-05
1555,4.147981313248498e-05,4.147981313248498e-05,4.147981313248498e-05,4.147981313248498e-05
1556,0.00011920197305568893,0.00011920197305568893,0.00011920197305568893,0.00011920197305568893
1557,0.00010731436694706125,0.00010731436694706125,0.00010731436694706125,0.00010731436694706125
1558,0.00011072461035967405,0.00011072461035967405,0.00011072461035967405,0.00011072461035967405
1559,0.00010567683317016677,0.00010567683317016677,0.00010567683317016677,0.00010567683317016677
1560,0.00010747159415456866,0.00010747159415456866,0.00010747159415456866,0.00010747159415456866
1561,8.89583898242563e-05,8.89583898242563e-05,8.89583898242563e-05,8.89583898242563e-05
1562,9.068562368546347e-05,9.068562368546347e-05,9.068562368546347e-05,9.068562368546347e-05
1563,1.37205003868855e-05,1.37205003868855e-05,1.37205003868855e-05,1.37205003868855e-05
1564,1.37205003868855e-05,1.37205003868855e-05,1.37205003868855e-05,1.37205003868855e-05
1565,2.649906725439775e-05,2.649906725439775e-05,2.649906725439775e-05,2.649906725439775e-05
1566,5.69577953553692e-05,5.69577953553692e-05,5.69577953553692e-05,5.69577953553692e-05
1567,7.017577549309603e-05,7.017577549309603e-05,7.017577549309603e-05,7.017577549309603e-05
1568,8.782226359471679e-05,8.782226359471679e-05,8.782226359471679e-05,8.782226359471679e-05
1569,8.545994101690926e-05,8.545994101690926e-05,8.545994101690926e-05,8.545994101690926e-05
1570,8.227758891215282e-05,8.227758891215282e-05,8.227758891215282e-05,8.227758891215282e-05
1571,8.47294405892691e-05,8.47294405892691e-05,8.47294405892691e-05,8.47294405892691e-05
1572,7.010051272767928e-05,7.010051272767928e-05,7.010051272767928e-05,7.010051272767928e-05
1573,4.467542203201447e-05,4.467542203201447e-05,4.467542203201447e-05,4.467542203201447e-05
1574,3.837806564531222e-05,3.837806564531222e-05,3.837806564531222e-05,3.837806564531222e-05
1575,2.8275255057711286e-05,2.8275255057711286e-05,2.8275255057711286e-05,2.8275255057711286e-05
1576,3.116327960534753e-05,3.116327960534753e-05,3.116327960534753e-05,3.116327960534753e-05
1577,3.626623142086568e-05,3.626623142086568e-05,3.626623142086568e-05,3.626623142086568e-05
1578,4.8750992521360915e-05,4.8750992521360915e-05,4.8750992521360915e-05,4.8750992521360915e-05
1579,4.9778129323385656e-05,4.9778129323385656e-05,4.9778129323385656e-05,4.9778129323385656e-05
1580,7.049647371916632e-05,7.049647371916632e-05,7.049647371916632e-05,7.049647371916632e-05
1581,6.534093336085789e-05,6.534093336085789e-05,6.534093336085789e-05,6.534093336085789e-05
1582,6.240605112647504e-05,6.240605112647504e-05,6.240605112647504e-05,6.240605112647504e-05
1583,6.1113120214681e-05,6.1113120214681e-05,6.1113120214681e-05,6.1113120214681e-05
1584,5.690927998460081e-05,5.690927998460081e-05,5.690927998460081e-05,5.690927998460081e-05
1585,4.5180874686983384e-05,4.5180874686983384e-05,4.5180874686983384e-05,4.5180874686983384e-05
1586,5.6971731867504006e-05,5.6971731867504006e-05,5.6971731867504006e-05,5.6971731867504006e-05
1587,3.814134151980397e-05,3.814134151980397e-05,3.814134151980397e-05,3.814134151980397e-05
1588,3.6590014588000486e-05,3.6590014588000486e-05,3.6590014588000486e-05,3.6590014588000486e-05
1589,3.328830455627342e-05,3.328830455627342e-05,3.328830455627342e-05,3.328830455627342e-05
1590,3.210207296433509e-05,3.210207296433509e-05,3.210207296433509e-05,3.210207296433509e-05
1591,3.7599764514847524e-05,3.7599764514847524e-05,3.7599764514847524e-05,3.7599764514847524e-05
1592,4.155521855864208e-05,4.155521855864208e-05,4.155521855864208e-05,4.155521855864208e-05
1593,3.0973046575257156e-05,3.0973046575257156e-05,3.0973046575257156e-05,3.0973046575257156e-05
1594,4.349671793793927e-05,4.349671793793927e-05,4.349671793793927e-05,4.349671793793927e-05
1595,4.554537424285497e-05,4.554537424285497e-05,4.554537424285497e-05,4.554537424285497e-05
1596,6.296551042136603e-05,6.296551042136603e-05,6.296551042136603e-05,6.296551042136603e-05
1597,6.999716736442809e-05,6.999716736442809e-05,6.999716736442809e-05,6.999716736442809e-05
1598,7.943610658652947e-05,7.943610658652947e-05,7.943610658652947e-05,7.943610658652947e-05
1599,7.533813498282273e-05,7.533813498282273e-05,7.533813498282273e-05,7.533813498282273e-05
1600,8.048894181099189e-05,8.048894181099189e-05,8.048894181099189e-05,8.048894181099189e-05
1601,7.432570159185811e-05,7.432570159185811e-05,7.432570159185811e-05,7.432570159185811e-05
1602,7.757657814571368e-05,7.757657814571368e-05,7.757657814571368e-05,7.757657814571368e-05
1603,6.58552287079926e-05,6.58552287079926e-05,6.58552287079926e-05,6.58552287079926e-05
1604,5.953037595775511e-05,5.953037595775511e-05,5.953037595775511e-05,5.953037595775511e-05
1605,5.0890594658475106e-05,5.0890594658475106e-05,5.0890594658475106e-05,5.0890594658475106e-05
1606,5.535243482362213e-05,5.535243482362213e-05,5.535243482362213e-05,5.535243482362213e-05
1607,5.088490589904333e-05,5.088490589904333e-05,5.088490589904333e-05,5.088490589904333e-05
1608,3.979933691360722e-05,3.979933691360722e-05,3.979933691360722e-05,3.979933691360722e-05
1609,4.720785675869722e-05,4.720785675869722e-05,4.720785675869722e-05,4.720785675869722e-05
1610,4.619205304022346e-05,4.619205304022346e-05,4.619205304022346e-05,4.619205304022346e-05
1611,4.650929362729325e-05,4.650929362729325e-05,4.650929362729325e-05,4.650929362729325e-05
1612,4.603835051446887e-05,4.603835051446887e-05,4.603835051446887e-05,4.603835051446887e-05
1613,4.698077568069233e-05,4.698077568069233e-05,4.698077568069233e-05,4.698077568069233e-05
1614,5.0742037274176255e-05,5.0742037274176255e-05,5.0742037274176255e-05,5.0742037274176255e-05
1615,5.9592938279300665e-05,5.9592938279300665e-05,5.9592938279300665e-05,5.9592938279300665e-05
1616,5.460783047185812e-05,5.460783047185812e-05,5.460783047185812e-05,5.460783047185812e-05
1617,5.368295699424509e-05,5.368295699424509e-05,5.368295699424509e-05,5.368295699424509e-05
1618,5.3415268796795446e-05,5.3415268796795446e-05,5.3415268796795446e-05,5.3415268796795446e-05
1619,5.873144203048598e-05,5.873144203048598e-05,5.873144203048598e-05,5.873144203048598e-05
1620,5.539917141764558e-05,5.539917141764558e-05,5.539917141764558e-05,5.539917141764558e-05
1621,6.036185940112253e-05,6.036185940112253e-05,6.036185940112253e-05,6.036185940112253e-05
1622,5.402784829909381e-05,5.402784829909381e-05,5.402784829909381e-05,5.402784829909381e-05
1623,5.588119581391636e-05,5.588119581391636e-05,5.588119581391636e-05,5.588119581391636e-05
1624,7.00798534256007e-05,7.00798534256007e-05,7.00798534256007e-05,7.00798534256007e-05
1625,7.549625297542661e-05,7.549625297542661e-05,7.549625297542661e-05,7.549625297542661e-05
1626,7.883972388559155e-05,7.883972388559155e-05,7.883972388559155e-05,7.883972388559155e-05
1627,0.00010533676374637122,0.00010533676374637122,0.00010533676374637122,0.00010533676374637122
1628,0.00010025727325618001,0.00010025727325618001,0.00010025727325618001,0.00010025727325618001
1629,0.0001037143348574838,0.0001037143348574838,0.0001037143348574838,0.0001037143348574838
1630,0.00010730934913486376,0.00010730934913486376,0.00010730934913486376,0.00010730934913486376
1631,9.41669350140728e-05,9.41669350140728e-05,9.41669350140728e-05,9.41669350140728e-05
1632,9.460174416225138e-05,9.460174416225138e-05,9.460174416225138e-05,9.460174416225138e-05
1633,8.75797429346546e-05,8.75797429346546e-05,8.75797429346546e-05,8.75797429346546e-05
1634,7.124887062153513e-05,7.124887062153513e-05,7.124887062153513e-05,7.124887062153513e-05
1635,7.349771320670178e-05,7.349771320670178e-05,7.349771320670178e-05,7.349771320670178e-05
1636,7.218801640971963e-05,7.218801640971963e-05,7.218801640971963e-05,7.218801640971963e-05
1637,6.417788452901212e-05,6.417788452901212e-05,6.417788452901212e-05,6.417788452901212e-05
1638,6.728134602391427e-05,6.728134602391427e-05,6.728134602391427e-05,6.728134602391427e-05
1639,7.380258622496123e-05,7.380258622496123e-05,7.380258622496123e-05,7.380258622496123e-05
1640,8.106675003156332e-05,8.106675003156332e-05,8.106675003156332e-05,8.106675003156332e-05
1641,7.603509688384033e-05,7.603509688384033e-05,7.603509688384033e-05,7.603509688384033e-05
1642,7.375905053257676e-05,7.375905053257676e-05,7.375905053257676e-05,7.375905053257676e-05
1643,7.285962367729683e-05,7.285962367729683e-05,7.285962367729683e-05,7.285962367729683e-05
1644,7.852253682878134e-05,7.852253682878134e-05,7.852253682878134e-05,7.852253682878134e-05
1645,7.799131604510226e-05,7.799131604510226e-05,7.799131604510226e-05,7.799131604510226e-05
1646,7.498177417021777e-05,7.498177417021777e-05,7.498177417021777e-05,7.498177417021777e-05
1647,6.81988219314787e-05,6.81988219314787e-05,6.81988219314787e-05,6.81988219314787e-05
1648,6.70964696577617e-05,6.70964696577617e-05,6.70964696577617e-05,6.70964696577617e-05
1649,6.885693125825907e-05,6.885693125825907e-05,6.885693125825907e-05,6.885693125825907e-05
1650,7.106479513043138e-05,7.106479513043138e-05,7.106479513043138e-05,7.106479513043138e-05
1651,6.631620479830807e-05,6.631620479830807e-05,6.631620479830807e-05,6.631620479830807e-05
1652,6.575054950579735e-05,6.575054950579735e-05,6.575054950579735e-05,6.575054950579735e-05
1653,6.378409619043981e-05,6.378409619043981e-05,6.378409619043981e-05,6.378409619043981e-05
1654,6.385910923459701e-05,6.385910923459701e-05,6.385910923459701e-05,6.385910923459701e-05
1655,6.497350113932043e-05,6.497350113932043e-05,6.497350113932043e-05,6.497350113932043e-05
1656,7.917499481534054e-05,7.917499481534054e-05,7.917499481534054e-05,7.917499481534054e-05
1657,8.104324920818076e-05,8.104324920818076e-05,8.104324920818076e-05,8.104324920818076e-05
1658,8.309258919325657e-05,8.309258919325657e-05,8.309258919325657e-05,8.309258919325657e-05
1659,0.00010044097559460039,0.00010044097559460039,0.00010044097559460039,0.00010044097559460039
1660,9.684578721394896e-05,9.684578721394896e-05,9.684578721394896e-05,9.684578721394896e-05
1661,9.800471317638377e-05,9.800471317638377e-05,9.800471317638377e-05,9.800471317638377e-05
1662,9.271425733459182e-05,9.271425733459182e-05,9.271425733459182e-05,9.271425733459182e-05
1663,7.739349686224679e-05,7.739349686224679e-05,7.739349686224679e-05,7.739349686224679e-05
1664,7.509878456143529e-05,7.509878456143529e-05,7.509878456143529e-05,7.509878456143529e-05
1665,8.463029111486062e-05,8.463029111486062e-05,8.463029111486062e-05,8.463029111486062e-05
1666,7.289612975520348e-05,7.289612975520348e-05,7.289612975520348e-05,7.289612975520348e-05
1667,7.378585412100489e-05,7.378585412100489e-05,7.378585412100489e-05,7.378585412100489e-05
1668,7.258994550543971e-05,7.258994550543971e-05,7.258994550543971e-05,7.258994550543971e-05
1669,7.45455119093614e-05,7.45455119093614e-05,7.45455119093614e-05,7.45455119093614e-05
1670,7.805986596005303e-05,7.805986596005303e-05,7.805986596005303e-05,7.805986596005303e-05
1671,7.88432007539086e-05,7.88432007539086e-05,7.88432007539086e-05,7.88432007539086e-05
1672,6.914158231146368e-05,6.914158231146368e-05,6.914158231146368e-05,6.914158231146368e-05
1673,6.495008191060541e-05,6.495008191060541e-05,6.495008191060541e-05,6.495008191060541e-05
1674,6.529665967848684e-05,6.529665967848684e-05,6.529665967848684e-05,6.529665967848684e-05
1675,6.530324857781775e-05,6.530324857781775e-05,6.530324857781775e-05,6.530324857781775e-05
1676,6.71149869698898e-05,6.71149869698898e-05,6.71149869698898e-05,6.71149869698898e-05
1677,6.27559571252537e-05,6.27559571252537e-05,6.27559571252537e-05,6.27559571252537e-05
1678,6.185874787791233e-05,6.185874787791233e-05,6.185874787791233e-05,6.185874787791233e-05
1679,6.11934280771363e-05,6.11934280771363e-05,6.11934280771363e-05,6.11934280771363e-05
1680,5.82679858780466e-05,5.82679858780466e-05,5.82679858780466e-05,5.82679858780466e-05
1681,5.78657106546286e-05,5.78657106546286e-05,5.78657106546286e-05,5.78657106546286e-05
1682,5.825129379185715e-05,5.825129379185715e-05,5.825129379185715e-05,5.825129379185715e-05
1683,5.9685265504023323e-05,5.9685265504023323e-05,5.9685265504023323e-05,5.9685265504023323e-05
1684,6.254604990577459e-05,6.254604990577459e-05,6.254604990577459e-05,6.254604990577459e-05
1685,6.425233108789794e-05,6.425233108789794e-05,6.425233108789794e-05,6.425233108789794e-05
1686,6.456937158613332e-05,6.456937158613332e-05,6.456937158613332e-05,6.456937158613332e-05
1687,6.968609107259129e-05,6.968609107259129e-05,6.968609107259129e-05,6.968609107259129e-05
1688,6.934783440166419e-05,6.934783440166419e-05,6.934783440166419e-05,6.934783440166419e-05
1689,7.614348526528505e-05,7.614348526528505e-05,7.614348526528505e-05,7.614348526528505e-05
1690,7.46927185641003e-05,7.46927185641003e-05,7.46927185641003e-05,7.46927185641003e-05
1691,7.524249407911807e-05,7.524249407911807e-05,7.524249407911807e-05,7.524249407911807e-05
1692,7.745740575566222e-05,7.745740575566222e-05,7.745740575566222e-05,7.745740575566222e-05
1693,7.834509233362041e-05,7.834509233362041e-05,7.834509233362041e-05,7.834509233362041e-05
1694,7.63572872009328e-05,7.63572872009328e-05,7.63572872009328e-05,7.63572872009328e-05
1695,7.749190990580246e-05,7.749190990580246e-05,7.749190990580246e-05,7.749190990580246e-05
1696,7.334186479316227e-05,7.334186479316227e-05,7.334186479316227e-05,7.334186479316227e-05
1697,7.460428813439128e-05,7.460428813439128e-05,7.460428813439128e-05,7.460428813439128e-05
1698,7.446045908311914e-05,7.446045908311914e-05,7.446045908311914e-05,7.446045908311914e-05
1699,7.41763973824813e-05,7.41763973824813e-05,7.41763973824813e-05,7.41763973824813e-05
1700,7.530682549778638e-05,7.530682549778638e-05,7.530682549778638e-05,7.530682549778638e-05
1701,7.789705705363303e-05,7.789705705363303e-05,7.789705705363303e-05,7.789705705363303e-05
1702,8.096171742571252e-05,8.096171742571252e-05,8.096171742571252e-05,8.096171742571252e-05
1703,8.293187836118574e-05,8.293187836118574e-05,8.293187836118574e-05,8.293187836118574e-05
1704,8.616034236703334e-05,8.616034236703334e-05,8.616034236703334e-05,8.616034236703334e-05
1705,8.50744399940595e-05,8.50744399940595e-05,8.50744399940595e-05,8.50744399940595e-05
1706,8.476204987216209e-05,8.476204987216209e-05,8.476204987216209e-05,8.476204987216209e-05
1707,8.666680410637387e-05,8.666680410637387e-05,8.666680410637387e-05,8.666680410637387e-05
1708,9.091324422375433e-05,9.091324422375433e-05,9.091324422375433e-05,9.091324422375433e-05
1709,0.00010092399004081796,0.00010092399004081796,0.00010092399004081796,0.00010092399004081796
1710,0.00010034136149832713,0.00010034136149832713,0.00010034136149832713,0.00010034136149832713
1711,0.00010146052019471037,0.00010146052019471037,0.00010146052019471037,0.00010146052019471037
1712,0.00011090849979414738,0.00011090849979414738,0.00011090849979414738,0.00011090849979414738
1713,0.00011664714319132534,0.00011664714319132534,0.00011664714319132534,0.00011664714319132534
1714,0.00012797635489343001,0.00012797635489343001,0.00012797635489343001,0.00012797635489343001
1715,0.0001271122112354663,0.0001271122112354663,0.0001271122112354663,0.0001271122112354663
1716,0.00011965535980250155,0.00011965535980250155,0.00011965535980250155,0.00011965535980250155
1717,0.00011801657300176365,0.00011801657300176365,0.00011801657300176365,0.00011801657300176365
1718,0.00011570066583642204,0.00011570066583642204,0.00011570066583642204,0.00011570066583642204
1719,0.00011216716770182497,0.00011216716770182497,0.00011216716770182497,0.00011216716770182497
1720,0.00012000344369360911,0.00012000344369360911,0.00012000344369360911,0.00012000344369360911
1721,0.00010520170638171424,0.00010520170638171424,0.00010520170638171424,0.00010520170638171424
1722,0.00010101224428841047,0.00010101224428841047,0.00010101224428841047,0.00010101224428841047
1723,0.00010068346559169836,0.00010068346559169836,0.00010068346559169836,0.00010068346559169836
1724,0.00010327550366387836,0.00010327550366387836,0.00010327550366387836,0.00010327550366387836
1725,0.00010494297644722142,0.00010494297644722142,0.00010494297644722142,0.00010494297644722142
1726,0.00010181933092618627,0.00010181933092618627,0.00010181933092618627,0.00010181933092618627
1727,9.114735751479332e-05,9.114735751479332e-05,9.114735751479332e-05,9.114735751479332e-05
1728,9.24212799873203e-05,9.24212799873203e-05,9.24212799873203e-05,9.24212799873203e-05
1729,9.235355121615742e-05,9.235355121615742e-05,9.235355121615742e-05,9.235355121615742e-05
1730,9.11539006795335e-05,9.11539006795335e-05,9.11539006795335e-05,9.11539006795335e-05
1731,9.644907342070448e-05,9.644907342070448e-05,9.644907342070448e-05,9.644907342070448e-05
1732,9.992907559665452e-05,9.992907559665452e-05,9.992907559665452e-05,9.992907559665452e-05
1733,9.955469535530678e-05,9.955469535530678e-05,9.955469535530678e-05,9.955469535530678e-05
1734,9.85612309055536e-05,9.85612309055536e-05,9.85612309055536e-05,9.85612309055536e-05
1735,9.947682597807475e-05,9.947682597807475e-05,9.947682597807475e-05,9.947682597807475e-05
1736,0.00010292913274107767,0.00010292913274107767,0.00010292913274107767,0.00010292913274107767
1737,0.00010190328092513872,0.00010190328092513872,0.00010190328092513872,0.00010190328092513872
1738,9.420996710624812e-05,9.420996710624812e-05,9.420996710624812e-05,9.420996710624812e-05
1739,9.271985306570838e-05,9.271985306570838e-05,9.271985306570838e-05,9.271985306570838e-05
1740,9.584078777282099e-05,9.584078777282099e-05,9.584078777282099e-05,9.584078777282099e-05
1741,9.573977357441825e-05,9.573977357441825e-05,9.573977357441825e-05,9.573977357441825e-05
1742,9.934547415468842e-05,9.934547415468842e-05,9.934547415468842e-05,9.934547415468842e-05
1743,9.668437373225711e-05,9.668437373225711e-05,9.668437373225711e-05,9.668437373225711e-05
1744,9.948912234644272e-05,9.948912234644272e-05,9.948912234644272e-05,9.948912234644272e-05
1745,0.00010399271559435874,0.00010399271559435874,0.00010399271559435874,0.00010399271559435874
1746,0.00010197640429916126,0.00010197640429916126,0.00010197640429916126,0.00010197640429916126
1747,9.533256005462525e-05,9.533256005462525e-05,9.533256005462525e-05,9.533256005462525e-05
1748,9.30311278872458e-05,9.30311278872458e-05,9.30311278872458e-05,9.30311278872458e-05
1749,8.739830082049593e-05,8.739830082049593e-05,8.739830082049593e-05,8.739830082049593e-05
1750,8.93748614804021e-05,8.93748614804021e-05,8.93748614804021e-05,8.93748614804021e-05
1751,8.508813022802184e-05,8.508813022802184e-05,8.508813022802184e-05,8.508813022802184e-05
1752,8.040238961776984e-05,8.040238961776984e-05,8.040238961776984e-05,8.040238961776984e-05
1753,8.254022187819439e-05,8.254022187819439e-05,8.254022187819439e-05,8.254022187819439e-05
1754,8.645583771535062e-05,8.645583771535062e-05,8.645583771535062e-05,8.645583771535062e-05
1755,8.719296082355348e-05,8.719296082355348e-05,8.719296082355348e-05,8.719296082355348e-05
1756,9.041846767234216e-05,9.041846767234216e-05,9.041846767234216e-05,9.041846767234216e-05
1757,8.768866350042767e-05,8.768866350042767e-05,8.768866350042767e-05,8.768866350042767e-05
1758,8.720079806932648e-05,8.720079806932648e-05,8.720079806932648e-05,8.720079806932648e-05
1759,8.485422897917618e-05,8.485422897917618e-05,8.485422897917618e-05,8.485422897917618e-05
1760,7.897712099033274e-05,7.897712099033274e-05,7.897712099033274e-05,7.897712099033274e-05
1761,7.566175502558638e-05,7.566175502558638e-05,7.566175502558638e-05,7.566175502558638e-05
1762,7.321999042427965e-05,7.321999042427965e-05,7.321999042427965e-05,7.321999042427965e-05
1763,6.991504674910434e-05,6.991504674910434e-05,6.991504674910434e-05,6.991504674910434e-05
1764,6.81830705226665e-05,6.81830705226665e-05,6.81830705226665e-05,6.81830705226665e-05
1765,6.797540429813256e-05,6.797540429813256e-05,6.797540429813256e-05,6.797540429813256e-05
1766,7.008293739220659e-05,7.008293739220659e-05,7.008293739220659e-05,7.008293739220659e-05
1767,7.08165524494169e-05,7.08165524494169e-05,7.08165524494169e-05,7.08165524494169e-05
1768,7.206921665264028e-05,7.206921665264028e-05,7.206921665264028e-05,7.206921665264028e-05
1769,7.433768249549238e-05,7.433768249549238e-05,7.433768249549238e-05,7.433768249549238e-05
1770,7.449010029501681e-05,7.449010029501681e-05,7.449010029501681e-05,7.449010029501681e-05
1771,7.686420680589176e-05,7.686420680589176e-05,7.686420680589176e-05,7.686420680589176e-05
1772,7.89416818796391e-05,7.89416818796391e-05,7.89416818796391e-05,7.89416818796391e-05
1773,8.008721800121878e-05,8.008721800121878e-05,8.008721800121878e-05,8.008721800121878e-05
1774,8.025023583156456e-05,8.025023583156456e-05,8.025023583156456e-05,8.025023583156456e-05
1775,7.841401384212077e-05,7.841401384212077e-05,7.841401384212077e-05,7.841401384212077e-05
1776,7.83312986771177e-05,7.83312986771177e-05,7.83312986771177e-05,7.83312986771177e-05
1777,7.912212874673839e-05,7.912212874673839e-05,7.912212874673839e-05,7.912212874673839e-05
1778,7.903707903876369e-05,7.903707903876369e-05,7.903707903876369e-05,7.903707903876369e-05
1779,7.702342762578545e-05,7.702342762578545e-05,7.702342762578545e-05,7.702342762578545e-05
1780,7.307923910307832e-05,7.307923910307832e-05,7.307923910307832e-05,7.307923910307832e-05
1781,7.340767479036003e-05,7.340767479036003e-05,7.340767479036003e-05,7.340767479036003e-05
1782,7.543896520344009e-05,7.543896520344009e-05,7.543896520344009e-05,7.543896520344009e-05
1783,7.517672306026466e-05,7.517672306026466e-05,7.517672306026466e-05,7.517672306026466e-05
1784,7.731443786594485e-05,7.731443786594485e-05,7.731443786594485e-05,7.731443786594485e-05
1785,7.463656532179032e-05,7.463656532179032e-05,7.463656532179032e-05,7.463656532179032e-05
1786,7.371472851705871e-05,7.371472851705871e-05,7.371472851705871e-05,7.371472851705871e-05
1787,7.49019454815425e-05,7.49019454815425e-05,7.49019454815425e-05,7.49019454815425e-05
1788,7.259901446689452e-05,7.259901446689452e-05,7.259901446689452e-05,7.259901446689452e-05
1789,7.030928723647126e-05,7.030928723647126e-05,7.030928723647126e-05,7.030928723647126e-05
1790,6.953811160721151e-05,6.953811160721151e-05,6.953811160721151e-05,6.953811160721151e-05
1791,6.55070211256056e-05,6.55070211256056e-05,6.55070211256056e-05,6.55070211256056e-05
1792,6.53629020754514e-05,6.53629020754514e-05,6.53629020754514e-05,6.53629020754514e-05
1793,6.742616928282327e-05,6.742616928282327e-05,6.742616928282327e-05,6.742616928282327e-05
1794,6.571807119014141e-05,6.571807119014141e-05,6.571807119014141e-05,6.571807119014141e-05
1795,6.655833099752531e-05,6.655833099752531e-05,6.655833099752531e-05,6.655833099752531e-05
1796,6.59112811263185e-05,6.59112811263185e-05,6.59112811263185e-05,6.59112811263185e-05
