ngram,Hacker
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,8.037602908318929e-07
1546,8.037602908318929e-07
1547,8.037602908318929e-07
1548,8.037602908318929e-07
1549,8.037602908318929e-07
1550,8.037602908318929e-07
1551,8.037602908318929e-07
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,2.654034980358639e-07
1599,2.654034980358639e-07
1600,2.654034980358639e-07
1601,2.654034980358639e-07
1602,2.654034980358639e-07
1603,2.654034980358639e-07
1604,2.654034980358639e-07
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,4.516122252035919e-07
1644,4.516122252035919e-07
1645,5.498458871703146e-07
1646,5.498458871703146e-07
1647,5.498458871703146e-07
1648,5.956951229433929e-07
1649,5.956951229433929e-07
1650,1.4408289773980088e-07
1651,1.4408289773980088e-07
1652,4.584923577307823e-08
1653,4.584923577307823e-08
1654,4.584923577307823e-08
1655,2.324121786451932e-07
1656,2.324121786451932e-07
1657,4.270432002938053e-07
1658,6.415057376735993e-07
1659,9.953447813261716e-07
1660,9.953447813261716e-07
1661,9.953447813261716e-07
1662,8.847321818653395e-07
1663,8.847321818653395e-07
1664,8.080100997176487e-07
1665,6.376391792985357e-07
1666,3.6369693085751873e-07
1667,3.9614924673969654e-07
1668,3.9614924673969654e-07
1669,2.7434966755533553e-07
1670,4.289463402886083e-07
1671,3.110374007876869e-07
1672,2.6694578382700585e-07
1673,4.3447768811282525e-07
1674,4.020253722306474e-07
1675,4.020253722306474e-07
1676,1.6474741642014123e-06
1677,1.6272222832672663e-06
1678,1.6272222832672663e-06
1679,1.6272222832672663e-06
1680,1.3797935837698918e-06
1681,1.5588003634547931e-06
1682,1.5789613964248668e-06
1683,3.3351260445410193e-07
1684,2.2838939222375692e-07
1685,2.485952238982593e-07
1686,3.038536371085294e-07
1687,4.274539021155631e-07
1688,2.484471224306617e-07
1689,2.2828608946058792e-07
1690,2.2828608946058792e-07
1691,8.596479221166322e-07
1692,8.394420904421298e-07
1693,7.841836772318597e-07
1694,6.849689628195068e-07
1695,8.400369974229502e-07
1696,9.817505152958411e-07
1697,9.817505152958411e-07
1698,3.315383736435251e-07
1699,3.446079140141072e-07
1700,3.836014721108378e-07
1701,3.882161995047032e-07
1702,2.5711848447177286e-07
1703,1.2644617645004734e-07
1704,1.3510794311904257e-07
1705,1.2473667254653265e-07
1706,3.5532555386907916e-07
1707,3.649418078209367e-07
1708,3.3594152983239057e-07
1709,3.1197121026187755e-07
1710,3.181450237223414e-07
1711,3.288679144881306e-07
1712,3.614581751370289e-07
1713,1.2861776862596992e-07
1714,1.1829439878446075e-07
1715,1.5226145982134248e-07
1716,1.6997137614842878e-07
1717,3.361500802157025e-07
1718,3.9418298415837073e-07
1719,3.6817759457059243e-07
1720,3.573595793885228e-07
1721,9.673174347873165e-07
1722,9.719883072380396e-07
1723,9.604535670908781e-07
1724,7.829307594623255e-07
1725,7.128661511249643e-07
1726,7.190562761089885e-07
1727,1.1227765241983434e-06
1728,4.874913465917936e-07
1729,5.444330639647887e-07
1730,6.446399807608876e-07
1731,6.596692797091106e-07
1732,6.585748505269098e-07
1733,6.8092370345393e-07
1734,3.081738450459527e-07
1735,3.0168165108891897e-07
1736,6.966989362565203e-07
1737,6.04160099726414e-07
1738,5.887516972994231e-07
1739,7.246534968276462e-07
1740,7.11991483167854e-07
1741,6.869624442629174e-07
1742,6.804955182206283e-07
1743,1.9952997577986154e-07
1744,1.9461484005286627e-07
1745,2.080577513449303e-07
1746,1.1069922223327922e-07
1747,1.2566975269935809e-07
1748,2.4711901858154306e-07
1749,2.5207429895804777e-07
1750,2.4904036826407197e-07
1751,2.436813861805831e-07
1752,2.4034101921342555e-07
1753,2.005685773655484e-07
1754,2.1334503712872837e-07
1755,1.129275748468217e-07
1756,1.3225605880303908e-07
1757,1.5306470427641932e-07
1758,1.650334898580955e-07
1759,2.0857864058143605e-07
1760,2.9403576868552203e-07
1761,2.4382694314389095e-07
1762,2.839183405204234e-07
1763,2.5963457618770137e-07
1764,2.3503914750985393e-07
1765,2.3129085694303546e-07
1766,1.7555239776153746e-07
1767,9.095492181643294e-08
1768,1.0168377200565309e-07
1769,1.2600701003252978e-07
1770,1.4042161795251624e-07
1771,1.6393737694337623e-07
1772,1.785085620907369e-07
1773,3.541756805296765e-07
1774,4.177707150379969e-07
1775,4.128192431705559e-07
1776,3.3499330040090823e-07
1777,3.234967427902445e-07
1778,3.416686032510695e-07
1779,3.229928416154897e-07
1780,1.5332123228160655e-07
1781,8.957474355903677e-08
1782,8.595549871870389e-08
1783,8.326664665706371e-08
1784,1.003222612285169e-07
1785,6.229645167975053e-08
1786,7.605296760613913e-08
1787,1.2595692260625973e-07
1788,1.3459144503664383e-07
1789,1.5802777753037844e-07
1790,1.5488872153111644e-07
1791,1.5011858423008562e-07
1792,1.458226187419801e-07
1793,1.411434217755771e-07
1794,9.681268891321387e-08
1795,9.979278635187581e-08
1796,9.410971329210887e-08
1797,9.601347653439721e-08
1798,8.370323228185888e-08
1799,9.354209952659533e-08
1800,1.0971283513429495e-07
1801,1.1053062820565174e-07
1802,1.0446575515743461e-07
1803,1.1368735946299629e-07
1804,1.159476821856385e-07
1805,1.7927216232140252e-07
1806,1.9181903151580366e-07
1807,2.448758422701758e-07
1808,2.528599480910998e-07
1809,2.520662901263547e-07
1810,2.77853581159044e-07
1811,2.898627187164493e-07
1812,2.436964489252854e-07
1813,3.6229099314206384e-07
1814,2.940625114839739e-07
1815,2.764713319233384e-07
1816,2.853753104302216e-07
1817,2.8425815859886174e-07
1818,2.732415061197051e-07
1819,3.113551220021041e-07
1820,1.8028486640072776e-07
1821,1.8232078044125695e-07
1822,1.934831540698464e-07
1823,1.9431217473148926e-07
1824,1.7967208317973666e-07
1825,2.0350044443213327e-07
1826,1.6950897726733922e-07
1827,1.754085729999133e-07
1828,1.9146824164246417e-07
1829,2.0539741894611196e-07
1830,2.036598618003284e-07
1831,1.8558390430761002e-07
1832,2.605811256931442e-07
1833,3.785175246256196e-07
1834,3.9990191120458416e-07
1835,5.101631371319724e-07
1836,5.748192738305338e-07
1837,7.094318671566466e-07
1838,7.152877685712156e-07
1839,6.253209485456474e-07
1840,5.057355260922642e-07
1841,4.963853906961699e-07
1842,3.8322910914497956e-07
1843,3.256620207788988e-07
1844,2.0541751106455714e-07
1845,2.0390199243333233e-07
1846,2.3772058455051592e-07
1847,2.3446850353333763e-07
1848,2.2862006078737197e-07
1849,2.2913782515843195e-07
1850,2.218695129840853e-07
1851,2.410123747560127e-07
1852,2.4834880158713144e-07
1853,2.493408857162649e-07
1854,2.6456111714066667e-07
1855,2.9016082286099323e-07
1856,4.911103498475963e-07
1857,5.468035746097095e-07
1858,6.352409148543561e-07
1859,6.390346527496149e-07
1860,6.112644419837514e-07
1861,6.288523926351835e-07
1862,6.004208310222176e-07
1863,3.9768952474007945e-07
1864,3.381715864796726e-07
1865,2.6982349814781106e-07
1866,2.5702253887110213e-07
1867,2.4945011643597225e-07
1868,2.2806540909771555e-07
1869,2.2576612325662738e-07
1870,2.1603112949313591e-07
1871,2.0990318156626537e-07
1872,1.6410490185795164e-07
1873,1.7295954332244685e-07
1874,1.8170672636382994e-07
1875,2.0933796918143344e-07
1876,2.3476226017139978e-07
1877,2.767259092349507e-07
1878,2.8421493019387914e-07
1879,3.163347425275528e-07
1880,3.1664299626754655e-07
1881,3.1821252832742175e-07
1882,3.0075375028510667e-07
1883,2.870300030670998e-07
1884,2.5706203489659985e-07
1885,2.6265132849597907e-07
1886,2.390573509306445e-07
1887,2.4921913523355344e-07
1888,2.631038853451173e-07
1889,2.6751105711550084e-07
1890,2.859951158435641e-07
1891,2.9912416721344925e-07
1892,3.7191540107934476e-07
1893,4.188752638713465e-07
1894,4.224517340389866e-07
1895,4.314429580582717e-07
1896,5.259195664361219e-07
1897,5.250308683051636e-07
1898,5.335728872069012e-07
1899,4.6867376113368664e-07
1900,4.456626722263276e-07
1901,4.513231520572195e-07
1902,4.4323034639351787e-07
1903,3.5142303594121973e-07
1904,3.4146822258662723e-07
1905,3.2415387555114907e-07
1906,3.2816937992460484e-07
1907,3.067031164911376e-07
1908,3.13482311347408e-07
1909,3.173831097618469e-07
1910,3.222610303055262e-07
1911,3.2314313866014087e-07
1912,3.6042977415360967e-07
1913,3.593564607789241e-07
1914,3.5829139376021756e-07
1915,3.437904386568594e-07
1916,3.278605821118877e-07
1917,3.3863766800225547e-07
1918,3.3860294885406414e-07
1919,3.0801896043288123e-07
1920,3.101119797780224e-07
1921,3.225951193793922e-07
1922,3.2828157259245927e-07
1923,3.316829690902523e-07
1924,3.273540707076401e-07
1925,3.3151254033977497e-07
1926,3.5851847915832226e-07
1927,3.5741793372575816e-07
1928,3.6405914118274397e-07
1929,3.613387288429034e-07
1930,3.762252853383481e-07
1931,3.697088126435639e-07
1932,3.762319441388432e-07
1933,3.572144545874575e-07
1934,3.6387887446055955e-07
1935,3.6925388664193246e-07
1936,3.738883184009215e-07
1937,3.837694708051588e-07
1938,3.913338803483514e-07
1939,3.9775816519847596e-07
1940,3.9210813643616606e-07
1941,3.827244329711123e-07
1942,3.6336306103683977e-07
1943,3.587709735646578e-07
1944,3.538537498570804e-07
1945,3.4406203651217636e-07
1946,3.3708985418862927e-07
1947,3.5688851848395385e-07
1948,3.62673785860222e-07
1949,3.7750688924071643e-07
1950,3.874298743409911e-07
1951,3.8423708913017306e-07
1952,3.949242649728798e-07
1953,3.930212122733272e-07
1954,3.8336381992719127e-07
1955,3.8246050085685314e-07
1956,3.7271975169720205e-07
1957,3.63898355512252e-07
1958,3.5966963147464934e-07
1959,3.495715442828181e-07
1960,3.469088401938539e-07
1961,3.440456696677886e-07
1962,3.588846401011584e-07
1963,3.6398940242829016e-07
1964,3.6436836938134677e-07
1965,3.705870434649634e-07
1966,3.647110296307281e-07
1967,3.753345489647992e-07
1968,3.775058741796654e-07
1969,3.6731492514263664e-07
1970,3.702480414956101e-07
1971,3.884912302964949e-07
1972,3.9789160918449594e-07
1973,4.1294743320057545e-07
1974,4.1303561358420537e-07
1975,4.13742331569925e-07
1976,4.27524517882765e-07
1977,4.2918281906167977e-07
1978,4.1789653388540113e-07
1979,4.0983313251022733e-07
1980,4.1079743644851466e-07
1981,4.197450372040683e-07
1982,4.367995123694917e-07
1983,4.491979755779799e-07
1984,4.677927125028093e-07
1985,4.895527955081239e-07
1986,5.14470404563586e-07
1987,5.316204822390449e-07
1988,5.457661294323251e-07
1989,5.616930463604928e-07
1990,5.662609104157517e-07
1991,5.778058575093123e-07
1992,5.881791399328254e-07
1993,6.0408219074556e-07
1994,6.154018186472448e-07
1995,6.260789535060342e-07
1996,6.456501020173684e-07
1997,6.496336238472265e-07
1998,6.53524401578969e-07
1999,6.822629481056148e-07
2000,6.713851722192235e-07
2001,6.797837548739543e-07
2002,6.902092114354932e-07
2003,6.863449877008472e-07
2004,7.054914996323143e-07
2005,7.088191052519375e-07
2006,6.864216045089831e-07
2007,7.004156503041616e-07
2008,7.053888566588284e-07
2009,7.045222137743881e-07
2010,7.003903387417917e-07
2011,7.128958584092158e-07
2012,7.300241772359836e-07
2013,7.520794075130002e-07
2014,7.611741596390078e-07
2015,7.582734968179596e-07
2016,7.767256420265767e-07
2017,7.870993954384176e-07
2018,7.775833182677161e-07
2019,7.783465747479568e-07
