ngram,Commit
1687,2.1642703537898863e-06
1688,2.2853490122543008e-06
1689,2.131265278291851e-06
1690,3.377502017493888e-06
1691,3.505276237904452e-06
1692,3.2160376122192247e-06
1693,3.20544307084804e-06
1694,3.104555844402057e-06
1695,3.0421727907586112e-06
1696,2.9781583959577673e-06
1697,1.731505595411623e-06
1698,1.7564980875509458e-06
1699,2.1976770605241266e-06
1700,2.289385406584188e-06
1701,2.413741364242534e-06
1702,2.6147064805367596e-06
1703,2.478078662144461e-06
1704,2.411257371802224e-06
1705,2.3430760458203233e-06
1706,2.3277678857474323e-06
1707,2.1515040771191707e-06
1708,2.102689758690498e-06
1709,2.1881004061339937e-06
1710,2.288187845676605e-06
1711,2.2446577564291407e-06
1712,2.303908136777214e-06
1713,2.1619956831792867e-06
1714,2.128770298830724e-06
1715,2.122040070519558e-06
1716,1.8244787075413375e-06
1717,1.7285676351873138e-06
1718,1.834638477963121e-06
1719,1.8175566245710279e-06
1720,1.701698806755303e-06
1721,2.0739895002666993e-06
1722,1.936140652755317e-06
1723,1.949656344939805e-06
1724,1.9059536628317022e-06
1725,1.6605159528028577e-06
1726,1.5510131804928408e-06
1727,1.5414209510059403e-06
1728,1.137481368524667e-06
1729,1.2131329429264172e-06
1730,1.2611754414137977e-06
1731,1.1884531220727825e-06
1732,1.2920430663143634e-06
1733,1.3405496182323468e-06
1734,1.1957654919569904e-06
1735,1.104786341394564e-06
1736,1.133765619800085e-06
1737,1.078937267655939e-06
1738,1.0967310523873103e-06
1739,1.2391387420913297e-06
1740,1.2137275738106318e-06
1741,1.360809294835365e-06
1742,1.3525512940759654e-06
1743,1.2669585121979513e-06
1744,1.274937785313211e-06
1745,1.2921527416308111e-06
1746,1.0228613973595202e-06
1747,9.61289044555867e-07
1748,8.84157819720193e-07
1749,7.912973347044629e-07
1750,8.830110971302929e-07
1751,7.624498274643494e-07
1752,8.911122750175439e-07
1753,8.969636309887261e-07
1754,8.598801010910912e-07
1755,7.624527061774902e-07
1756,8.127589166763625e-07
1757,6.795434330797434e-07
1758,7.658476753087078e-07
1759,6.646666983150291e-07
1760,8.692566950685432e-07
1761,8.689666515238059e-07
1762,8.926678885602866e-07
1763,9.467697655704146e-07
1764,9.81899298884465e-07
1765,9.658491291832303e-07
1766,9.384655917139233e-07
1767,7.190446597503199e-07
1768,7.51952971508477e-07
1769,7.295812776776854e-07
1770,6.769738791133153e-07
1771,6.739093773181334e-07
1772,6.160202709842062e-07
1773,5.171167194768194e-07
1774,5.239500942317526e-07
1775,5.194155404199461e-07
1776,5.375242052098526e-07
1777,5.123156106329978e-07
1778,5.11653815189155e-07
1779,5.25164021983723e-07
1780,5.478059067952148e-07
1781,5.334175341431546e-07
1782,5.719286012403504e-07
1783,5.563802939637494e-07
1784,6.216011172455183e-07
1785,6.713079423142127e-07
1786,1.803344580204274e-06
1787,1.8359159891393314e-06
1788,1.848582956297053e-06
1789,1.7897241499602906e-06
1790,1.8043511391039959e-06
1791,1.8081672083423785e-06
1792,1.7516880583506072e-06
1793,6.210929776833447e-07
1794,6.379286747103054e-07
1795,6.498227703234858e-07
1796,6.64103570865596e-07
1797,6.837211848116047e-07
1798,6.014337381137531e-07
1799,6.030945079211441e-07
1800,8.503368178480741e-07
1801,8.128083948122367e-07
1802,8.375731153721842e-07
1803,8.405173689750102e-07
1804,7.788179792506915e-07
1805,8.11029825139745e-07
1806,8.090422625173233e-07
1807,5.704928298655432e-07
1808,6.248590044119087e-07
1809,6.345444165032989e-07
1810,6.58231751263624e-07
1811,6.716611226563276e-07
1812,6.599300458479515e-07
1813,6.582114906450443e-07
1814,6.269641232847789e-07
1815,5.767676652469942e-07
1816,5.274795650426054e-07
1817,4.882792268290359e-07
1818,5.145321730586667e-07
1819,5.098993126141847e-07
1820,4.994197411178902e-07
1821,4.954988688561051e-07
1822,5.289999031837007e-07
1823,5.973288271629176e-07
1824,5.834883276228149e-07
1825,5.69512057576763e-07
1826,5.915468729459203e-07
1827,5.933315532859394e-07
1828,6.037164074054349e-07
1829,5.753001387022647e-07
1830,5.125706975052578e-07
1831,5.55089550451677e-07
1832,5.453426094196143e-07
1833,5.472707300668844e-07
1834,5.81562480712299e-07
1835,5.88266418942242e-07
1836,5.849893958449164e-07
1837,5.882544493423276e-07
1838,5.710062152632287e-07
1839,5.758231915414009e-07
1840,5.806522348653484e-07
1841,5.6428988110773e-07
1842,5.665309572577826e-07
1843,5.820669782354213e-07
1844,5.899888801000738e-07
1845,6.014319719075242e-07
1846,6.207407393178852e-07
1847,6.264956238867723e-07
1848,6.232073539130007e-07
1849,6.533238255152745e-07
1850,6.607231983122932e-07
1851,6.667899421180274e-07
1852,6.717564815517107e-07
1853,6.520145916510955e-07
1854,6.403535134528024e-07
1855,6.434273781711195e-07
1856,6.253330298022775e-07
1857,6.089313647602726e-07
1858,5.891634649352844e-07
1859,5.656219091828721e-07
1860,5.582518432285204e-07
1861,5.568410220543488e-07
1862,5.46088553424592e-07
1863,5.473365344447043e-07
1864,5.534577992096144e-07
1865,5.998227753220167e-07
1866,6.158461149295493e-07
1867,6.656924824710586e-07
1868,6.745352964441866e-07
1869,6.766957361443409e-07
1870,6.78244938561485e-07
1871,6.981912130348584e-07
1872,6.99660867147551e-07
1873,7.055204816554448e-07
1874,6.600194443048427e-07
1875,6.628635154421707e-07
1876,6.813659427150145e-07
1877,6.784349661107367e-07
1878,6.508454199709896e-07
1879,6.204838070646344e-07
1880,6.117830447952397e-07
1881,6.136883793520351e-07
1882,5.974471995224511e-07
1883,5.949169933826073e-07
1884,5.990224118639682e-07
1885,6.033622201227575e-07
1886,5.909679430260439e-07
1887,5.825613454492538e-07
1888,5.756505418373438e-07
1889,5.68367503157268e-07
1890,5.539726056927716e-07
1891,5.438510421689508e-07
1892,5.288697479954863e-07
1893,5.225663325550808e-07
1894,5.213527986467983e-07
1895,5.318608243344767e-07
1896,5.313140880908967e-07
1897,5.245646061017137e-07
1898,5.180026099489104e-07
1899,5.159504813231511e-07
1900,5.05097168408091e-07
1901,4.98049997434334e-07
1902,4.867822350921156e-07
1903,4.857164128679869e-07
1904,4.829301514876403e-07
1905,4.844992978243161e-07
1906,4.854669027411416e-07
1907,4.879594419955018e-07
1908,4.946470458630106e-07
1909,4.913646145204049e-07
1910,4.940762892147177e-07
1911,4.973413995555478e-07
1912,4.911342768666925e-07
1913,5.006216464867716e-07
1914,5.127323642487422e-07
1915,5.186535645407275e-07
1916,5.330441013029485e-07
1917,5.307315486139227e-07
1918,5.385885109327708e-07
1919,5.394041733909814e-07
1920,5.314901159181318e-07
1921,5.145235003770463e-07
1922,4.991304202966213e-07
1923,4.816277875566552e-07
1924,4.7067406480242167e-07
1925,4.447589511918133e-07
1926,4.3912813550507833e-07
1927,4.328370063636352e-07
1928,4.3155115138558487e-07
1929,4.2256740227587996e-07
1930,4.2485552853577246e-07
1931,4.2358223595329036e-07
1932,4.3184810140571373e-07
1933,4.4230179696569394e-07
1934,4.4357677454952083e-07
1935,4.544051210229684e-07
1936,4.717467082368135e-07
1937,4.788285699370525e-07
1938,4.893845349280517e-07
1939,5.060785700347228e-07
1940,5.250957956702353e-07
1941,5.662848171336268e-07
1942,5.937984691887063e-07
1943,6.10284579189673e-07
1944,6.370523968663682e-07
1945,6.544326538460155e-07
1946,6.575194869843212e-07
1947,6.470197117128659e-07
1948,6.429159092086982e-07
1949,6.312641614515866e-07
1950,6.219207031270863e-07
1951,5.97012607223795e-07
1952,5.930844427634188e-07
1953,5.918140654362755e-07
1954,5.910023738968968e-07
1955,5.646581046546219e-07
1956,5.580159998836669e-07
1957,5.495852113719073e-07
1958,5.461226026324897e-07
1959,5.288671900416375e-07
1960,5.228043521908278e-07
1961,5.080726655900694e-07
1962,4.982589254203569e-07
1963,4.899878750360845e-07
1964,4.894853548518898e-07
1965,4.84956875165413e-07
1966,4.88009179987005e-07
1967,4.926370950540461e-07
1968,5.064687473220277e-07
1969,5.187631180498491e-07
1970,5.346096502632593e-07
1971,5.44560732253428e-07
1972,5.609462131620344e-07
1973,5.844627740511246e-07
1974,5.850575754655958e-07
1975,5.943455464927995e-07
1976,6.085242846763452e-07
1977,5.957694172918439e-07
1978,6.014551477814425e-07
1979,5.946129947785396e-07
1980,5.876110792866842e-07
1981,5.858511745567999e-07
1982,5.798514653828793e-07
1983,5.732795053907986e-07
1984,5.778822388232843e-07
1985,5.774099512174351e-07
1986,5.81024445572049e-07
1987,5.760377998090657e-07
1988,5.890094842340789e-07
1989,5.883059982027459e-07
1990,5.892405770932133e-07
1991,5.844382339351537e-07
1992,5.87825151602114e-07
1993,5.904632465509556e-07
1994,5.846425860259583e-07
1995,5.711288021562463e-07
1996,5.590205042998215e-07
1997,5.470070862299638e-07
1998,5.509758368914066e-07
1999,5.418082927073036e-07
2000,5.530182371720522e-07
2001,5.621439770818273e-07
2002,5.67335112983918e-07
2003,5.878383636367548e-07
2004,5.972986595484794e-07
2005,6.0899429854544e-07
2006,6.21043032619387e-07
2007,6.229138957028876e-07
2008,6.239971282541643e-07
2009,6.168769784510784e-07
2010,5.92511205305917e-07
2011,5.781068961953549e-07
2012,5.602065219331312e-07
2013,5.318848772211433e-07
2014,5.031073970128221e-07
2015,4.788257602480631e-07
2016,4.6759753250366233e-07
2017,4.6685191061139147e-07
2018,4.637848519450927e-07
2019,4.526331167653552e-07
