ngram,Record,Recorde
1648,1.7075589442226503e-05,0.0
1649,1.7835990417682168e-05,0.0
1650,1.7884115940043038e-05,0.0
1651,1.5352643263863035e-05,0.0
1652,1.6787075245312216e-05,0.0
1653,1.710183525054682e-05,0.0
1654,2.3964939243472016e-05,0.0
1655,2.340771158872355e-05,3.486182842087666e-07
1656,3.0517389664705013e-05,3.486182842087666e-07
1657,3.222161473916328e-05,3.486182842087666e-07
1658,3.5382785686774044e-05,3.486182842087666e-07
1659,3.523813393258024e-05,3.486182842087666e-07
1660,3.7903933584207804e-05,3.486182842087666e-07
1661,3.152184802144932e-05,7.51730729981708e-07
1662,2.8248406124475878e-05,4.031124457729415e-07
1663,2.1110222665551453e-05,4.031124457729415e-07
1664,2.058531559409208e-05,4.031124457729415e-07
1665,1.8195532902609557e-05,4.031124457729415e-07
1666,2.076306580940062e-05,4.031124457729415e-07
1667,1.6055721841569592e-05,4.031124457729415e-07
1668,1.6684019621087437e-05,0.0
1669,1.8390878981985486e-05,0.0
1670,1.9214286891968057e-05,0.0
1671,1.8379863312085426e-05,0.0
1672,1.9011728649534882e-05,0.0
1673,1.751052189190107e-05,0.0
1674,1.576185098071749e-05,0.0
1675,1.5708777807178975e-05,0.0
1676,1.7123866590346942e-05,0.0
1677,2.0328241979379008e-05,0.0
1678,2.2433940102928318e-05,0.0
1679,2.563869436146758e-05,0.0
1680,2.6274832894809412e-05,0.0
1681,2.6704818083089776e-05,0.0
1682,2.7803283956018277e-05,0.0
1683,2.5364656201937968e-05,0.0
1684,2.1593686791935136e-05,0.0
1685,2.0882742579228113e-05,0.0
1686,1.964200159168935e-05,0.0
1687,1.8591010042915252e-05,0.0
1688,1.776434913024007e-05,0.0
1689,1.6428308689293253e-05,0.0
1690,1.8079652883378522e-05,0.0
1691,2.615626739757967e-05,0.0
1692,2.4745773771428503e-05,0.0
1693,2.60676666325058e-05,0.0
1694,2.75595900477908e-05,0.0
1695,2.9155011491509087e-05,0.0
1696,3.080445107376103e-05,0.0
1697,3.236149041185854e-05,1.4694149643089207e-08
1698,2.9265338136091096e-05,1.4694149643089207e-08
1699,3.184733369770194e-05,1.4694149643089207e-08
1700,2.924868489831819e-05,1.4694149643089207e-08
1701,2.711844185146869e-05,1.4694149643089207e-08
1702,2.6887099660858178e-05,1.4694149643089207e-08
1703,2.7279065891759403e-05,1.4694149643089207e-08
1704,2.402569316473091e-05,0.0
1705,1.897480706247734e-05,0.0
1706,1.6187378085825393e-05,0.0
1707,1.770896843871534e-05,0.0
1708,1.8109686737131726e-05,9.645867342961928e-09
1709,1.736052035994362e-05,9.645867342961928e-09
1710,1.683640143060724e-05,9.645867342961928e-09
1711,1.7139633200713433e-05,9.645867342961928e-09
1712,1.925634803358532e-05,9.645867342961928e-09
1713,2.0073395457334948e-05,9.645867342961928e-09
1714,1.7745333285087588e-05,9.645867342961928e-09
1715,1.8203451223338823e-05,0.0
1716,1.7964511633700958e-05,0.0
1717,1.7177376191414495e-05,0.0
1718,1.8430040914349126e-05,7.741756442263587e-09
1719,1.5873354381515776e-05,7.741756442263587e-09
1720,1.6003600259344758e-05,5.304739860077591e-08
1721,1.9238235316671698e-05,6.180745667653095e-08
1722,1.9152554419373962e-05,6.95350433740519e-08
1723,2.1082240761773263e-05,6.95350433740519e-08
1724,2.3478353926163565e-05,9.301872237545337e-08
1725,2.3584359951200895e-05,8.527696593318979e-08
1726,2.403605906563046e-05,9.166446395576194e-08
1727,2.604269411676796e-05,5.32015376515054e-08
1728,2.2886507395014632e-05,4.444147957575037e-08
1729,2.250138887965087e-05,2.915929618398293e-07
1730,2.0536655548702193e-05,2.915929618398293e-07
1731,1.7396086280184265e-05,2.681092828384278e-07
1732,1.610910112503916e-05,2.7436780669631844e-07
1733,1.7973526155401487e-05,2.7500507826516696e-07
1734,1.4579466681295474e-05,2.6816236241091117e-07
1735,1.436819158178488e-05,2.7462928845320024e-07
1736,1.4531261383256475e-05,1.9750219491600418e-08
1737,1.5053582631350895e-05,1.9750219491600418e-08
1738,1.567369197021305e-05,1.9750219491600418e-08
1739,1.668768969206472e-05,1.349169563370976e-08
1740,1.4121564228324652e-05,6.466926042289092e-09
1741,1.7620532617002027e-05,6.466926042289092e-09
1742,1.8644947951023433e-05,5.739635103704391e-08
1743,1.777817455409344e-05,3.84863718798962e-07
1744,1.810716139516444e-05,3.893277791584231e-07
1745,1.7109387759514254e-05,3.893277791584231e-07
1746,1.4829097186260956e-05,4.291515962912789e-07
1747,1.762561662742103e-05,4.582656585634075e-07
1748,1.5941632877261975e-05,4.6554512219846143e-07
1749,1.3902014935800772e-05,4.081487711614175e-07
1750,1.3352343882745896e-05,8.068140339949942e-08
1751,1.1562813077554373e-05,7.62173430400383e-08
1752,1.163195195528845e-05,7.62173430400383e-08
1753,1.1395891501056862e-05,3.639352590718252e-08
1754,8.773561733375703e-06,7.279463635053876e-09
1755,6.475297660862063e-06,0.0
1756,6.842212574805931e-06,1.517735321548181e-08
1757,6.136813161512171e-06,1.517735321548181e-08
1758,6.231235667135999e-06,1.8284938008150675e-08
1759,8.718952618177614e-06,1.8284938008150675e-08
1760,1.1180361330584024e-05,2.6269038753769436e-08
1761,1.0982259287370003e-05,2.6269038753769436e-08
1762,1.139657030892392e-05,2.8951620783297064e-08
1763,1.1197500628311121e-05,1.3774267567815253e-08
1764,1.1158585623759012e-05,1.6584947256806767e-08
1765,1.0977097645081813e-05,1.642477087671068e-08
1766,8.605237975903687e-06,1.642477087671068e-08
1767,6.066296399304909e-06,4.3774697644494154e-08
1768,6.284399985036414e-06,4.3774697644494154e-08
1769,6.129972851860137e-06,4.109211561496652e-08
1770,5.637837018314583e-06,4.109211561496652e-08
1771,5.8133110932041224e-06,3.828143592597501e-08
1772,5.93391015562312e-06,9.332782724413846e-08
1773,5.224526960643873e-06,9.592301810000339e-08
1774,5.454568703758664e-06,1.247281079689141e-07
1775,5.441626139405084e-06,1.247281079689141e-07
1776,4.919413608409481e-06,1.247281079689141e-07
1777,4.495727125686244e-06,1.5099056126034937e-07
1778,4.810777649514161e-06,1.5099056126034937e-07
1779,4.522276672755002e-06,9.299676152961314e-08
1780,4.34737853538536e-06,9.040157067374821e-08
1781,3.775369317996332e-06,2.626245329143525e-08
1782,3.594311270457443e-06,5.000192158734405e-08
1783,3.3696314208750015e-06,5.000192158734405e-08
1784,3.3113469726231415e-06,2.5403940411601004e-08
1785,2.6254161379516257e-06,2.702206280957853e-08
1786,2.7511026213947583e-06,2.9702259445636107e-08
1787,3.0185778346744234e-06,3.356968417530684e-08
1788,3.137639461263981e-06,3.356968417530684e-08
1789,2.6628050428761137e-06,1.0993600696451722e-08
1790,3.151167772687456e-06,1.0993600696451722e-08
1791,3.279606062278617e-06,1.0415094818329505e-08
1792,3.4933422869341612e-06,8.796972420351982e-09
1793,3.700974600308525e-06,3.56974392902641e-08
1794,3.4378375143465486e-06,3.282800012779522e-08
1795,3.252812933039552e-06,3.739436087763741e-08
1796,3.176664579638912e-06,3.7179137673299626e-08
1797,3.516350586453752e-06,3.7179137673299626e-08
1798,3.598592879175807e-06,3.8986454762936414e-08
1799,3.48966373816698e-06,4.018799394854357e-08
1800,3.7564781710638532e-06,1.3900641717055708e-08
1801,3.546222014197805e-06,3.5655338935315836e-08
1802,3.6476989829939806e-06,3.760088006034477e-08
1803,3.5811665384244407e-06,3.7705718293677496e-08
1804,2.79608432915016e-06,4.2892036716019836e-08
1805,2.7939992151004844e-06,4.519230361361386e-08
1806,2.965976477753429e-06,4.554206497634336e-08
1807,2.4656926111025053e-06,7.467804393915653e-08
1808,2.7812197913590353e-06,5.616189862373793e-08
1809,2.747071188683289e-06,5.4534966891545926e-08
1810,2.822264686333905e-06,6.35070987544038e-08
1811,2.8143610799296378e-06,6.746175427809118e-08
1812,2.684323866170806e-06,7.205524304205418e-08
1813,3.063083292025632e-06,7.593536567794348e-08
1814,2.929040501190424e-06,7.338708942126817e-08
1815,2.8519578693573877e-06,7.243394404911538e-08
1816,3.2721325981453575e-06,8.352348197198417e-08
1817,3.3220706784829545e-06,7.658260666890523e-08
1818,3.4211241849594183e-06,7.066426022106498e-08
1819,3.493840982368316e-06,6.433406239482662e-08
1820,2.9048014117246827e-06,6.361934116024973e-08
1821,3.068181578263258e-06,3.952326872130081e-08
1822,2.929773862498613e-06,3.861048572925288e-08
1823,2.5616522114952593e-06,2.8394951406036332e-08
1824,2.5775112979837492e-06,2.8663695417208146e-08
1825,2.704023959917582e-06,2.746693678850371e-08
1826,3.2235333427317007e-06,2.8276032309244263e-08
1827,3.4904289155487537e-06,2.732387205384157e-08
1828,3.5907644035302966e-06,2.4738480597363832e-08
1829,7.758986352460592e-06,2.6373505411316145e-08
1830,8.12897363695291e-06,2.7095240717756042e-08
1831,8.292609209092916e-06,3.228854885049616e-08
1832,8.514082017947139e-06,3.6648889383578924e-08
1833,8.226111828792324e-06,3.6506865847789934e-08
1834,8.4110249645164e-06,4.835764068543215e-08
1835,8.519806540009864e-06,4.607970798582122e-08
1836,4.459080335956449e-06,5.243251731203356e-08
1837,4.356171725053823e-06,5.9271730698132585e-08
1838,4.286304471991441e-06,6.957788104397114e-08
1839,4.064580869973204e-06,7.1376066771275e-08
1840,4.0156763654002655e-06,7.269434305306228e-08
1841,3.748590253443191e-06,6.162757142697777e-08
1842,3.7262883389692954e-06,7.341638103801934e-08
1843,3.935046639266407e-06,6.889407089261113e-08
1844,3.956028617072402e-06,6.946498284524491e-08
1845,4.099804397940586e-06,5.708618441449939e-08
1846,4.4462692910331365e-06,5.31411217252753e-08
1847,4.55551259749752e-06,5.0304967302849946e-08
1848,4.66137869027859e-06,4.860018140310071e-08
1849,4.719373724323564e-06,3.884542896871933e-08
1850,4.7102037439929386e-06,4.027219218422877e-08
1851,4.650162931544141e-06,3.023493125705759e-08
1852,4.6039554035814945e-06,2.6542157170540903e-08
1853,4.520061728336648e-06,2.6694424956222714e-08
1854,4.586104621141983e-06,3.090614088461864e-08
1855,4.686567016116376e-06,3.3575065775234436e-08
1856,4.7308156224192184e-06,3.941607979689772e-08
1857,5.005036135636536e-06,3.922891471981009e-08
1858,5.523488523197427e-06,4.833613204929017e-08
1859,6.311976643961056e-06,4.6956621575182974e-08
1860,6.610453445838564e-06,4.494383443187644e-08
1861,6.981026477400779e-06,4.111987766159635e-08
1862,7.5420588083423875e-06,3.878313530642734e-08
1863,8.11706188739793e-06,3.29461952322926e-08
1864,8.386972175295731e-06,2.959097868325346e-08
1865,8.437045705379984e-06,1.9151101403126958e-08
1866,8.42286655305153e-06,2.0890738535886807e-08
1867,8.710888778296066e-06,2.4302394509488423e-08
1868,8.930736969757294e-06,2.5655334872405026e-08
1869,8.951633000313969e-06,2.5685850145253297e-08
1870,9.067073343820603e-06,2.445779654993073e-08
1871,9.385498872558986e-06,2.284723711807958e-08
1872,9.566886157179916e-06,2.311103981205471e-08
1873,9.624446257865721e-06,2.484612071640413e-08
1874,9.795627582726801e-06,2.2075946023595146e-08
1875,1.0156953976547811e-05,1.9333812646087674e-08
1876,1.0722087868738786e-05,1.8005623024310224e-08
1877,1.0970304953973806e-05,2.651476841261261e-08
1878,1.1271176455401083e-05,2.745278341162053e-08
1879,1.1581757722264488e-05,2.7775396712773467e-08
1880,1.2041110884248546e-05,2.6944364961423162e-08
1881,1.2377375371995316e-05,2.6859671058738447e-08
1882,1.2566833122816337e-05,2.9565543917848506e-08
1883,1.2643317079761931e-05,3.032133223866497e-08
1884,1.2917918346439755e-05,2.4046909987061682e-08
1885,1.2973503024633309e-05,2.633922261249414e-08
1886,1.3238936714645075e-05,2.8887559519067248e-08
1887,1.3319762079585676e-05,2.871125280380836e-08
1888,1.3614113803279387e-05,3.17432805120786e-08
1889,1.3968104342763712e-05,3.353062487982632e-08
1890,1.4142760327169007e-05,3.4437965875814114e-08
1891,1.4344072172077307e-05,3.2647977274028306e-08
1892,1.4615081064610941e-05,2.94424946645222e-08
1893,1.4988728772940313e-05,3.132799543590993e-08
1894,1.5408750706618385e-05,3.342401885423182e-08
1895,1.5594556836211787e-05,3.050504458558732e-08
1896,1.5656044654731106e-05,2.9077908842672125e-08
1897,1.6653097450866232e-05,2.9047519183628926e-08
1898,1.718357049997264e-05,2.87109829244514e-08
1899,1.807729729210093e-05,2.8834707193376678e-08
1900,1.8639540940057486e-05,2.4202907233927817e-08
1901,1.94179530288758e-05,2.1065681643506196e-08
1902,2.002837183161838e-05,2.0152095738166864e-08
1903,2.087220465390211e-05,1.879675526339497e-08
1904,2.1287095608256224e-05,1.7854054361927344e-08
1905,2.2234206751038854e-05,2.15182784606733e-08
1906,2.1994985997610327e-05,2.5000298720101455e-08
1907,2.16063459187613e-05,2.635413208297775e-08
1908,2.1154071094185512e-05,2.9661409836226734e-08
1909,2.118343010287e-05,3.059950692829716e-08
1910,2.1010203064569006e-05,3.0548576747589454e-08
1911,2.069934349232686e-05,3.051027646400988e-08
1912,2.0773114166721435e-05,2.7788081930728888e-08
1913,2.118290597406615e-05,2.4320906177877077e-08
1914,2.188145741196682e-05,2.524655963652224e-08
1915,2.241265844661809e-05,2.1151885068856506e-08
1916,2.2780380407181967e-05,2.1043936878787202e-08
1917,2.3090424812315697e-05,2.2025108086560456e-08
1918,2.3163442165241577e-05,2.3478428598114728e-08
1919,2.2737260483804027e-05,2.6364598631240758e-08
1920,2.2582892727638993e-05,3.882428042548522e-08
1921,2.2170765857611385e-05,3.8020837272207634e-08
1922,2.1736482917081696e-05,4.7911421116201125e-08
1923,2.1224215743131936e-05,5.189482900545629e-08
1924,2.1035742975072935e-05,5.194743505195934e-08
1925,2.100796934558145e-05,5.242711306355627e-08
1926,2.0816715862435687e-05,5.251268423275438e-08
1927,2.0663314509355197e-05,4.3532443174042005e-08
1928,2.099200355587527e-05,4.0971791166149226e-08
1929,2.124028755393478e-05,3.2631634156692664e-08
1930,2.11987883501154e-05,3.248985753450435e-08
1931,2.0943249182892032e-05,3.419902748293323e-08
1932,2.08426944092415e-05,3.38499479874648e-08
1933,2.0823440926116226e-05,3.3424730285146e-08
1934,2.1739313784304875e-05,3.656919858993238e-08
1935,2.261212284793146e-05,3.936668514979504e-08
1936,2.35629257596364e-05,3.835140611434846e-08
1937,2.5128950125820537e-05,3.5269999238656576e-08
1938,2.697732920101511e-05,3.276475243499785e-08
1939,2.7838653425403337e-05,3.201152105296907e-08
1940,2.7705455327772404e-05,2.941716051704394e-08
1941,2.6814719863718244e-05,2.3691418097168286e-08
1942,2.576218503236305e-05,2.2132862399969e-08
1943,2.4985190975712612e-05,2.2711196986538847e-08
1944,2.339449929422699e-05,2.2078081331398736e-08
1945,2.200101854603937e-05,2.0415372122987004e-08
1946,2.110471697441036e-05,2.097657958444188e-08
1947,2.1094746573778268e-05,2.2961232026830203e-08
1948,2.104803726459587e-05,2.7313696320569695e-08
1949,2.088203525220576e-05,3.984465747817824e-08
1950,2.0411539350919027e-05,5.587827102613931e-08
1951,2.057457874928202e-05,6.005099972838934e-08
1952,2.0225335902068764e-05,6.484590718360193e-08
1953,2.0009860496169756e-05,6.563077751106253e-08
1954,2.0137696213039036e-05,6.381523043330617e-08
1955,2.0204231727153194e-05,6.514721892106731e-08
1956,2.0329144847762238e-05,5.2421253116108346e-08
1957,2.0289173854897463e-05,3.5706283390319575e-08
1958,2.012052625234771e-05,3.426121304122327e-08
1959,2.002668484887441e-05,3.462914475806299e-08
1960,1.9905289653771823e-05,4.099727643084147e-08
1961,2.008243921279375e-05,4.4329670347208e-08
1962,1.969974125261485e-05,4.000326140182356e-08
1963,1.951755101410007e-05,4.068015689386227e-08
1964,1.9450555035811184e-05,4.099580027830793e-08
1965,1.9304910633114298e-05,3.9407055396623036e-08
1966,1.8980325486544253e-05,3.555273256746919e-08
1967,1.910668600300726e-05,2.726390364265236e-08
1968,1.875924863270484e-05,2.4216673618785275e-08
1969,1.9061243749872248e-05,2.396009156159705e-08
1970,1.921388372595954e-05,2.282612600522173e-08
1971,2.0088579081597606e-05,2.237438501140332e-08
1972,2.0563862303138842e-05,2.0499611658968727e-08
1973,2.150633268424177e-05,1.946474093017514e-08
1974,2.187685458920896e-05,1.9212540637779185e-08
1975,2.2339280154223422e-05,1.7370362672051798e-08
1976,2.27729875145347e-05,1.5010035880891337e-08
1977,2.2958008880128284e-05,1.5600298449872492e-08
1978,2.4061337171588093e-05,1.5426494367635054e-08
1979,2.4199673654428417e-05,1.545144507580127e-08
1980,2.3595508537255228e-05,1.5532708072133313e-08
1981,2.344561783372358e-05,1.4700279596776714e-08
1982,2.3222126401378773e-05,1.5592374122011928e-08
1983,2.304933358183397e-05,1.511578950896819e-08
1984,2.31017643922574e-05,1.4127974472850319e-08
1985,2.1362246635752463e-05,1.3180918071295115e-08
1986,2.15268324349641e-05,1.3777088803124116e-08
1987,2.167512970377824e-05,1.2666146734626897e-08
1988,2.186522345125143e-05,1.3557048816892348e-08
1989,2.179533398053276e-05,1.2729003755802232e-08
1990,2.144804031039322e-05,1.4215543662844863e-08
1991,2.1513005257085232e-05,1.4474447925952712e-08
1992,2.1624613509629853e-05,1.49578697364713e-08
1993,2.1237372233632152e-05,1.4144579222171875e-08
1994,2.1118408247795223e-05,1.5545405217056085e-08
1995,2.055882915945923e-05,1.5073585681234036e-08
1996,2.0325712934469004e-05,1.7236615436542835e-08
1997,2.0177350441891967e-05,1.7489382894301083e-08
1998,1.9525835731266333e-05,1.7723975937704902e-08
1999,1.902206349768676e-05,2.0781414811210652e-08
2000,1.8343272521243697e-05,2.0974480945718758e-08
2001,1.782884542730504e-05,2.1172701560244278e-08
2002,1.7153776882748518e-05,2.0861376626157835e-08
2003,1.6422584459568107e-05,1.969181237119041e-08
2004,1.590132147352311e-05,1.9953116746153554e-08
2005,1.527926841455545e-05,2.078445174699287e-08
2006,1.452601684702261e-05,1.80354296576622e-08
2007,1.3869444956071675e-05,1.75995105473297e-08
2008,1.297650838491141e-05,2.4800830976192045e-08
2009,1.2272696689511317e-05,3.251284714471987e-08
2010,1.1597264866785345e-05,3.4207145179924025e-08
2011,1.0740650265818528e-05,3.4623636909917166e-08
2012,1.0127939796283109e-05,3.310563340923929e-08
2013,9.695444792409294e-06,4.284931634909331e-08
2014,9.211151076929777e-06,4.298538972388347e-08
2015,8.76058714181584e-06,3.449733552786581e-08
2016,8.453056645001717e-06,2.808658397920486e-08
2017,8.22425568003382e-06,2.798669296311118e-08
2018,8.111927945719799e-06,2.8189566236846986e-08
2019,7.890292067713744e-06,3.205039789122566e-08
