ngram,Router
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,1.493321925798747e-07
1625,1.493321925798747e-07
1626,1.493321925798747e-07
1627,1.493321925798747e-07
1628,1.493321925798747e-07
1629,1.493321925798747e-07
1630,1.493321925798747e-07
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,3.9948397605777634e-08
1667,3.9948397605777634e-08
1668,3.9948397605777634e-08
1669,3.9948397605777634e-08
1670,3.9948397605777634e-08
1671,3.9948397605777634e-08
1672,3.9948397605777634e-08
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,9.157804673317775e-09
1706,9.157804673317775e-09
1707,9.157804673317775e-09
1708,9.157804673317775e-09
1709,9.157804673317775e-09
1710,9.157804673317775e-09
1711,9.157804673317775e-09
1712,0.0
1713,0.0
1714,9.571610551769742e-09
1715,9.571610551769742e-09
1716,9.571610551769742e-09
1717,9.571610551769742e-09
1718,9.571610551769742e-09
1719,9.571610551769742e-09
1720,9.571610551769742e-09
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,2.8099078365682673e-08
1734,2.8099078365682673e-08
1735,2.8099078365682673e-08
1736,2.8099078365682673e-08
1737,2.8099078365682673e-08
1738,2.8099078365682673e-08
1739,2.8099078365682673e-08
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,3.898590149122226e-09
1753,3.898590149122226e-09
1754,3.898590149122226e-09
1755,3.898590149122226e-09
1756,3.898590149122226e-09
1757,3.898590149122226e-09
1758,3.898590149122226e-09
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,2.682212547305036e-09
1769,2.682212547305036e-09
1770,2.682212547305036e-09
1771,2.682212547305036e-09
1772,2.682212547305036e-09
1773,2.682212547305036e-09
1774,8.027138826654273e-09
1775,8.2336154402388e-09
1776,8.2336154402388e-09
1777,1.115166574956155e-08
1778,1.115166574956155e-08
1779,1.3713351470252227e-08
1780,1.3713351470252227e-08
1781,1.0280942065930633e-08
1782,9.550386386487325e-09
1783,1.1724985427008505e-08
1784,8.806935117685758e-09
1785,8.806935117685758e-09
1786,1.1605642669110239e-08
1787,1.1605642669110239e-08
1788,9.693125794082595e-09
1789,7.53499231263634e-09
1790,6.465241675357447e-09
1791,8.637174150497425e-09
1792,8.637174150497425e-09
1793,3.276780878382267e-09
1794,4.274766445584126e-09
1795,5.188038570176039e-09
1796,6.136200182891928e-09
1797,7.865970160939436e-09
1798,5.694037685799458e-09
1799,3.0926360329784434e-08
1800,3.2573015967025347e-08
1801,3.2503711341494834e-08
1802,3.2024566014905124e-08
1803,3.107640440218924e-08
1804,2.854686357142303e-08
1805,2.9066218574870717e-08
1806,5.902296746589692e-09
1807,4.883304808142189e-09
1808,1.713496221102316e-08
1809,1.7062685042645853e-08
1810,1.7280622694697863e-08
1811,1.7209929085001567e-08
1812,1.7406698891799166e-08
1813,1.7472071614906985e-08
1814,1.6844407916113572e-08
1815,4.436632410660073e-09
1816,6.547028173566259e-09
1817,6.843133234671736e-09
1818,7.503923641191283e-09
1819,1.4152373305011321e-08
1820,1.2460790558118821e-08
1821,1.2846453329678248e-08
1822,1.2572966096818e-08
1823,1.0522109025349176e-08
1824,1.0276306345551639e-08
1825,1.0014215996128378e-08
1826,7.152574659536575e-09
1827,6.710383867617306e-09
1828,7.979660773419336e-09
1829,7.972505132260364e-09
1830,8.027639505517722e-09
1831,7.945188792593934e-09
1832,7.56755317140748e-09
1833,3.1470982962490878e-09
1834,3.2301584898927362e-09
1835,3.3346701907735874e-09
1836,3.2180561073045867e-09
1837,4.290361653249062e-09
1838,4.257223827432353e-09
1839,4.153338324058049e-09
1840,5.053477604631342e-09
1841,5.670193521061557e-09
1842,5.248681806640272e-09
1843,5.266823104627909e-09
1844,4.519389116909776e-09
1845,4.767170198276866e-09
1846,5.267812345063508e-09
1847,4.891249437223775e-09
1848,5.7227281960844525e-09
1849,5.190881565856184e-09
1850,5.177193657906238e-09
1851,5.025799712906778e-09
1852,6.1422142292956644e-09
1853,6.358677330707354e-09
1854,7.873700865904506e-09
1855,7.07747048269068e-09
1856,8.110233246887738e-09
1857,9.463306138712824e-09
1858,1.1405463938375858e-08
1859,1.2021145412433043e-08
1860,1.2677357576405614e-08
1861,1.2533313180946542e-08
1862,1.3692709950013132e-08
1863,1.376336936484027e-08
1864,1.3678866420515793e-08
1865,1.4403699693283606e-08
1866,1.4350433222684193e-08
1867,1.528866303398705e-08
1868,1.4835227015095955e-08
1869,1.535554489911257e-08
1870,1.868335086641082e-08
1871,1.9875345940485138e-08
1872,1.946592588706965e-08
1873,1.9181066386002906e-08
1874,1.9022917844121627e-08
1875,1.9825991768941875e-08
1876,1.959617585660973e-08
1877,1.6630713314417075e-08
1878,1.564094238253639e-08
1879,1.566613137628435e-08
1880,1.7193283875980925e-08
1881,1.880245610002313e-08
1882,1.9263008331295495e-08
1883,1.9198178538967373e-08
1884,1.845186530553227e-08
1885,1.9880942225825038e-08
1886,2.0258815704364353e-08
1887,2.075074829426577e-08
1888,2.02389727834072e-08
1889,2.2319535553094738e-08
1890,2.2754306883143727e-08
1891,2.4685443530561964e-08
1892,2.488890845800792e-08
1893,2.4322613764330266e-08
1894,2.4507737046113627e-08
1895,2.4408087233902213e-08
1896,2.231170143878509e-08
1897,5.8377912028260785e-08
1898,5.755480257464894e-08
1899,5.694950466761384e-08
1900,5.7349450648709014e-08
1901,5.669249374713152e-08
1902,5.624802160549994e-08
1903,5.727013707712558e-08
1904,2.2818595267283725e-08
1905,2.4591365642225227e-08
1906,2.574746460481947e-08
1907,2.7144733191367517e-08
1908,2.8208628829621115e-08
1909,3.0435584972922566e-08
1910,3.3460143861978916e-08
1911,3.647526725103489e-08
1912,3.75751133065348e-08
1913,3.9517747296713424e-08
1914,4.1962875587030016e-08
1915,4.441097648363471e-08
1916,4.718285647900952e-08
1917,4.900957100468466e-08
1918,4.943206073042867e-08
1919,5.212258764280315e-08
1920,5.257291592540371e-08
1921,5.2164350299627974e-08
1922,5.0575682308817704e-08
1923,4.767840573143596e-08
1924,4.3429491621996674e-08
1925,4.164265427724396e-08
1926,4.052913382679435e-08
1927,4.201523091345345e-08
1928,4.223434148441031e-08
1929,4.149551661011433e-08
1930,4.244406477076674e-08
1931,4.4449043303172534e-08
1932,4.46814049886208e-08
1933,4.2857154523647164e-08
1934,3.96175166323636e-08
1935,3.890920906103799e-08
1936,4.2988335938584244e-08
1937,4.4508431987618935e-08
1938,4.465500528080416e-08
1939,5.1223605420805795e-08
1940,5.940295011441776e-08
1941,6.725030285029529e-08
1942,7.124914245894485e-08
1943,7.000234855273188e-08
1944,7.044700721183159e-08
1945,7.384737291512725e-08
1946,7.453077799368657e-08
1947,7.493412062282395e-08
1948,7.410985044690019e-08
1949,7.548424514019253e-08
1950,7.944521789633135e-08
1951,8.102165440147604e-08
1952,8.137821591195202e-08
1953,7.784793406731946e-08
1954,7.698356593469466e-08
1955,7.498382054953773e-08
1956,7.282805825070682e-08
1957,7.162711312957981e-08
1958,6.98304403507726e-08
1959,6.675420647996231e-08
1960,6.242197260673623e-08
1961,5.682836144517621e-08
1962,5.501766407535667e-08
1963,5.14456058705751e-08
1964,4.680401336340115e-08
1965,4.687316236738427e-08
1966,4.478019529788721e-08
1967,4.55912229873385e-08
1968,4.512452887541128e-08
1969,4.551525987851944e-08
1970,4.7498094854095796e-08
1971,5.0524524754434556e-08
1972,5.2950097893601974e-08
1973,5.604427855132599e-08
1974,5.724605551498436e-08
1975,5.629768854272957e-08
1976,5.490822171542017e-08
1977,5.402955543282977e-08
1978,5.12299896472866e-08
1979,4.835669743995043e-08
1980,4.979800800291352e-08
1981,5.1063902312924777e-08
1982,5.510824000306716e-08
1983,6.566132222068128e-08
1984,7.32961384284993e-08
1985,8.16843263505364e-08
1986,9.232391663869879e-08
1987,1.0300992313107469e-07
1988,1.1813311370393162e-07
1989,1.3146209352856074e-07
1990,1.4849412772426668e-07
1991,1.6996784475103205e-07
1992,1.9614315606629263e-07
1993,2.1946041580836857e-07
1994,2.471944091959293e-07
1995,3.203581115940324e-07
1996,4.2843262398102e-07
1997,5.44745461183993e-07
1998,6.491755552165809e-07
1999,7.882495286334493e-07
2000,9.102683650650891e-07
2001,1.0024493316710244e-06
2002,1.031114054837547e-06
2003,1.1105313352085692e-06
2004,1.0704623361691899e-06
2005,1.0478011225651635e-06
2006,9.605680588720134e-07
2007,9.715629565627232e-07
2008,9.95415348370443e-07
2009,9.451866032707455e-07
2010,8.17860195313967e-07
2011,7.80907068279443e-07
2012,7.210271511277304e-07
2013,7.173017958653613e-07
2014,6.057020779540576e-07
2015,4.955535156828514e-07
2016,4.6430721210656755e-07
2017,4.442665707908115e-07
2018,4.2985161599062847e-07
2019,4.3610152289375037e-07
