ngram,Marubeni
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,3.5099995925642295e-10
1804,3.5099995925642295e-10
1805,3.5099995925642295e-10
1806,3.5099995925642295e-10
1807,3.5099995925642295e-10
1808,3.5099995925642295e-10
1809,3.5099995925642295e-10
1810,0.0
1811,2.343839408272938e-10
1812,2.343839408272938e-10
1813,2.343839408272938e-10
1814,2.343839408272938e-10
1815,2.343839408272938e-10
1816,2.343839408272938e-10
1817,2.343839408272938e-10
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,5.4687675023399966e-11
1849,5.4687675023399966e-11
1850,5.4687675023399966e-11
1851,5.4687675023399966e-11
1852,5.4687675023399966e-11
1853,5.4687675023399966e-11
1854,5.4687675023399966e-11
1855,0.0
1856,0.0
1857,0.0
1858,1.1520702645841295e-10
1859,1.1520702645841295e-10
1860,1.1520702645841295e-10
1861,1.1520702645841295e-10
1862,1.1520702645841295e-10
1863,1.1520702645841295e-10
1864,1.1520702645841295e-10
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,3.4951672508601714e-11
1878,3.4951672508601714e-11
1879,3.4951672508601714e-11
1880,3.4951672508601714e-11
1881,6.65172678842347e-11
1882,6.65172678842347e-11
1883,6.65172678842347e-11
1884,3.156559537563299e-11
1885,3.156559537563299e-11
1886,3.156559537563299e-11
1887,5.919956390178425e-11
1888,2.7633968526151266e-11
1889,2.7633968526151266e-11
1890,5.29296586718583e-11
1891,5.29296586718583e-11
1892,5.29296586718583e-11
1893,5.29296586718583e-11
1894,4.738746300121071e-11
1895,6.855867064535305e-11
1896,6.855867064535305e-11
1897,6.183973571311746e-11
1898,6.183973571311746e-11
1899,6.183973571311746e-11
1900,6.183973571311746e-11
1901,5.688464976838503e-11
1902,3.5713442124242685e-11
1903,3.5713442124242685e-11
1904,4.884416680641022e-11
1905,6.409102911085287e-11
1906,6.409102911085287e-11
1907,1.226917248353665e-10
1908,1.0555503792459525e-10
1909,1.4689806613185245e-10
1910,1.4689806613185245e-10
1911,1.1519058623621348e-10
1912,1.1435783173593554e-10
1913,1.2865575073549096e-10
1914,8.46715445772845e-11
1915,1.0061026714128626e-10
1916,1.1947468907060254e-10
1917,1.4740615771653102e-10
1918,1.761666358425705e-10
1919,1.7595827473642396e-10
1920,1.848620106199255e-10
1921,1.7024552105361834e-10
1922,2.026093905744502e-10
1923,1.915088296278178e-10
1924,1.6357736098188928e-10
1925,4.338841617339868e-10
1926,4.196784150359686e-10
1927,3.9647676015291163e-10
1928,4.877147059228243e-10
1929,5.658411001656966e-10
1930,5.439616039350424e-10
1931,5.70194613747077e-10
1932,3.893435653244483e-10
1933,4.125107239920973e-10
1934,8.618682275799269e-10
1935,7.706302818100141e-10
1936,6.651387278257457e-10
1937,9.296627515428416e-10
1938,1.1427045004674952e-09
1939,1.4227926753429543e-09
1940,1.5801783591935197e-09
1941,1.3514494186437987e-09
1942,1.4759896459810256e-09
1943,1.5194121913023447e-09
1944,2.0244562930799806e-09
1945,1.8414897939855734e-09
1946,1.6417626385362943e-09
1947,1.9744760509128004e-09
1948,2.6259474674082485e-09
1949,3.0285982610678275e-09
1950,3.3703177074581194e-09
1951,3.053446035699332e-09
1952,3.812703105613277e-09
1953,5.041846400694843e-09
1954,6.343074605246508e-09
1955,8.108928481068541e-09
1956,1.0073318496799694e-08
1957,1.263652712627358e-08
1958,1.5703342055266896e-08
1959,1.8637364540552426e-08
1960,2.0724813865058422e-08
1961,2.3457569093514915e-08
1962,2.5716458042422474e-08
1963,2.8979017534831135e-08
1964,3.175645448193011e-08
1965,3.6460631847035074e-08
1966,4.0308257810904383e-08
1967,4.697331387352019e-08
1968,5.6755948004852796e-08
1969,6.76404704945201e-08
1970,8.309977214285677e-08
1971,1.0029420443353437e-07
1972,1.0928635571108966e-07
1973,1.242228252960688e-07
1974,1.324641039397128e-07
1975,1.3547233176528346e-07
1976,1.4345469269626066e-07
1977,1.422029336189163e-07
1978,1.4148942081452072e-07
1979,1.5418067635307254e-07
1980,1.555728264942705e-07
1981,1.7218735592905432e-07
1982,1.761943500306578e-07
1983,1.79782883183829e-07
1984,1.820493947336997e-07
1985,1.8409207111095123e-07
1986,1.7782645857421032e-07
1987,1.8210836369040147e-07
1988,1.7057674028819747e-07
1989,1.7977102118038601e-07
1990,1.7783695227535645e-07
1991,1.8346902460767263e-07
1992,1.8275847172130204e-07
1993,1.821562684816464e-07
1994,1.7721022516070661e-07
1995,1.7542206113116014e-07
1996,1.6752590121476324e-07
1997,1.5616688082380798e-07
1998,1.4442086333182097e-07
1999,1.3397992302900873e-07
2000,1.2008324595009462e-07
2001,1.0664862567669583e-07
2002,9.333953445077117e-08
2003,7.688091433318992e-08
2004,7.187020147268543e-08
2005,6.266229693859973e-08
2006,5.426287584344079e-08
2007,4.88983629460498e-08
2008,4.177502965774238e-08
2009,3.660799282759594e-08
2010,3.365756410086565e-08
2011,2.8095546968285945e-08
2012,2.5204774902119553e-08
2013,2.38137045321147e-08
2014,2.1411239892188405e-08
2015,2.0798306569044404e-08
2016,2.0361989681662507e-08
2017,1.998244710440152e-08
2018,1.9097920400668045e-08
2019,1.68451479432008e-08
