ngram,Kimberly - Clark
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,1.901727188423154e-10
1817,1.901727188423154e-10
1818,1.901727188423154e-10
1819,1.901727188423154e-10
1820,1.901727188423154e-10
1821,1.901727188423154e-10
1822,1.901727188423154e-10
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,1.5460341578383512e-09
1830,1.5460341578383512e-09
1831,1.5460341578383512e-09
1832,1.5460341578383512e-09
1833,1.5460341578383512e-09
1834,1.5460341578383512e-09
1835,1.5460341578383512e-09
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,4.4811698003093574e-11
1869,4.4811698003093574e-11
1870,4.4811698003093574e-11
1871,4.4811698003093574e-11
1872,2.9052195966399504e-10
1873,2.9052195966399504e-10
1874,2.9052195966399504e-10
1875,2.457102616609015e-10
1876,2.457102616609015e-10
1877,2.457102616609015e-10
1878,9.714174385523832e-10
1879,7.257071768914816e-10
1880,7.257071768914816e-10
1881,7.888383676427476e-10
1882,7.888383676427476e-10
1883,9.173288795238932e-10
1884,1.0698834199526379e-09
1885,5.763624656905466e-10
1886,6.315396975217372e-10
1887,6.591736660478884e-10
1888,1.2171078331687672e-09
1889,1.2171078331687672e-09
1890,1.1898000818704497e-09
1891,1.0372455414417052e-09
1892,8.050593188123147e-10
1893,1.1188688646214727e-09
1894,1.599345655911577e-09
1895,1.1688211668367136e-09
1896,1.4013862768637507e-09
1897,1.5974315996964655e-09
1898,1.8138896258028986e-09
1899,2.0506704112577268e-09
1900,1.7720366602651844e-09
1901,1.2810625873597e-09
1902,1.2454863311330199e-09
1903,1.1723126735236583e-09
1904,1.2714280878123319e-09
1905,2.838852944386794e-09
1906,1.3074687441843352e-08
1907,1.4273549752855504e-08
1908,1.626018342193447e-08
1909,1.8558238438056866e-08
1910,2.00517137814517e-08
1911,2.264664760482609e-08
1912,2.6383368125136386e-08
1913,2.1315366233969664e-08
1914,2.6223542702398716e-08
1915,2.93998572788366e-08
1916,3.2937478776164294e-08
1917,3.8337307931409926e-08
1918,4.127068921531775e-08
1919,4.099200623386423e-08
1920,4.131820168546645e-08
1921,4.2767167331346304e-08
1922,4.7440810898738816e-08
1923,5.272020077638574e-08
1924,5.924587601465906e-08
1925,7.190939907023416e-08
1926,7.783096173901477e-08
1927,9.81355959035162e-08
1928,1.0513292839472602e-07
1929,1.0759338359938348e-07
1930,1.1350383744002102e-07
1931,1.2458449459375386e-07
1932,1.2673144007229504e-07
1933,1.3391634671019608e-07
1934,1.2841654089308057e-07
1935,1.4277299495038927e-07
1936,1.5114499417125315e-07
1937,1.614789125272052e-07
1938,1.6796910732149888e-07
1939,1.7123182008812625e-07
1940,1.752461896233269e-07
1941,1.8819093635816637e-07
1942,1.9981581341913364e-07
1943,2.1336913797702956e-07
1944,2.1848540906635856e-07
1945,2.1701063904596856e-07
1946,2.2711844037205863e-07
1947,2.4495602092754e-07
1948,2.50617536120704e-07
1949,2.439538206999714e-07
1950,2.4022102910034195e-07
1951,2.3539284045779952e-07
1952,2.4886492967977703e-07
1953,2.4985611243469717e-07
1954,2.5085205379582476e-07
1955,2.488009442913608e-07
1956,2.509204262781038e-07
1957,2.5561188213682075e-07
1958,2.575877208041025e-07
1959,2.4911357294448475e-07
1960,2.5017429550189263e-07
1961,2.491603956806492e-07
1962,2.468269895773899e-07
1963,2.4223056170415346e-07
1964,2.3699809860642874e-07
1965,2.3910392396179046e-07
1966,2.3231435924182214e-07
1967,2.2799765783279975e-07
1968,2.1511113702997265e-07
1969,2.0760757836667055e-07
1970,2.0167756734476176e-07
1971,1.9732933610937054e-07
1972,1.916793438892585e-07
1973,1.8461334556312587e-07
1974,1.71348807904386e-07
1975,1.6220200953804514e-07
1976,1.5172021607310982e-07
1977,1.4789336079599836e-07
1978,1.412395564313686e-07
1979,1.407783390813425e-07
1980,1.4308014836420364e-07
1981,1.4878185997499065e-07
1982,1.54038298814742e-07
1983,1.5928872138764355e-07
1984,1.598482270992463e-07
1985,1.6117613402652102e-07
1986,1.561219501614427e-07
1987,1.5339339703197246e-07
1988,1.5194050969772173e-07
1989,1.5099220109147738e-07
1990,1.4940815568869376e-07
1991,1.570047589081826e-07
1992,1.6024749730344672e-07
1993,1.6379978262648365e-07
1994,1.7082688990350497e-07
1995,1.761306854015337e-07
1996,1.7953706178884333e-07
1997,1.81660053856701e-07
1998,1.775916059289427e-07
1999,1.76379361148195e-07
2000,1.699131603670269e-07
2001,1.6035000628887376e-07
2002,1.4653364388550472e-07
2003,1.350767523230648e-07
2004,1.2827571538309712e-07
2005,1.1655646099078304e-07
2006,1.0364232139181695e-07
2007,9.277722006524008e-08
2008,8.815616884102642e-08
2009,8.129048317024562e-08
2010,7.26316358168333e-08
2011,6.299923630389717e-08
2012,5.5450001415887784e-08
2013,5.20726699854939e-08
2014,5.0016935862881185e-08
2015,4.118822058022228e-08
2016,3.7483915907695775e-08
2017,3.7025433681966056e-08
2018,3.585137058337295e-08
2019,3.3357549167334355e-08
