ngram,General Motors
1822,2.8390729767124867e-09
1823,2.6735379624450874e-09
1824,2.6735379624450874e-09
1825,2.91543080153746e-09
1826,2.91543080153746e-09
1827,2.493077284298246e-09
1828,9.035438603659835e-09
1829,5.147132252953617e-07
1830,5.127001667501066e-07
1831,5.134998552559975e-07
1832,5.152931555103229e-07
1833,5.153720565864717e-07
1834,5.160069044432955e-07
1835,5.095446567142987e-07
1836,3.6287441226460058e-09
1837,3.6287441226460058e-09
1838,9.2519112609197e-09
1839,7.216718167502023e-09
1840,7.137817091353225e-09
1841,6.502969234529437e-09
1842,9.38531969601237e-09
1843,9.38531969601237e-09
1844,9.640705868539458e-09
1845,3.2178502243748343e-09
1846,3.280207403319072e-09
1847,3.280207403319072e-09
1848,3.5413641503405965e-09
1849,7.842611758425631e-10
1850,9.655997231953047e-10
1851,8.431803469718549e-10
1852,8.914810833982045e-10
1853,8.291239044539672e-10
1854,1.1663694375409405e-09
1855,1.005386416976149e-09
1856,1.0911019023999e-07
1857,1.0892885169263725e-07
1858,1.087958848963336e-07
1859,1.0880566098103728e-07
1860,1.0938762834422633e-07
1861,1.0905038281113935e-07
1862,1.0980047497412469e-07
1863,2.7195034557614406e-09
1864,2.8092911568451076e-09
1865,2.8092911568451076e-09
1866,1.0804043342511299e-08
1867,1.0222075979322248e-08
1868,1.043560301664367e-08
1869,1.0339087903281957e-08
1870,9.67327231014638e-09
1871,1.3216158199570925e-08
1872,1.3255180005198954e-08
1873,5.239508660270786e-09
1874,5.693713270701498e-09
1875,5.862104222677443e-09
1876,5.655816473889733e-09
1877,5.3252859027226e-09
1878,5.8130347813101224e-08
1879,5.895503003640533e-08
1880,6.104584293620263e-08
1881,6.08319041330217e-08
1882,6.088179175086797e-08
1883,6.458227598736346e-08
1884,6.446550656783298e-08
1885,8.110580128141618e-09
1886,7.7190593440944e-09
1887,8.983419769974838e-09
1888,1.3338780952792156e-08
1889,1.3802872416463735e-08
1890,1.1070667604862194e-08
1891,1.1660656884515674e-08
1892,1.2731282631303235e-08
1893,1.2741353845007503e-08
1894,9.370013996843975e-09
1895,5.679842653744898e-09
1896,5.041913341195605e-09
1897,9.896966589516078e-09
