ngram,Amazon,Amaon
1500,8.098626835817413e-08,0.0
1501,6.47890146865393e-08,0.0
1502,5.3990845572116086e-08,0.0
1503,4.627786763324236e-08,0.0
1504,4.627786763324236e-08,0.0
1505,0.0,0.0
1506,0.0,0.0
1507,0.0,0.0
1508,0.0,0.0
1509,0.0,0.0
1510,0.0,0.0
1511,0.0,0.0
1512,0.0,0.0
1513,0.0,0.0
1514,0.0,0.0
1515,0.0,0.0
1516,0.0,0.0
1517,0.0,0.0
1518,0.0,0.0
1519,0.0,0.0
1520,6.5540506121968586e-06,0.0
1521,6.5540506121968586e-06,0.0
1522,6.5540506121968586e-06,0.0
1523,6.5540506121968586e-06,0.0
1524,6.5540506121968586e-06,0.0
1525,6.5540506121968586e-06,0.0
1526,6.5540506121968586e-06,0.0
1527,0.0,0.0
1528,0.0,0.0
1529,0.0,0.0
1530,0.0,0.0
1531,0.0,0.0
1532,0.0,0.0
1533,0.0,0.0
1534,0.0,0.0
1535,0.0,0.0
1536,0.0,0.0
1537,0.0,0.0
1538,0.0,0.0
1539,0.0,0.0
1540,0.0,0.0
1541,0.0,0.0
1542,0.0,0.0
1543,0.0,0.0
1544,0.0,0.0
1545,0.0,0.0
1546,0.0,0.0
1547,0.0,0.0
1548,0.0,0.0
1549,0.0,0.0
1550,0.0,0.0
1551,0.0,0.0
1552,0.0,0.0
1553,0.0,0.0
1554,0.0,0.0
1555,0.0,0.0
1556,0.0,0.0
1557,0.0,0.0
1558,0.0,0.0
1559,0.0,0.0
1560,1.7947609844018838e-06,0.0
1561,1.7947609844018838e-06,0.0
1562,1.7947609844018838e-06,0.0
1563,1.7947609844018838e-06,0.0
1564,1.7947609844018838e-06,0.0
1565,1.7947609844018838e-06,0.0
1566,1.7947609844018838e-06,0.0
1567,0.0,0.0
1568,0.0,0.0
1569,0.0,0.0
1570,0.0,0.0
1571,0.0,0.0
1572,0.0,0.0
1573,0.0,0.0
1574,0.0,0.0
1575,0.0,0.0
1576,0.0,0.0
1577,0.0,0.0
1578,0.0,0.0
1579,0.0,0.0
1580,0.0,0.0
1581,0.0,0.0
1582,0.0,0.0
1583,0.0,0.0
1584,0.0,0.0
1585,5.661542802824573e-07,0.0
1586,5.661542802824573e-07,0.0
1587,5.06518862104193e-06,0.0
1588,5.06518862104193e-06,0.0
1589,5.4386415675773085e-06,0.0
1590,6.478544167163948e-06,0.0
1591,6.478544167163948e-06,0.0
1592,5.9123898868814905e-06,0.0
1593,1.0824477742841867e-05,0.0
1594,7.498864501290622e-06,0.0
1595,7.498864501290622e-06,0.0
1596,7.125411554755244e-06,0.0
1597,6.448695233172787e-06,0.0
1598,6.492929149512097e-06,0.0
1599,6.492929149512097e-06,0.0
1600,2.0068656324058665e-06,0.0
1601,1.22409225663692e-06,0.0
1602,1.3284929748026895e-06,0.0
1603,1.7406030841422243e-06,0.0
1604,1.3774168061380415e-06,0.0
1605,1.333182889798731e-06,0.0
1606,1.4132629969156239e-06,0.0
1607,9.872386580614797e-07,0.0
1608,5.965909346221971e-07,0.0
1609,4.921902164564276e-07,0.0
1610,2.2467006033366488e-06,0.0
1611,2.3491128818672484e-06,0.0
1612,2.3491128818672484e-06,0.0
1613,2.2690327747503555e-06,0.0
1614,2.598642522246207e-06,0.0
1615,3.741472247449045e-06,0.0
1616,3.741472247449045e-06,0.0
1617,1.5748517512292892e-06,0.0
1618,1.5709166112693701e-06,0.0
1619,1.5709166112693701e-06,0.0
1620,1.7723944389607432e-06,0.0
1621,1.4427846914648917e-06,0.0
1622,2.999549662620536e-07,0.0
1623,2.999549662620536e-07,0.0
1624,8.972837365815524e-07,0.0
1625,7.988065980108721e-07,0.0
1626,7.988065980108721e-07,0.0
1627,7.571001106043695e-07,0.0
1628,8.22611736696542e-07,0.0
1629,9.051410805633558e-07,0.0
1630,9.913900791096758e-07,0.0
1631,4.5074129470127187e-07,0.0
1632,8.172458316429194e-07,0.0
1633,8.172458316429194e-07,0.0
1634,6.574744913580486e-07,0.0
1635,1.0858811460171377e-06,0.0
1636,1.0033518021503239e-06,0.0
1637,9.171028036040038e-07,0.0
1638,9.277578547945658e-07,0.0
1639,5.612533178529182e-07,0.0
1640,5.612533178529182e-07,0.0
1641,5.612533178529182e-07,0.0
1642,6.733503710165678e-08,0.0
1643,6.733503710165678e-08,0.0
1644,6.733503710165678e-08,0.0
1645,4.9116830983361326e-08,0.0
1646,4.9116830983361326e-08,0.0
1647,1.5316238334760003e-07,0.0
1648,1.5316238334760003e-07,0.0
1649,2.3139015833554106e-07,0.0
1650,3.1923043154945064e-07,0.0
1651,3.6223051275945703e-07,0.0
1652,3.6878507866536634e-07,0.0
1653,3.6878507866536634e-07,0.0
1654,3.0622271245712387e-07,0.0
1655,3.0622271245712387e-07,0.0
1656,2.2799493746918286e-07,0.0
1657,2.235679638878147e-07,0.0
1658,2.3418351702275686e-07,0.0
1659,2.4284649059934183e-07,0.0
1660,2.4284649059934183e-07,0.0
1661,2.0136330444334556e-07,0.0
1662,2.825630238995862e-07,0.0
1663,2.825630238995862e-07,0.0
1664,1.991497242670448e-07,0.0
1665,1.455340899220963e-07,0.0
1666,1.211481170620183e-07,0.0
1667,1.211481170620183e-07,0.0
1668,1.6490133296948833e-07,0.0
1669,8.370161351324765e-08,0.0
1670,8.370161351324765e-08,0.0
1671,8.370161351324765e-08,0.0
1672,1.0830221494221145e-07,0.0
1673,1.4258243043384156e-07,0.0
1674,2.7270452765800914e-07,0.0
1675,2.63269811284772e-07,0.0
1676,4.35055852676669e-07,0.0
1677,5.022282485762324e-07,0.0
1678,5.022282485762324e-07,0.0
1679,5.006994164042615e-07,0.0
1680,4.264708033068538e-07,0.0
1681,3.858520959251369e-07,0.0
1682,4.5233875718102876e-07,0.0
1683,2.8055271578913174e-07,0.0
1684,2.426018994583501e-07,0.0
1685,3.032193965119794e-07,0.0
1686,3.3540604046525656e-07,0.0
1687,3.766061301543492e-07,0.0
1688,3.80285896994792e-07,0.0
1689,3.741942476511083e-07,0.0
1690,3.741942476511083e-07,0.0
1691,4.67302937425172e-07,0.0
1692,4.303534849116529e-07,0.0
1693,3.750950717013828e-07,0.0
1694,3.582805326069709e-07,0.0
1695,3.116177863051105e-07,0.0
1696,2.1690427485866947e-07,0.0
1697,3.050691727172047e-07,0.0
1698,2.657090679544386e-07,0.0
1699,2.9431918489665675e-07,0.0
1700,4.3729556864491315e-07,0.0
1701,5.482446486634476e-07,0.0
1702,5.976055165644669e-07,0.0
1703,6.528115648052335e-07,0.0
1704,6.079555013067355e-07,0.0
1705,6.531946041832271e-07,0.0
1706,7.891979570168977e-07,0.0
1707,6.826789323050824e-07,0.0
1708,6.534488444945705e-07,0.0
1709,5.936426167149225e-07,0.0
1710,6.072966617206735e-07,0.0
1711,6.512187878472884e-07,0.0
1712,6.099168794142835e-07,0.0
1713,4.540894106444934e-07,0.0
1714,5.03776547589041e-07,0.0
1715,4.542837704743111e-07,0.0
1716,7.015673812052878e-07,0.0
1717,6.785557198034959e-07,0.0
1718,6.997093484934729e-07,0.0
1719,7.049901833105261e-07,0.0
1720,8.900032071323949e-07,1.812225645738051e-08
1721,8.739391757574464e-07,1.812225645738051e-08
1722,1.4741722793587542e-06,1.812225645738051e-08
1723,1.2463902042522283e-06,1.812225645738051e-08
1724,1.3590566132799203e-06,1.812225645738051e-08
1725,1.3462604126094187e-06,1.812225645738051e-08
1726,1.3307221909794213e-06,1.812225645738051e-08
1727,1.126940553319855e-06,0.0
1728,1.0957374466816612e-06,0.0
1729,5.472161817010601e-07,6.371976724039996e-09
1730,5.489222597735274e-07,6.371976724039996e-09
1731,4.2524111470194317e-07,6.371976724039996e-09
1732,3.7972091705894074e-07,6.371976724039996e-09
