ngram,Williams,Wiliams,Willams,Wiliams
1500,1.3135950212017633e-05,0.0,0.0,0.0
1501,1.0508760169614106e-05,0.0,0.0,0.0
1502,2.4044144083745778e-05,0.0,0.0,0.0
1503,2.060926635749638e-05,0.0,0.0,0.0
1504,1.915159347325763e-05,0.0,0.0,0.0
1505,1.7136801488959463e-05,0.0,0.0,0.0
1506,3.234164868055294e-05,0.0,0.0,0.0
1507,3.234164868055294e-05,0.0,0.0,0.0
1508,3.234164868055294e-05,0.0,0.0,0.0
1509,1.9238639587066636e-05,0.0,0.0,0.0
1510,1.9238639587066636e-05,0.0,0.0,0.0
1511,1.615183873582282e-05,0.0,0.0,0.0
1512,1.5204847191593476e-05,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,0.0
1515,5.713222890335601e-07,0.0,0.0,0.0
1516,5.713222890335601e-07,0.0,0.0,0.0
1517,5.713222890335601e-07,0.0,0.0,0.0
1518,5.713222890335601e-07,0.0,0.0,0.0
1519,5.713222890335601e-07,0.0,0.0,0.0
1520,5.713222890335601e-07,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,5.72084536543116e-06,0.0,0.0,0.0
1527,5.72084536543116e-06,0.0,0.0,0.0
1528,2.3489796149078757e-05,0.0,0.0,0.0
1529,2.3489796149078757e-05,0.0,0.0,0.0
1530,2.4218744653938173e-05,0.0,0.0,0.0
1531,2.4218744653938173e-05,0.0,0.0,0.0
1532,2.466966124562272e-05,0.0,0.0,0.0
1533,1.894881588019156e-05,0.0,0.0,0.0
1534,1.894881588019156e-05,0.0,0.0,0.0
1535,7.204018109925008e-06,0.0,0.0,0.0
1536,1.883289220521484e-05,0.0,0.0,0.0
1537,1.810394370035543e-05,0.0,0.0,0.0
1538,1.810394370035543e-05,0.0,0.0,0.0
1539,1.7653027108670877e-05,0.0,0.0,0.0
1540,1.7653027108670877e-05,0.0,0.0,0.0
1541,1.7653027108670877e-05,0.0,0.0,0.0
1542,2.065675237515409e-05,0.0,0.0,0.0
1543,9.027878279864257e-06,0.0,0.0,0.0
1544,1.4452970520194088e-05,0.0,0.0,0.0
1545,1.766801168352166e-05,0.0,0.0,0.0
1546,2.7737434980476143e-05,0.0,0.0,0.0
1547,2.7737434980476143e-05,0.0,0.0,0.0
1548,2.8629160754332717e-05,0.0,0.0,0.0
1549,2.0813940214533693e-05,0.0,0.0,0.0
1550,2.351566880471572e-05,0.0,0.0,0.0
1551,1.809057656438589e-05,0.0,0.0,0.0
1552,1.4875535401058317e-05,0.0,0.0,0.0
1553,4.806112104103834e-06,0.0,0.0,0.0
1554,4.806112104103834e-06,0.0,0.0,0.0
1555,1.353014639399979e-05,0.0,0.0,0.0
1556,1.231748865393456e-05,0.0,0.0,0.0
1557,9.615760063752532e-06,0.0,0.0,0.0
1558,1.0979857376826527e-05,0.0,0.0,0.0
1559,1.0979857376826527e-05,0.0,0.0,0.0
1560,1.3671998853429354e-05,0.0,0.0,0.0
1561,1.3671998853429354e-05,0.0,0.0,0.0
1562,4.056238789676822e-06,0.0,0.0,0.0
1563,4.056238789676822e-06,0.0,0.0,0.0
1564,4.056238789676822e-06,0.0,0.0,0.0
1565,3.703942119110642e-06,0.0,0.0,0.0
1566,3.703942119110642e-06,0.0,0.0,0.0
1567,3.0589926609536633e-06,0.0,0.0,0.0
1568,3.0589926609536633e-06,0.0,0.0,0.0
1569,3.0589926609536633e-06,0.0,0.0,0.0
1570,3.0589926609536633e-06,0.0,0.0,0.0
1571,3.0589926609536633e-06,0.0,0.0,0.0
1572,1.0366564570826345e-05,0.0,0.0,0.0
1573,1.0366564570826345e-05,0.0,0.0,0.0
1574,8.319372552380497e-06,0.0,0.0,0.0
1575,8.319372552380497e-06,0.0,0.0,0.0
1576,9.22073344814375e-06,0.0,0.0,0.0
1577,9.22073344814375e-06,0.0,0.0,0.0
1578,9.461646560079576e-06,0.0,0.0,0.0
1579,1.1422740076990782e-06,0.0,0.0,0.0
1580,1.1422740076990782e-06,0.0,0.0,0.0
1581,5.295425694384903e-06,0.0,0.0,0.0
1582,5.295425694384903e-06,0.0,0.0,0.0
1583,8.479357006763166e-06,0.0,0.0,0.0
1584,8.479357006763166e-06,0.0,0.0,0.0
1585,8.238443894827339e-06,0.0,0.0,0.0
1586,1.039512543294612e-05,0.0,0.0,0.0
1587,1.0741204992622702e-05,0.0,0.0,0.0
1588,7.257559121041725e-06,0.0,0.0,0.0
1589,1.2112447555929456e-05,0.0,0.0,0.0
1590,9.587009182203993e-06,0.0,0.0,0.0
1591,1.0120076110199858e-05,0.0,0.0,0.0
1592,1.0120076110199858e-05,0.0,0.0,0.0
1593,8.186671298712359e-06,0.0,0.0,0.0
1594,1.1360854906732648e-05,0.0,0.0,0.0
1595,1.0691349091627802e-05,0.0,0.0,0.0
1596,8.361479363624572e-06,0.0,0.0,0.0
1597,7.770122270553007e-06,0.0,0.0,0.0
1598,9.75838851705443e-06,0.0,0.0,0.0
1599,1.0230033110149503e-05,0.0,0.0,0.0
1600,1.0965311178422002e-05,0.0,0.0,0.0
1601,8.226343457603694e-06,0.0,0.0,0.0
1602,8.643946330266772e-06,0.0,0.0,0.0
1603,6.118927623382271e-06,0.0,0.0,0.0
1604,5.661241825042193e-06,0.0,0.0,0.0
1605,4.039403782891375e-06,0.0,0.0,0.0
1606,4.368560244724254e-06,0.0,0.0,0.0
1607,3.410005449820476e-06,0.0,0.0,0.0
1608,2.8283875995579625e-06,0.0,0.0,0.0
1609,3.354154598257862e-06,0.0,0.0,0.0
1610,3.863947654281219e-06,0.0,0.0,0.0
1611,3.762785825399208e-06,0.0,0.0,0.0
1612,3.1322914212848574e-06,0.0,0.0,0.0
1613,2.3314903663569046e-06,0.0,0.0,0.0
1614,9.582904616373916e-06,0.0,0.0,0.0
1615,1.0145113524881058e-05,0.0,0.0,0.0
1616,9.201743653518082e-06,0.0,0.0,0.0
1617,8.939033266740029e-06,0.0,0.0,0.0
1618,9.809586945915985e-06,0.0,0.0,0.0
1619,9.99072421693979e-06,0.0,0.0,0.0
1620,1.1602546838470776e-05,0.0,0.0,0.0
1621,4.3511325884537655e-06,0.0,0.0,0.0
1622,3.800291308055291e-06,0.0,0.0,0.0
1623,5.147362230673025e-06,0.0,0.0,0.0
1624,6.990930225064014e-06,0.0,0.0,0.0
1625,5.710727431765658e-06,0.0,0.0,0.0
1626,5.719833065346133e-06,0.0,0.0,0.0
1627,4.747095804954629e-06,0.0,0.0,0.0
1628,6.646932921025187e-06,0.0,0.0,0.0
1629,6.518417040167281e-06,0.0,0.0,0.0
1630,7.84506512932889e-06,0.0,0.0,0.0
