ngram,UBS,U.S.,UBS,U.S.
1500,0.0,2.9851472845621174e-05,0.0,2.9851472845621174e-05
1501,0.0,2.388117827649694e-05,0.0,2.388117827649694e-05
1502,0.0,2.0076692749171343e-05,0.0,2.0076692749171343e-05
1503,0.0,1.7208593785004007e-05,0.0,1.7208593785004007e-05
1504,0.0,6.6619723903776114e-06,0.0,6.6619723903776114e-06
1505,0.0,3.237410153035723e-06,0.0,3.237410153035723e-06
1506,0.0,3.237410153035723e-06,0.0,3.237410153035723e-06
1507,0.0,3.237410153035723e-06,0.0,3.237410153035723e-06
1508,0.0,3.237410153035723e-06,0.0,3.237410153035723e-06
1509,0.0,3.0868008512438142e-06,0.0,3.0868008512438142e-06
1510,0.0,3.0868008512438142e-06,0.0,3.0868008512438142e-06
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,1.0625535651342943e-06,0.0,1.0625535651342943e-06
1518,0.0,1.0625535651342943e-06,0.0,1.0625535651342943e-06
1519,0.0,1.0625535651342943e-06,0.0,1.0625535651342943e-06
1520,0.0,9.106161087402143e-06,0.0,9.106161087402143e-06
1521,0.0,9.106161087402143e-06,0.0,9.106161087402143e-06
1522,0.0,9.106161087402143e-06,0.0,9.106161087402143e-06
1523,0.0,9.106161087402143e-06,0.0,9.106161087402143e-06
1524,0.0,5.553120510220262e-05,0.0,5.553120510220262e-05
1525,0.0,5.553120510220262e-05,0.0,5.553120510220262e-05
1526,0.0,5.743815355734634e-05,0.0,5.743815355734634e-05
1527,0.0,4.939454603507849e-05,0.0,4.939454603507849e-05
1528,0.0,5.357547576880149e-05,0.0,5.357547576880149e-05
1529,0.0,5.357547576880149e-05,0.0,5.357547576880149e-05
1530,0.0,5.43044242736609e-05,0.0,5.43044242736609e-05
1531,0.0,6.816826693726138e-06,0.0,6.816826693726138e-06
1532,0.0,9.294189625766844e-05,0.0,9.294189625766844e-05
1533,0.0,9.103494780252472e-05,0.0,9.103494780252472e-05
1534,0.0,9.103494780252472e-05,0.0,9.103494780252472e-05
1535,0.0,8.685401806880171e-05,0.0,8.685401806880171e-05
1536,0.0,9.132666199158328e-05,0.0,9.132666199158328e-05
