ngram,Orange,Oange,Ornge,Ornge
1500,3.445719102046496e-06,0.0,0.0,0.0
1501,2.756575281637197e-06,0.0,0.0,0.0
1502,2.2971460680309974e-06,0.0,0.0,0.0
1503,1.9689823440265693e-06,0.0,0.0,0.0
1504,2.313893381662118e-07,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.7139669320645875e-06,0.0,0.0,0.0
1515,1.7139669320645875e-06,0.0,0.0,0.0
1516,1.7139669320645875e-06,0.0,0.0,0.0
1517,2.2452437146317346e-06,0.0,0.0,0.0
1518,2.2452437146317346e-06,0.0,0.0,0.0
1519,2.2452437146317346e-06,0.0,0.0,0.0
1520,4.330623466687809e-06,0.0,0.0,0.0
1521,2.616656534623222e-06,0.0,0.0,0.0
1522,2.616656534623222e-06,0.0,0.0,0.0
1523,2.616656534623222e-06,0.0,0.0,0.0
1524,2.0853797520560746e-06,0.0,0.0,0.0
1525,2.0853797520560746e-06,0.0,0.0,0.0
1526,2.0853797520560746e-06,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,1.1295287549728528e-06,0.0,0.0,0.0
1536,1.5767931407546193e-06,0.0,0.0,0.0
1537,1.5767931407546193e-06,0.0,0.0,0.0
1538,1.5767931407546193e-06,0.0,0.0,0.0
1539,1.5767931407546193e-06,0.0,0.0,0.0
1540,1.5767931407546193e-06,0.0,0.0,0.0
1541,1.5767931407546193e-06,0.0,0.0,0.0
1542,3.4565570591179754e-06,0.0,0.0,0.0
1543,3.009292673336209e-06,0.0,0.0,0.0
1544,4.261236946539222e-06,0.0,0.0,0.0
1545,4.261236946539222e-06,0.0,0.0,0.0
1546,4.5409431420141895e-06,0.0,0.0,0.0
1547,4.5409431420141895e-06,0.0,0.0,0.0
1548,4.838185077460366e-06,0.0,0.0,0.0
1549,1.8288924041241574e-06,0.0,0.0,0.0
1550,1.8288924041241574e-06,0.0,0.0,0.0
1551,5.769481309211447e-07,0.0,0.0,0.0
1552,2.0191701293827336e-06,0.0,0.0,0.0
1553,1.7394639339077652e-06,0.0,0.0,0.0
1554,1.7394639339077652e-06,0.0,0.0,0.0
1555,2.043207002446122e-06,0.0,0.0,0.0
1556,2.043207002446122e-06,0.0,0.0,0.0
1557,2.043207002446122e-06,0.0,0.0,0.0
1558,2.043207002446122e-06,0.0,0.0,0.0
1559,6.009850039845333e-07,0.0,0.0,0.0
1560,2.395745988386417e-06,0.0,0.0,0.0
1561,2.395745988386417e-06,0.0,0.0,0.0
1562,1.7947609844018838e-06,0.0,0.0,0.0
1563,2.249382695091689e-06,0.0,0.0,0.0
1564,2.249382695091689e-06,0.0,0.0,0.0
1565,2.249382695091689e-06,0.0,0.0,0.0
1566,2.249382695091689e-06,0.0,0.0,0.0
1567,4.5462171068980493e-07,0.0,0.0,0.0
1568,4.5462171068980493e-07,0.0,0.0,0.0
1569,2.6827376911699375e-06,0.0,0.0,0.0
1570,2.2281159804801324e-06,0.0,0.0,0.0
1571,2.2281159804801324e-06,0.0,0.0,0.0
1572,2.2281159804801324e-06,0.0,0.0,0.0
1573,2.2281159804801324e-06,0.0,0.0,0.0
1574,2.2281159804801324e-06,0.0,0.0,0.0
1575,2.2281159804801324e-06,0.0,0.0,0.0
1576,1.8027217915265022e-06,0.0,0.0,0.0
1577,1.8027217915265022e-06,0.0,0.0,0.0
1578,3.970939750226015e-06,0.0,0.0,0.0
1579,5.26444936050601e-06,0.0,0.0,0.0
1580,5.26444936050601e-06,0.0,0.0,0.0
1581,5.26444936050601e-06,0.0,0.0,0.0
1582,5.26444936050601e-06,0.0,0.0,0.0
1583,3.942350174059227e-06,0.0,0.0,0.0
1584,4.841461759497179e-06,0.0,0.0,0.0
1585,2.673243800797666e-06,0.0,0.0,0.0
1586,2.0986280365572644e-06,0.0,0.0,0.0
1587,2.0986280365572644e-06,0.0,0.0,0.0
1588,2.0986280365572644e-06,0.0,0.0,0.0
1589,2.0986280365572644e-06,0.0,0.0,0.0
1590,1.8779810813742058e-06,0.0,0.0,0.0
1591,1.2454029599341863e-06,0.0,0.0,0.0
1592,1.8423747535832393e-06,0.0,0.0,0.0
1593,2.016587814068771e-06,0.0,0.0,0.0
1594,2.016587814068771e-06,0.0,0.0,0.0
1595,2.467384904645899e-06,0.0,0.0,0.0
1596,2.467384904645899e-06,0.0,0.0,0.0
1597,3.054843935907619e-06,0.0,0.0,0.0
1598,2.8767783045883074e-06,0.0,0.0,0.0
1599,2.6335399557605603e-06,0.0,0.0,0.0
1600,7.172243596999449e-06,0.0,0.0,0.0
1601,7.562891320438732e-06,0.0,0.0,0.0
1602,7.842899273262966e-06,0.0,0.0,0.0
1603,7.842899273262966e-06,0.0,0.0,0.0
1604,1.2103574022148678e-05,0.0,0.0,0.0
1605,2.5619970301704598e-05,0.0,0.0,0.0
1606,2.7108079263728412e-05,0.0,0.0,0.0
1607,2.1676268715964397e-05,0.0,0.0,0.0
1608,2.2683364152596497e-05,0.0,0.0,0.0
1609,2.2895928980558112e-05,0.0,0.0,0.0
1610,2.5954687251734348e-05,0.0,0.0,0.0
1611,2.1051402378751455e-05,0.0,0.0,0.0
1612,7.446538266516914e-06,0.0,0.0,0.0
1613,5.7645063407107955e-06,0.0,0.0,0.0
1614,5.7645063407107955e-06,0.0,0.0,0.0
1615,5.128649685762607e-06,0.0,0.0,0.0
1616,4.545704346777971e-06,0.0,0.0,0.0
1617,2.10465272435353e-06,0.0,0.0,0.0
1618,1.1550587666014117e-05,0.0,0.0,0.0
1619,1.2450863664525968e-05,0.0,0.0,0.0
1620,1.3298442321943835e-05,0.0,0.0,0.0
1621,1.4904204330637835e-05,0.0,0.0,0.0
1622,1.49161503486539e-05,0.0,0.0,0.0
1623,1.5363968421817325e-05,0.0,0.0,0.0
1624,1.7882237703556063e-05,0.0,0.0,0.0
1625,8.231478204834275e-06,0.0,0.0,0.0
1626,9.857042056994811e-06,0.0,0.0,0.0
1627,9.009424258822816e-06,0.0,0.0,0.0
1628,7.4691738762209885e-06,0.0,0.0,0.0
1629,1.329768873249902e-05,0.0,0.0,0.0
1630,1.3093189108661005e-05,0.0,0.0,0.0
1631,1.0977452892088227e-05,0.0,0.0,0.0
1632,1.1252331294794463e-05,0.0,0.0,0.0
1633,9.137769820556838e-06,0.0,0.0,0.0
1634,9.101416643326437e-06,0.0,0.0,0.0
1635,9.200544444151351e-06,0.0,0.0,0.0
1636,3.1192635349595676e-06,0.0,0.0,0.0
1637,2.661840807961978e-06,0.0,0.0,0.0
1638,1.708936131145882e-06,0.0,0.0,0.0
1639,2.524240963046915e-06,0.0,0.0,0.0
1640,3.860699576664826e-06,0.0,0.0,0.0
1641,4.155336012802634e-06,0.0,0.0,0.0
1642,4.638395576453799e-06,1.0794983446820489e-07,0.0,0.0
1643,4.478618892887555e-06,1.0794983446820489e-07,0.0,0.0
1644,4.790605978704272e-06,1.0794983446820489e-07,0.0,0.0
1645,8.357916320684516e-06,1.0794983446820489e-07,0.0,0.0
1646,7.3684714964526525e-06,1.0794983446820489e-07,0.0,0.0
1647,1.5192925096536264e-05,1.0794983446820489e-07,0.0,0.0
1648,1.5004116676209378e-05,1.0794983446820489e-07,0.0,0.0
1649,1.4512873235617008e-05,0.0,0.0,0.0
1650,1.6567190982641478e-05,0.0,0.0,0.0
1651,1.950589000898617e-05,0.0,0.0,0.0
1652,1.6706315575122843e-05,0.0,0.0,0.0
1653,1.6982456047896578e-05,0.0,0.0,0.0
1654,9.69184075724375e-06,0.0,0.0,0.0
1655,9.927418935668747e-06,0.0,0.0,0.0
1656,1.0088114712354062e-05,0.0,0.0,0.0
1657,8.86809773094553e-06,5.5608865068279556e-08,0.0,0.0
1658,6.3289415135971335e-06,5.5608865068279556e-08,0.0,0.0
1659,5.976378361083334e-06,5.5608865068279556e-08,0.0,0.0
1660,6.080548278727552e-06,5.5608865068279556e-08,0.0,0.0
1661,1.0383142937696124e-05,5.5608865068279556e-08,0.0,0.0
1662,1.166411249999198e-05,5.5608865068279556e-08,0.0,0.0
1663,1.6405474558009052e-05,5.5608865068279556e-08,0.0,0.0
1664,2.165557274176016e-05,0.0,0.0,0.0
1665,2.1855921366815373e-05,0.0,0.0,0.0
1666,2.2811555839195664e-05,0.0,0.0,0.0
1667,2.5705547808943914e-05,0.0,0.0,0.0
1668,2.148405149325429e-05,0.0,0.0,0.0
1669,2.4710637132687096e-05,0.0,0.0,0.0
1670,2.5256252878794578e-05,0.0,0.0,0.0
1671,1.9162555872753728e-05,0.0,0.0,0.0
1672,1.9924801563320216e-05,0.0,0.0,0.0
1673,2.007020300100391e-05,0.0,0.0,0.0
1674,1.7378303255100036e-05,0.0,0.0,0.0
1675,1.5976547599296153e-05,0.0,0.0,0.0
1676,1.2120777293083457e-05,0.0,0.0,0.0
1677,8.229544229314862e-06,0.0,0.0,0.0
1678,9.41128252764299e-06,0.0,0.0,0.0
1679,8.513708832781828e-06,0.0,0.0,0.0
1680,9.591148617411299e-06,0.0,0.0,0.0
1681,1.1257471474631789e-05,0.0,0.0,0.0
1682,1.1727986800126797e-05,0.0,0.0,0.0
1683,1.3524251569054155e-05,0.0,0.0,0.0
1684,1.2658781283140083e-05,0.0,0.0,0.0
1685,1.53076583566352e-05,0.0,0.0,0.0
1686,3.0326840000530604e-05,0.0,0.0,0.0
1687,3.611187490345661e-05,0.0,0.0,0.0
1688,3.623176475489994e-05,0.0,0.0,0.0
1689,4.035685710083011e-05,0.0,0.0,0.0
1690,4.031028317643047e-05,0.0,0.0,0.0
1691,4.3646552512655035e-05,0.0,0.0,0.0
1692,4.147572924141839e-05,0.0,0.0,0.0
1693,2.8606093889850725e-05,0.0,0.0,0.0
1694,2.3842293688046213e-05,0.0,0.0,0.0
1695,2.3419838076474013e-05,0.0,0.0,0.0
1696,2.006774489668065e-05,0.0,0.0,0.0
1697,1.894270150972131e-05,0.0,0.0,0.0
1698,1.6387295935211504e-05,1.0371270572509924e-08,0.0,0.0
1699,2.419073734927224e-05,1.0371270572509924e-08,0.0,0.0
1700,2.685037322537807e-05,1.0371270572509924e-08,0.0,0.0
1701,2.7189526917936746e-05,1.0371270572509924e-08,0.0,0.0
1702,3.049999538364188e-05,1.0371270572509924e-08,0.0,0.0
1703,3.276725263796314e-05,1.0371270572509924e-08,0.0,0.0
1704,3.470724667360108e-05,1.0371270572509924e-08,0.0,0.0
1705,3.446178561716806e-05,0.0,0.0,0.0
1706,2.8689075147017968e-05,0.0,0.0,0.0
1707,2.690656947379466e-05,0.0,0.0,0.0
1708,2.6328772167159643e-05,0.0,0.0,0.0
1709,2.7152264010510407e-05,0.0,0.0,0.0
1710,2.436764654183727e-05,0.0,0.0,0.0
1711,2.3506863336868783e-05,0.0,0.0,0.0
1712,2.8142369696329945e-05,0.0,0.0,0.0
1713,2.743180357356323e-05,0.0,0.0,0.0
1714,2.7770337770302183e-05,0.0,0.0,0.0
1715,2.6455365644194118e-05,0.0,0.0,0.0
1716,2.3843055454822854e-05,0.0,0.0,0.0
1717,2.352379475009262e-05,0.0,0.0,0.0
1718,2.2421997138215894e-05,0.0,0.0,0.0
1719,1.8030125439898776e-05,0.0,0.0,0.0
1720,1.625669080697532e-05,0.0,0.0,0.0
1721,1.874013417234112e-05,0.0,0.0,0.0
1722,1.8867987039681922e-05,0.0,0.0,0.0
1723,1.838085180289844e-05,0.0,0.0,0.0
1724,1.998372564620305e-05,0.0,0.0,0.0
1725,2.1426825436979664e-05,0.0,0.0,0.0
1726,2.1742161672071753e-05,0.0,0.0,0.0
1727,2.2099608031567186e-05,0.0,0.0,0.0
1728,2.278605669354355e-05,0.0,0.0,0.0
1729,2.3403362969734838e-05,0.0,0.0,0.0
1730,2.6132048982877416e-05,0.0,0.0,0.0
1731,3.0943211770915824e-05,0.0,0.0,0.0
1732,3.141764448498309e-05,0.0,0.0,0.0
1733,3.2060960360727874e-05,0.0,0.0,0.0
1734,3.245745574531611e-05,0.0,0.0,0.0
1735,2.99143458895352e-05,0.0,0.0,0.0
1736,3.0502324339717495e-05,0.0,0.0,0.0
1737,2.8512964230945465e-05,0.0,0.0,0.0
1738,2.2763088054489344e-05,0.0,0.0,0.0
1739,2.551117670788829e-05,0.0,0.0,0.0
1740,2.5606507084116208e-05,0.0,0.0,0.0
1741,2.7452996749031756e-05,0.0,0.0,0.0
1742,2.4846741975384896e-05,0.0,0.0,0.0
1743,2.5093088489874e-05,9.631393587434495e-09,0.0,0.0
1744,2.295530027497859e-05,9.631393587434495e-09,0.0,0.0
1745,2.3365908288854242e-05,9.631393587434495e-09,0.0,0.0
1746,1.97344386054153e-05,9.631393587434495e-09,0.0,0.0
1747,2.0414587587375926e-05,9.631393587434495e-09,0.0,0.0
1748,1.8850770954616435e-05,9.631393587434495e-09,3.639731817526938e-09,3.639731817526938e-09
1749,1.901484691708382e-05,9.631393587434495e-09,3.639731817526938e-09,3.639731817526938e-09
1750,1.6939632457381648e-05,0.0,3.639731817526938e-09,3.639731817526938e-09
1751,2.503255239259618e-05,0.0,3.639731817526938e-09,3.639731817526938e-09
1752,2.3747853577203515e-05,0.0,3.639731817526938e-09,3.639731817526938e-09
1753,2.2931332880814027e-05,5.029352426585579e-09,3.639731817526938e-09,3.639731817526938e-09
1754,2.3788279577274807e-05,5.029352426585579e-09,3.639731817526938e-09,3.639731817526938e-09
1755,2.385193303260686e-05,5.029352426585579e-09,0.0,0.0
1756,2.4602917879487256e-05,5.029352426585579e-09,0.0,0.0
1757,2.522343688074865e-05,5.029352426585579e-09,0.0,0.0
1758,2.383493782482609e-05,5.029352426585579e-09,0.0,0.0
1759,2.6541997743022095e-05,5.029352426585579e-09,0.0,0.0
1760,2.7519893982181592e-05,0.0,0.0,0.0
1761,2.4981570926943925e-05,0.0,0.0,0.0
1762,2.466736545362177e-05,0.0,0.0,0.0
1763,2.2840323643842047e-05,0.0,0.0,0.0
1764,2.1328951983637774e-05,0.0,0.0,0.0
1765,1.4073385240668099e-05,0.0,0.0,0.0
1766,1.2888473195614227e-05,0.0,0.0,0.0
1767,1.288344446948031e-05,0.0,0.0,0.0
1768,1.2985215367474926e-05,0.0,0.0,0.0
1769,1.1551470249417304e-05,0.0,0.0,0.0
1770,1.484247267009258e-05,0.0,0.0,0.0
1771,1.576428413890036e-05,0.0,0.0,0.0
1772,2.3115390441879364e-05,0.0,0.0,0.0
1773,2.4735592627881226e-05,0.0,0.0,0.0
1774,2.5792359727867214e-05,0.0,0.0,0.0
1775,2.7680005847027394e-05,0.0,0.0,0.0
1776,3.281504593490224e-05,0.0,0.0,0.0
1777,2.901450294042921e-05,0.0,0.0,0.0
1778,2.9422624135934582e-05,5.562287392584559e-09,0.0,0.0
1779,2.6219347416502258e-05,8.123973113275237e-09,0.0,0.0
1780,2.387829921904735e-05,8.123973113275237e-09,0.0,0.0
1781,2.195875699076818e-05,8.123973113275237e-09,0.0,0.0
1782,1.986771732325516e-05,8.123973113275237e-09,0.0,0.0
1783,1.5148351004817024e-05,8.123973113275237e-09,0.0,0.0
1784,1.6604840571484863e-05,8.123973113275237e-09,0.0,0.0
1785,1.6233535071868183e-05,2.5616857206906776e-09,0.0,0.0
1786,1.4257243102682488e-05,0.0,0.0,0.0
1787,1.4520540259711976e-05,0.0,0.0,0.0
1788,1.3740196144291466e-05,0.0,0.0,0.0
1789,1.4891901368433277e-05,0.0,0.0,0.0
1790,1.545247700310678e-05,1.1048484032422883e-09,0.0,0.0
1791,1.4902916388694263e-05,1.1048484032422883e-09,0.0,0.0
1792,1.496960729647461e-05,1.1048484032422883e-09,0.0,0.0
1793,1.3235026017355267e-05,1.1048484032422883e-09,0.0,0.0
1794,1.2058434679472288e-05,1.1048484032422883e-09,0.0,0.0
1795,1.2425316266931727e-05,1.1048484032422883e-09,0.0,0.0
1796,1.0947588764663254e-05,2.0530100159581774e-09,9.481616127158888e-10,9.481616127158888e-10
1797,1.0803797912168583e-05,9.481616127158888e-10,9.481616127158888e-10,9.481616127158888e-10
1798,1.0430962512535708e-05,9.481616127158888e-10,9.481616127158888e-10,9.481616127158888e-10
1799,1.1261352613343791e-05,9.481616127158888e-10,9.481616127158888e-10,9.481616127158888e-10
1800,1.1093895409430843e-05,9.481616127158888e-10,9.481616127158888e-10,9.481616127158888e-10
1801,1.1446600053334674e-05,9.481616127158888e-10,9.481616127158888e-10,9.481616127158888e-10
1802,1.1159028482714867e-05,9.481616127158888e-10,1.382288410718096e-09,1.382288410718096e-09
1803,1.1215280989875151e-05,0.0,4.341267980022069e-10,4.341267980022069e-10
1804,1.0851551451196428e-05,0.0,4.341267980022069e-10,4.341267980022069e-10
1805,1.0958832327950014e-05,0.0,4.341267980022069e-10,4.341267980022069e-10
1806,1.0001863691806128e-05,0.0,4.341267980022069e-10,4.341267980022069e-10
1807,1.00697112169915e-05,0.0,4.341267980022069e-10,4.341267980022069e-10
1808,1.0042343611920452e-05,0.0,6.69489987257878e-10,6.69489987257878e-10
1809,1.0105303382650682e-05,0.0,4.162880040681216e-10,4.162880040681216e-10
1810,1.0598732192842622e-05,0.0,4.162880040681216e-10,4.162880040681216e-10
1811,1.2106312819274276e-05,0.0,4.162880040681216e-10,4.162880040681216e-10
1812,1.2407311260176357e-05,0.0,4.162880040681216e-10,4.162880040681216e-10
1813,1.3361220875854737e-05,0.0,6.10267408036285e-10,6.10267408036285e-10
1814,1.3302745823498949e-05,0.0,6.10267408036285e-10,6.10267408036285e-10
1815,1.3627102167187591e-05,0.0,3.7490421878061397e-10,3.7490421878061397e-10
1816,1.3496553947334178e-05,0.0,1.9397940396816337e-10,1.9397940396816337e-10
1817,1.3583720829046797e-05,0.0,1.9397940396816337e-10,1.9397940396816337e-10
1818,1.1880358085493623e-05,0.0,1.9397940396816337e-10,1.9397940396816337e-10
1819,1.1294308673573791e-05,0.0,1.9397940396816337e-10,1.9397940396816337e-10
1820,1.0350190937710327e-05,0.0,0.0,0.0
1821,1.0412360617400346e-05,1.2855425454308796e-10,0.0,0.0
1822,1.0319559675865872e-05,1.2855425454308796e-10,0.0,0.0
1823,1.0259039429781427e-05,1.2855425454308796e-10,0.0,0.0
1824,9.909779172241023e-06,1.2855425454308796e-10,0.0,0.0
1825,1.0205518005282751e-05,2.5517105888590256e-10,0.0,0.0
1826,1.0577119870244392e-05,2.5517105888590256e-10,0.0,0.0
1827,1.0234538162226922e-05,2.5517105888590256e-10,1.0457060614247179e-10,1.0457060614247179e-10
1828,1.0192332151096447e-05,2.369461135235237e-10,1.0457060614247179e-10,1.0457060614247179e-10
1829,9.899252550634888e-06,2.369461135235237e-10,1.0457060614247179e-10,1.0457060614247179e-10
1830,1.0123578769188108e-05,4.2755519759550356e-10,1.0457060614247179e-10,1.0457060614247179e-10
1831,1.009116892549043e-05,4.2755519759550356e-10,1.0457060614247179e-10,1.0457060614247179e-10
1832,1.2040960817622753e-05,3.860878521650639e-10,1.0457060614247179e-10,1.0457060614247179e-10
1833,1.2844870720333087e-05,3.860878521650639e-10,1.0457060614247179e-10,1.0457060614247179e-10
1834,1.2959390395345899e-05,3.860878521650639e-10,0.0,0.0
1835,1.30758107843576e-05,2.7575854298435484e-10,0.0,0.0
1836,1.3107827596416297e-05,2.7575854298435484e-10,0.0,0.0
1837,1.2906552651007327e-05,3.174736822637263e-10,0.0,0.0
1838,1.270947476379141e-05,3.174736822637263e-10,0.0,0.0
1839,1.0730849550912222e-05,2.3232422335135132e-10,7.578143668141024e-11,7.578143668141024e-11
1840,9.7908420814617e-06,2.3232422335135132e-10,7.578143668141024e-11,7.578143668141024e-11
1841,9.874201428569254e-06,2.3232422335135132e-10,1.4575904768879663e-10,1.4575904768879663e-10
1842,9.668607942460636e-06,4.755859832934156e-10,1.4575904768879663e-10,1.4575904768879663e-10
1843,9.667036075760344e-06,6.067350431594929e-10,1.4575904768879663e-10,1.4575904768879663e-10
1844,9.983843613424273e-06,4.4119367683036007e-10,2.1254190471101505e-10,2.1254190471101505e-10
1845,1.017926271223197e-05,5.07932442138172e-10,2.1254190471101505e-10,2.1254190471101505e-10
1846,1.0684541458821123e-05,5.07932442138172e-10,1.367604680296048e-10,1.367604680296048e-10
1847,1.085845867367295e-05,5.685379072290736e-10,1.367604680296048e-10,1.367604680296048e-10
1848,1.0807029216916167e-05,6.779132572758734e-10,6.678285702221842e-11,6.678285702221842e-11
1849,1.09427545404677e-05,4.346514973338092e-10,6.678285702221842e-11,6.678285702221842e-11
1850,1.1128480634527347e-05,4.933820732918751e-10,6.678285702221842e-11,6.678285702221842e-11
1851,1.0888968582938624e-05,4.730278113651565e-10,0.0,0.0
1852,1.1201058831440086e-05,7.602200258194358e-10,5.0561570803202876e-11,5.0561570803202876e-11
1853,1.1547404418316936e-05,1.0015167227285714e-09,9.882091177106287e-11,9.882091177106287e-11
1854,1.1516136380253425e-05,1.041914978897448e-09,9.882091177106287e-11,9.882091177106287e-11
1855,1.1997194633295294e-05,9.850413778306993e-10,1.513226607511139e-10,1.513226607511139e-10
1856,1.2095802308717144e-05,1.1341377955823413e-09,3.501178791331938e-10,3.501178791331938e-10
1857,1.2147817609989683e-05,1.2811977471002427e-09,3.501178791331938e-10,3.501178791331938e-10
1858,1.262364834734139e-05,1.4651832049215686e-09,3.501178791331938e-10,3.501178791331938e-10
1859,1.1986302134963417e-05,1.2940403907154722e-09,2.9955630832999095e-10,2.9955630832999095e-10
1860,1.1184170944034122e-05,1.2357293204574254e-09,2.5129696736213095e-10,2.5129696736213095e-10
1861,1.1113956913634735e-05,1.4736456658123335e-09,2.5129696736213095e-10,2.5129696736213095e-10
1862,1.0744720514464592e-05,1.755453544432279e-09,1.9879521838207991e-10,1.9879521838207991e-10
1863,1.0637958309546644e-05,1.6540950077890771e-09,4.7737881108440257e-11,4.7737881108440257e-11
1864,1.0454509720148053e-05,1.5997261491675273e-09,1.4192812401527177e-10,1.4192812401527177e-10
1865,1.0229576608773122e-05,1.5904448591452791e-09,1.4192812401527177e-10,1.4192812401527177e-10
1866,1.0787693359556475e-05,1.5846151732049459e-09,1.8616774391918715e-10,1.8616774391918715e-10
1867,1.0892815745527124e-05,1.6176918257329982e-09,1.8616774391918715e-10,1.8616774391918715e-10
1868,1.1080338741261844e-05,1.4132068570926748e-09,1.8616774391918715e-10,1.8616774391918715e-10
1869,1.0958508028124925e-05,1.3559984286220278e-09,1.8616774391918715e-10,1.8616774391918715e-10
1870,1.1084107817233807e-05,1.730625166983048e-09,1.3842986281074688e-10,1.3842986281074688e-10
1871,1.1261666129160273e-05,1.6103586876679644e-09,4.4239619903915386e-11,4.4239619903915386e-11
1872,1.1500698097474274e-05,1.5530327658806543e-09,4.4239619903915386e-11,4.4239619903915386e-11
1873,1.1188514560801974e-05,1.5711180451865354e-09,3.900875257732496e-11,3.900875257732496e-11
1874,1.1343450491299986e-05,1.7524629208105174e-09,3.900875257732496e-11,3.900875257732496e-11
1875,1.1139739399368409e-05,1.7784879442166763e-09,3.900875257732496e-11,3.900875257732496e-11
1876,1.1437134941973324e-05,1.7697106478666213e-09,3.900875257732496e-11,3.900875257732496e-11
1877,1.1495501764459601e-05,1.8017177749740654e-09,3.900875257732496e-11,3.900875257732496e-11
1878,1.1642232623541662e-05,1.7482696084465082e-09,3.900875257732496e-11,3.900875257732496e-11
1879,1.1386869378579182e-05,1.7590318408216327e-09,1.437501903226287e-10,1.437501903226287e-10
1880,1.2050094483129214e-05,2.0244016621770047e-09,1.0474143774530376e-10,1.0474143774530376e-10
1881,1.2142980397454397e-05,1.9110848776498254e-09,1.3630703312093673e-10,1.3630703312093673e-10
1882,1.2575436293056036e-05,2.009901388179612e-09,1.6871661210972532e-10,1.6871661210972532e-10
1883,1.277313094760757e-05,1.9343132492569535e-09,2.008392400800117e-10,2.008392400800117e-10
1884,1.301647093246824e-05,1.8460723743325097e-09,2.3135014737274417e-10,2.3135014737274417e-10
1885,1.3174387407031776e-05,2.0274490816366406e-09,2.3135014737274417e-10,2.3135014737274417e-10
1886,1.3510830285667907e-05,2.1011775494120653e-09,1.2660870962744042e-10,1.2660870962744042e-10
1887,1.3262451050520343e-05,2.055273506940125e-09,1.5424267815359168e-10,1.5424267815359168e-10
1888,1.326920443846445e-05,2.041211548992854e-09,1.4967992520035064e-10,1.4967992520035064e-10
1889,1.3001438414253893e-05,2.1483274524415818e-09,1.1727034621156207e-10,1.1727034621156207e-10
1890,1.2838935357909317e-05,2.3097313585550084e-09,1.1044340838698271e-10,1.1044340838698271e-10
1891,1.292421711696079e-05,2.1740459591309704e-09,7.993250109425024e-11,7.993250109425024e-11
1892,1.2893972000581147e-05,2.131000566483822e-09,7.993250109425024e-11,7.993250109425024e-11
1893,1.2774357466176817e-05,2.0902580935963246e-09,7.993250109425024e-11,7.993250109425024e-11
1894,1.2829768171026704e-05,1.9187580572018905e-09,5.2298532568098974e-11,5.2298532568098974e-11
1895,1.3017530233940175e-05,1.7545856830939295e-09,4.646689778984938e-11,4.646689778984938e-11
1896,1.3404330015224072e-05,1.5432365544195851e-09,4.646689778984938e-11,4.646689778984938e-11
1897,1.4600858386464616e-05,1.263403905303408e-09,3.9747962857613774e-11,3.9747962857613774e-11
1898,1.5039792093115725e-05,1.0870729396015933e-09,5.7786131038969504e-11,5.7786131038969504e-11
1899,1.558955903289773e-05,1.003810701227792e-09,5.7786131038969504e-11,5.7786131038969504e-11
1900,1.5887537301750854e-05,9.40820469149831e-10,9.392734011205915e-11,9.392734011205915e-11
1901,1.6067431975638362e-05,8.349044630254606e-10,9.392734011205915e-11,9.392734011205915e-11
1902,1.611820529693172e-05,8.495764568041051e-10,7.275613246791681e-11,7.275613246791681e-11
1903,1.6146199933635736e-05,7.264113398099324e-10,7.275613246791681e-11,7.275613246791681e-11
1904,1.524182542717816e-05,7.313730216689557e-10,5.4179377254445373e-11,5.4179377254445373e-11
1905,1.4886071897178357e-05,7.687396869864622e-10,5.138807137753229e-11,5.138807137753229e-11
1906,1.4503377834833892e-05,7.599643890378514e-10,6.69030574987747e-11,6.69030574987747e-11
1907,1.4494332390313502e-05,6.740002484700064e-10,3.076184842568505e-11,3.076184842568505e-11
1908,1.4544205701635552e-05,5.780801155224375e-10,7.193521076428614e-11,7.193521076428614e-11
