ngram,AT,AT,A,AT
1500,7.96284598436614e-06,7.96284598436614e-06,0.0005285027000354603,7.96284598436614e-06
1501,6.370276787492913e-06,6.370276787492913e-06,0.0004228021600283682,6.370276787492913e-06
1502,5.308563989577427e-06,5.308563989577427e-06,0.0004189295480803897,5.308563989577427e-06
1503,5.8098198158924265e-05,5.8098198158924265e-05,0.0006268224762087422,5.8098198158924265e-05
1504,5.609328322212345e-05,5.609328322212345e-05,0.0006401298783852585,5.609328322212345e-05
1505,5.386366430164864e-05,5.386366430164864e-05,0.0006966561444901995,5.386366430164864e-05
1506,5.386366430164864e-05,5.386366430164864e-05,0.0010083555077601755,5.386366430164864e-05
1507,5.386366430164864e-05,5.386366430164864e-05,0.0046713592185239705,5.386366430164864e-05
1508,5.386366430164864e-05,5.386366430164864e-05,0.0046713592185239705,5.386366430164864e-05
1509,5.386366430164864e-05,5.386366430164864e-05,0.004614278291618186,5.386366430164864e-05
1510,3.156638480764481e-07,3.156638480764481e-07,0.004346538285192635,3.156638480764481e-07
1511,3.156638480764481e-07,3.156638480764481e-07,0.00416441704146564,3.156638480764481e-07
1512,0.0,0.0,0.003974703074033771,0.0
1513,0.0,0.0,0.0036630037107637952,0.0
1514,8.569834660322937e-07,8.569834660322937e-07,4.970503921088364e-05,8.569834660322937e-07
1515,8.569834660322937e-07,8.569834660322937e-07,4.970503921088364e-05,8.569834660322937e-07
1516,8.569834660322937e-07,8.569834660322937e-07,4.970503921088364e-05,8.569834660322937e-07
1517,2.4508138137337354e-06,2.4508138137337354e-06,0.0002271514926438353,2.4508138137337354e-06
1518,2.4508138137337354e-06,2.4508138137337354e-06,0.0002271514926438353,2.4508138137337354e-06
1519,2.4508138137337354e-06,2.4508138137337354e-06,0.0002271514926438353,2.4508138137337354e-06
1520,3.64245936777609e-06,3.64245936777609e-06,0.000339464089068185,3.64245936777609e-06
1521,2.785475901743796e-06,2.785475901743796e-06,0.0009246797001521502,2.785475901743796e-06
1522,2.785475901743796e-06,2.785475901743796e-06,0.0009818073220750584,2.785475901743796e-06
1523,4.0175659056071055e-06,4.0175659056071055e-06,0.0011105607305320778,4.0175659056071055e-06
1524,2.4237355579056645e-06,2.4237355579056645e-06,0.0011086119214139347,2.4237355579056645e-06
1525,2.4237355579056645e-06,2.4237355579056645e-06,0.0012140415450890682,2.4237355579056645e-06
1526,8.144580923336825e-06,8.144580923336825e-06,0.0015464862184931657,8.144580923336825e-06
1527,0.00012304976150647105,0.00012304976150647105,0.002130754612153396,0.00012304976150647105
1528,0.00012304976150647105,0.00012304976150647105,0.001591995345994032,0.00012304976150647105
1529,0.00012304976150647105,0.00012304976150647105,0.0015348677240711237,0.00012304976150647105
1530,0.00012254662000746715,0.00012254662000746715,0.0014782802151915217,0.00012254662000746715
1531,0.00012254662000746715,0.00012254662000746715,0.001400444989225694,0.00012254662000746715
1532,0.00013111403515202774,0.00013111403515202774,0.001511004420795611,0.00013111403515202774
1533,0.000133374927762426,0.000133374927762426,0.0012583771271498076,0.000133374927762426
1534,1.868257231762982e-05,1.868257231762982e-05,0.0006109526106489024,1.868257231762982e-05
1535,2.0565120069347487e-05,2.0565120069347487e-05,0.0006236024907723602,2.0565120069347487e-05
1536,2.1012384455129256e-05,2.1012384455129256e-05,0.0007671743639678295,2.1012384455129256e-05
